"unique_line_id","fiscal_year","county_number","county_name","taxes_levied_on_property","uncollected_delinquent_taxes","credits_to_taxpayers","net_current_property_taxes","delinquent_property_taxes","penalties_and_interest","other_county_taxes","intergovernmental","licenses_and_permits","charges_for_services","use_of_money_and_property","miscellaneous","subtotal_revenue","operating_transfers_in","general_long_term_debt","fixed_asset_sales","total_revenues","beginning_fund_balances","total_resources","geocoded_column"
"2023_MUSCATINE_REVS_SA","2023","70","MUSCATINE","17259836","0","851700","16408136","2500","120000","2570458","13110403","113850","1095450","813525","372300","34606622","3350000","5738500","10700","43705822","28909773","72615595","POINT (-91.1127562 41.4839221)"
"2023_ADAIR_REVS_SA","2023","1","ADAIR","5900004","0","243775","5656229","0","31000","5052707","6550961","11350","241075","5048923","47300","22639545","5000000","1165855","0","28805400","15361474","44166874","POINT (-94.4709413 41.3307464)"
"2023_VAN BUREN_REVS_SA","2023","89","VAN BUREN","3008259","3300","176500","2828459","700","31000","410250","3918482","16150","247780","149010","296525","7898356","0","1106614","0","9004970","6849112","15854082","POINT (-91.9499871 40.7532294)"
"2023_BENTON_REVS_SA","2023","6","BENTON","14712582","0","965703","13746879","3937","98171","1467572","10797284","54400","849400","76143","582250","27676036","0","3634745","42800","31353581","17392623","48746204","POINT (-92.0656912 42.0801864)"
"2023_BUENA VISTA_REVS_SA","2023","11","BUENA VISTA","11071188","55355","528863","10486970","1095","22600","1282529","12434776","107655","1098925","150572","140500","25725622","0","3270723","0","28996345","11103663","40100008","POINT (-95.15114900000002 42.7354936)"
"2023_LINN_REVS_SA","2023","57","LINN","75515234","233635","3203610","72077989","61560","590710","9412944","53674590","1299852","8826488","669000","1443908","148057041","6000000","25694448","59500","179810989","65021047","244832036","POINT (-91.5989646 42.0789478)"
"2023_HARRISON_REVS_SA","2023","43","HARRISON","10037783","2400","417507","9617876","1350","50750","840206","7103103","36000","870351","179079","2087965","20786680","0","2576000","0","23362680","11925203","35287883","POINT (-95.8169209 41.6828528)"
"2023_DALLAS_REVS_SA","2023","25","DALLAS","25302362","0","538000","24764362","0","103500","5678186","7628948","239850","3346587","437576","1233050","43432059","0","11556125","0","54988184","30760736","85748920","POINT (-94.0397374 41.6848862)"
"2023_GRUNDY_REVS_SA","2023","38","GRUNDY","7406152","0","261300","7144852","0","3000","781446","11009894","8150","375150","80500","224399","19627391","0","4512315","0","24139706","8381233","32520939","POINT (-92.7914177 42.4018651)"
"2023_DAVIS_REVS_SA","2023","26","DAVIS","5068096","0","283548","4784548","0","63648","1050848","6646275","1000","294800","162712","864786","13868617","0","1175655","0","15044272","6217733","21262005","POINT (-92.4097173 40.7476891)"
"2023_JONES_REVS_SA","2023","53","JONES","9431025","850","538759","8891416","0","29350","1356689","8785161","71836","737621","232732","539370","20644175","0","2869490","90000","23603665","11332670","34936335","POINT (-91.1314352 42.1212397)"
"2023_CASS_REVS_SA","2023","15","CASS","8144940","0","458615","7686325","1000","32300","2196842","4800481","21090","387790","106884","1578460","16811172","0","5091395","0","21902567","15247565","37150132","POINT (-94.9278266 41.3314876)"
"2023_CLAY_REVS_SA","2023","21","CLAY","8570064","0","544955","8025109","295","20750","1795825","5588286","17480","654915","374499","583160","17060319","500000","3689899","0","21250218","23557397","44807615","POINT (-95.1509194 43.0825804)"
"2023_IDA_REVS_SA","2023","47","IDA","3421841","0","102500","3319341","75","7000","2505890","3309903","11200","272400","17650","265818","9709277","0","2998142","0","12707419","20740992","33448411","POINT (-95.5134962 42.3868747)"
"2023_WEBSTER_REVS_SA","2023","94","WEBSTER","16265541","0","761062","15504479","1256","12080","5159055","18993933","91140","1736490","305314","864005","42667752","0","7047492","150000","49865244","25229932","75095176","POINT (-94.18178810000002 42.4279662)"
"2023_LOUISA_REVS_SA","2023","58","LOUISA","5985511","3211","318584","5663716","0","0","1169827","3619130","38550","560870","45819","268480","11366392","0","1667096","0","13033488","3652124","16685612","POINT (-91.2596184 41.2185073)"
"2023_POWESHIEK_REVS_SA","2023","79","POWESHIEK","8343226","0","299400","8043826","0","0","1753691","5179921","24250","625695","51679","148800","15827862","0","4216469","0","20044331","16555110","36599441","POINT (-92.53146840000001 41.6864422)"
"2023_DICKINSON_REVS_SA","2023","30","DICKINSON","11708043","1300","322400","11384343","1300","35000","2441892","8799005","70500","903430","128319","360950","24124739","0","5300415","500","29425654","17454295","46879949","POINT (-95.1508301 43.3779848)"
"2023_STORY_REVS_SA","2023","85","STORY","28147360","0","956695","27190665","3450","75000","3926900","18977985","73160","2002995","432156","574700","53257011","0","3785000","14500","57056511","28736368","85792879","POINT (-93.4650448 42.0362415)"
"2023_MAHASKA_REVS_SA","2023","62","MAHASKA","9768290","0","150666","9617624","0","42600","2228775","7233413","16500","692645","100833","419328","20351718","0","2586598","0","22938316","18683970","41622286","POINT (-92.6409094 41.3352035)"
"2023_WAPELLO_REVS_SA","2023","90","WAPELLO","9833456","0","649666","9183790","4962","0","2596091","5533004","68600","715785","223213","1858616","20184061","0","1322000","2100","21508161","17008490","38516651","POINT (-92.4094499 41.03058450000001)"
"2023_ADAMS_REVS_SA","2023","2","ADAMS","4789926","0","221142","4568784","0","0","498716","3486558","4100","700730","55150","44110","9358148","0","1440767","0","10798915","4861156","15660071","POINT (-94.6991849 41.02898390000001)"
"2023_PLYMOUTH_REVS_SA","2023","75","PLYMOUTH","11380775","1000","485567","10894208","1000","54000","2252035","12473906","44200","1272950","171940","352100","27516339","0","4785000","0","32301339","16121198","48422537","POINT (-96.2140431 42.7378346)"
"2023_WORTH_REVS_SA","2023","98","WORTH","5690338","38468","339930","5311940","39522","40882","4253417","4680871","218968","321201","118238","40000","15025039","0","1373294","17002","16415335","4206658","20621993","POINT (-93.2608476 43.3773984)"
"2023_BLACK HAWK_REVS_SA","2023","7","BLACK HAWK","35644624","0","1851999","33792625","5550","270000","4755798","17963407","626200","4041169","486675","1150412","63091836","0","13232892","6053","76330781","51583656","127914437","POINT (-92.3088197 42.4700957)"
"2023_MADISON_REVS_SA","2023","61","MADISON","7488108","0","367758","7120350","33","67255","1197712","5583361","82421","1191350","95535","148153","15486170","0","2339785","2000","17827955","10939029","28766984","POINT (-94.01556190000001 41.33071420000001)"
"2023_TAMA_REVS_SA","2023","86","TAMA","10168219","0","0","10168219","982","24438","1658288","10266143","30350","542643","160805","559041","23410909","0","3951336","30750","27392995","14756669","42149664","POINT (-92.5325425 42.07981170000001)"
"2023_DES MOINES_REVS_SA","2023","29","DES MOINES","14230224","5220","820731","13404273","5220","87250","2732480","5844686","49235","926860","212975","321174","23584153","3968662","3012643","15000","30580458","18637865","49218323","POINT (-91.1814707 40.9231829)"
"2023_GUTHRIE_REVS_SA","2023","39","GUTHRIE","8774015","0","253900","8520115","650","43000","2220525","5571510","1095706","867720","54302","644050","19017578","50500","2925767","0","21993845","10963423","32957268","POINT (-94.501055 41.6837548)"
"2023_O'BRIEN_REVS_SA","2023","71","O'BRIEN","7633483","0","308070","7325413","300","18510","862776","5699127","114500","604700","197690","134500","14957516","0","4955127","0","19912643","11255831","31168474","POINT (-95.6248784 43.0837527)"
"2023_CLAYTON_REVS_SA","2023","22","CLAYTON","9268257","0","0","9268257","400","20900","1182149","6905142","39600","475255","144560","720194","18756457","0","2000000","10000","20766457","13052140","33818597","POINT (-91.34143280000002 42.8447493)"
"2023_FLOYD_REVS_SA","2023","34","FLOYD","8814514","0","371465","8443049","0","19020","1571215","5318309","29300","590730","108900","235850","16316373","0","1600855","0","17917228","10394535","28311763","POINT (-92.78900330000002 43.0599208)"
"2023_WAYNE_REVS_SA","2023","93","WAYNE","4249421","71845","167642","4009934","0","0","576059","4604509","9750","363656","18025","3487","9585420","0","869823","0","10455243","6962317","17417560","POINT (-93.3273639 40.73947020000001)"
"2023_MITCHELL_REVS_SA","2023","66","MITCHELL","6730242","0","262295","6467947","0","10000","5160433","4758395","6000","685850","276143","85700","17450468","0","1979942","1000","19431410","6076838","25508248","POINT (-92.7890315 43.3564124)"
