"unique_line_id","fiscal_year","twp_code","county_name","township_name","beg_bal_owned_cem","tax_rev_owned_cem","oth_rec_owned_cem","expend_owned_cem","end_bal_owned_cem","beg_bal_non_owned_cem","tax_rev_non_owned_cem","oth_rec_non_owned_cem","expend_non_owned_cem","end_bal_non_owned_cem","beg_bal_twp_hall","tax_rev_twp_hall","oth_rec_twp_hall","expend_twp_hall","end_bal_twp_hall","beg_bal_twp_hall_repairs","tax_rev_twp_hall_repairs","oth_rec_twp_hall_repairs","expend_twp_hall_repairs","end_bal_twp_hall_repairs","beg_bal_library","tax_rev_library","oth_rec_library","expend_library","end_bal_library","beg_bal_litigation","tax_rev_litigation","oth_rec_litigation","expend_litigation","end_bal_litigation","beg_bal_tort","tax_rev_tort","oth_rec_tort","expend_tort","end_bal_tort","beg_bal_fire_ems","tax_rev_fire_ems","oth_rec_fire_ems","expend_fire_ems","end_bal_fire_ems","beg_bal_other","oth_rec_other","expend_other","end_bal_other","beg_bal_total","tax_rev_total","oth_rec_total","expend_total","end_bal_total","location"
"2012_01K002_EUREKA","2012","01K002","ADAIR","EUREKA","4573","4228","25","7000","1826","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6921","0","6921","0","0","0","0","0","4573","11149","25","13921","1826","POINT (-94.6429302 41.3742176)"
"2012_01K003_GRAND RIVER","2012","01K003","ADAIR","GRAND RIVER","25600","4743","0","4743","25600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9493","0","9493","0","0","0","0","0","25600","14236","0","14236","25600","POINT (-94.2992197 41.2871264)"
"2012_01K004_GREENFIELD","2012","01K004","ADAIR","GREENFIELD","59000","47349","2000","58200","50149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","2542","0","2492","250","0","0","0","0","59200","49891","2000","60692","50399","POINT (-94.4522725 41.2945094)"
"2012_01K005_GROVE","2012","01K005","ADAIR","GROVE","400","1026","0","1026","400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9893","0","9893","0","0","0","0","0","400","10919","0","10919","400","POINT (-94.41380070000001 41.3740383)"
"2012_01K006_HARRISON","2012","01K006","ADAIR","HARRISON","3395","7784","200","9340","2039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7828","0","0","7828","0","0","0","0","3395","15612","200","9340","9867","POINT (-94.2990876 41.3738071)"
"2012_01K007_JACKSON","2012","01K007","ADAIR","JACKSON","1300","7500","0","7500","1300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10135","0","10135","0","0","0","0","0","1300","17635","0","17635","1300","POINT (-94.6427732 41.2875059)"
"2012_01K008_JEFFERSON","2012","01K008","ADAIR","JEFFERSON","0","3268","0","3268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","654","0","654","0","0","0","0","0","0","0","0","0","0","0","0","14699","0","14699","0","0","0","0","0","0","18621","0","18621","0","POINT (-94.4138216 41.4604749)"
"2012_01K009_LEE","2012","01K009","ADAIR","LEE","0","1294","0","1294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10192","0","10192","0","0","0","0","0","0","11486","0","11486","0","POINT (-94.4063302 41.2859955)"
"2012_01K010_LINCOLN","2012","01K010","ADAIR","LINCOLN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","403","0","403","0","0","0","0","0","0","0","0","0","0","0","0","10445","0","10445","0","0","0","0","0","0","10848","0","10848","0","POINT (-94.2990521 41.4604279)"
"2012_01K011_ORIENT","2012","01K011","ADAIR","ORIENT","2000","4957","240","4100","3097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14439","0","14439","0","0","0","0","0","2000","19396","240","18539","3097","POINT (-94.4137139 41.2007028)"
