"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0017-003L-616003L-05A","2010","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","003L - SUI - Pentacrest Renewal and HVAC Modernization","616003L","SUI - Pentacrest Renewal and HVAC Modernization","05A - Appropriation","0","38000000","0"
"2010-0017-004L-616004L-05A","2010","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","004L - ISU - Biorenewables Cmplx-Agricultural&BiosystemsEngineering","616004L","ISU - Agricultural and Biosystems Engineering","05A - Appropriation","0","1250000","0"
"2010-0017-005L-616005L-05A","2010","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","005L - UNI - Bartlett Hall Renovation/Baker Hall Demolition","616005L","UNI - Baker Hall Renovation","05A - Appropriation","0","19700000","0"
"2010-0017-016L-616016L-05A","2010","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","016L - SUI - Iowa Institute for Biomedical Discovery","616016L","SUI - Iowa Institute for Biomedical Discovery","05A - Appropriation","10000000","10000000","0"
"2010-0017-018L-616018L-05A","2010","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","018L - ISU - Renewable Fuels Building","616018L","ISU - Renewable Fuels Building","05A - Appropriation","11597000","11597000","11597000"
"2010-0017-063F-61663F9-05A","2010","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","063F - BOR - Capitals","61663F9","All Fire Safety and Deferred Maint FY09","05A - Appropriation","0","50000000","0"
"2010-0017-063L-616063L-05A","2010","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","063L - ISU - Veterinary Laboratory","616063L","ISU Veterinary Laboratory","05A - Appropriation","0","38000000","0"
"2011-0017-004L-616004L-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","004L - ISU - Biorenewables Cmplx-Agricultural&BiosystemsEngineering","616004L","ISU - Agricultural and Biosystems Engineering","05A - Appropriation","0","38000000","0"
"2011-0017-005L-616005L-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","005L - UNI - Bartlett Hall Renovation/Baker Hall Demolition","616005L","UNI - Baker Hall Renovation","05A - Appropriation","0","20400000","0"
"2011-0017-010L-616010L-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","010L - SUI - Seashore Hall Area (Psychology & Other CLAS Programs)","616010L","SUI - Psychological & Brain Sciences - Facility Replacement","05A - Appropriation","0","12000000","0"
"2011-0017-013L-616013L-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","013L - SUI - Dental Science Building Renovation","616013L","SUI - Dental Science Building Renewal/Expansion","05A - Appropriation","0","25000000","0"
"2011-0017-014L-616014L-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","014L - ISU - Electrical and Computer Engineering Building, Phase 2","616014L","ISU - Electrical and Computer Engineering Building, Phase 2","05A - Appropriation","0","500000","0"
"2011-0017-016L-616016L-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","016L - SUI - Iowa Institute for Biomedical Discovery","616016L","SUI - Iowa Institute for Biomedical Discovery","05A - Appropriation","10000000","0","0"
"2011-0017-023L-61623L0-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","023L - SUI - Pharmacy Building Renovation","61623L0","SUI Pharmacy Building Renovation","05A - Appropriation","0","2000000","0"
"2011-0017-034L-616034L-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","034L - ISU - Vet Equipment - Modernize Blank Park Zoo","616034L","ISU - Vet Equipment - Modernize Blank Park Zoo","05A - Appropriation","0","0","400000"
"2011-0017-063F-61663F9-05A","2011","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","063F - BOR - Capitals","61663F9","All Fire Safety and Deferred Maint FY09","05A - Appropriation","0","50000000","0"
"2011-006D-033L-616033L-05A","2011","Capital","Regents Capital","006D - Revenue Bonds Capitals II Fund","033L - ISU - Veterinary Medical Facility Renovation Phase II - IJOB","616033L","ISU Veterinary Medical Facility Renovation Phase II - IJOBS","05A - Appropriation","13000000","0","0"
"2011-006D-036L-616036L-05A","2011","Capital","Regents Capital","006D - Revenue Bonds Capitals II Fund","036L - SUI - Biomedical Discovery","616036L","SUI - Biomedical Discovery","05A - Appropriation","0","0","10000000"
"2011-0433-032L-616032L-05A","2011","Capital","Regents Capital","0433 - Revenue Bonds Capitals Fund","032L - ISU - Veterinary Medical Facility Renovation Phase II RBC","616032L","ISU Veterinary Medical Facility Renovation Phase II RBC","05A - Appropriation","0","0","13000000"
"2012-0017-004L-616004L-05A","2012","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","004L - ISU - Biorenewables Cmplx-Agricultural&BiosystemsEngineering","616004L","ISU - Agricultural and Biosystems Engineering","05A - Appropriation","0","40000000","1000000"
"2012-0017-005L-616005L-05A","2012","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","005L - UNI - Bartlett Hall Renovation/Baker Hall Demolition","616005L","UNI - Baker Hall Renovation","05A - Appropriation","0","21000000","1000000"
"2012-0017-010L-616010L-05A","2012","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","010L - SUI - Seashore Hall Area (Psychology & Other CLAS Programs)","616010L","SUI - Psychological & Brain Sciences - Facility Replacement","05A - Appropriation","0","12000000","0"
"2012-0017-013L-616013L-05A","2012","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","013L - SUI - Dental Science Building Renovation","616013L","SUI - Dental Science Building Renewal/Expansion","05A - Appropriation","0","29000000","1000000"
"2012-0017-014L-616014L-05A","2012","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","014L - ISU - Electrical and Computer Engineering Building, Phase 2","616014L","ISU - Electrical and Computer Engineering Building, Phase 2","05A - Appropriation","0","500000","0"
"2012-0017-023L-61623L0-05A","2012","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","023L - SUI - Pharmacy Building Renovation","61623L0","SUI Pharmacy Building Renovation","05A - Appropriation","0","1000000","0"
"2012-0017-063F-616063F-05A","2012","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","063F - BOR - Capitals","616063F","All Fire Safety and Deferred Maint","05A - Appropriation","0","0","2000000"
"2012-0017-063F-61663F9-05A","2012","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","063F - BOR - Capitals","61663F9","All Fire Safety and Deferred Maint FY09","05A - Appropriation","4000000","35000000","0"
"2013-0017-04L-616004L-05A","2013","Capital","Regents Capital","0017 - Rebuild Iowa Infrastructure Fund","04L - ISU - Biorenewables Cmplx-Agricultural&BiosystemsEngineering","616004L","ISU - Agricultural and Biosystems Engineering","05A - Appropriation","0","0","19050000"
