"as_of_date","federal_agency","funding_source","program_description","project_name","project_description","project_type","county","municipality","applicant_name","obligated_amount","obligated_date","disbursed_amount","disbursed_date"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery DEP Environmental Reviews LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","459.03",,"459.03","2017-09-29T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery Professional Services LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","759692.67",,"759692.67","2022-05-18T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery DEP Environmental Reviews LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","11302.76",,"11302.76","2018-06-19T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery DEP Environmental Reviews LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","21564.44",,"21564.44","2018-12-24T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery DEP Environmental Reviews LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","67.96",,"67.96","2017-05-02T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery Personnel/Personnel-Related LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","33469.49",,"33469.49","2022-06-16T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery DEP Environmental Reviews LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","58219.50",,"58219.50","2016-12-02T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery DEP Environmental Reviews LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","214.41",,"214.41","2017-01-27T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery Professional Services LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","13490.25",,"13490.25","2017-09-20T00:00:00.000"
"2022-06-30T00:00:00.000","US HUD","CDBG-DR","Community Development Block Grant - Disaster Recovery Program. HUD provides flexible grants to help cities, counties, and States recover from Presidentially declared disasters, especially in low-income areas, subject to availability of supplemental appropriations.","EDA Energy Resilience Bank (ERB) Economic Revitalization Program Delivery LMI","Using Community Development Block Grant Disaster Recovery (CDBG-DR) funds, the New Jersey Economic Development Authority (NJEDA) administers the New Jersey Energy Resilience Bank Program, which builds energy resilience by providing technical and financial support, including grants and low-interest loans, to critical facilities for energy resilience projects or enhancements to existing energy infrastructure.","ERB Economic Revitalization Program Delivery Professional Services LMI","STATEWIDE","STATEWIDE","EDA Economic Revitalization","156746.74",,"156746.74","2016-04-26T00:00:00.000"
