"id_number","term_at_admission_category","total_max_term","gender","county","race_ethnicity","age"
"1","21+ Years","30Y +","M","OTHER","WH","75"
"2","6-10 Years","10Y","M","MONMOUTH","BL","42"
"3","21+ Years","30Y +","M","OTHER","WH","52"
"4","21+ Years","80Y","M","OTHER","WH","79"
"5","21+ Years","48Y","M","OTHER","WH","81"
"6","21+ Years","LIFE WOP_UNSPECIFIED","M","OTHER","WH","51"
"7","21+ Years","30Y +","M","OTHER","BL","51"
"8","21+ Years","LIFE WOP_UNSPECIFIED","M","OTHER","WH","51"
"9","21+ Years","33Y","M","ESSEX","BL","57"
"10","21+ Years","30Y +","M","CAMDEN","BL","45"
"11","21+ Years","25Y","M","ATLANTIC","WH","45"
"12","21+ Years","30Y","M","UNION","BL","58"
"13","6-10 Years","7Y","M","MORRIS","OA","56"
"14","6-10 Years","6Y","M","SOMERSET","WH","36"
"15","6-10 Years","7Y","M","OCEAN","WH","34"
"16","21+ Years","40Y","M","MORRIS","WH","49"
"17","1-2 Years","1Y 6M","M","MONMOUTH","BL","44"
"18","3-5 Years","5Y","M","GLOUCESTER","WH","27"
"19","21+ Years","30Y +","M","OCEAN","BL","41"
"20","21+ Years","25Y","M","CAMDEN","BL","45"
"21","6-10 Years","9Y","M","BERGEN","BL","42"
"22","21+ Years","30Y +","M","SALEM","BL","72"
"23","15-20 Years","20Y","M","ATLANTIC","HS","66"
"24","6-10 Years","10Y","M","MERCER","BL","26"
"25","21+ Years","30Y +","M","PASSAIC","BL","44"
"26","21+ Years","50Y","M","ESSEX","BL","43"
"27","6-10 Years","7Y","M","MONMOUTH","BL","23"
"28","3-5 Years","3Y","M","UNION","BL","24"
"29","6-10 Years","8Y","M","CAMDEN","BL","29"
"30","21+ Years","30Y +","M","BERGEN","BL","62"
"31","3-5 Years","3Y","M","CAPE MAY","WH","32"
"32","3-5 Years","5Y","M","MERCER","BL","46"
"33","6-10 Years","6Y","M","HUDSON","BL","34"
"34","3-5 Years","5Y","M","OCEAN","BL","44"
"35","21+ Years","28Y 7M 8D","M","MORRIS","BL","38"
"36","6-10 Years","10Y","M","MONMOUTH","WH","41"
"37","6-10 Years","10Y","M","MIDDLESEX","WH","40"
"38","6-10 Years","10Y","M","ATLANTIC","WH","33"
"39","21+ Years","30Y","M","OCEAN","BL","42"
"41","15-20 Years","20Y","M","HUDSON","BL","41"
"42","6-10 Years","8Y","M","BURLINGTON","BL","60"
"43","21+ Years","30Y +","M","ATLANTIC","BL","45"
"44","6-10 Years","7Y","M","CUMBERLAND","WH","58"
"45","6-10 Years","10Y","M","PASSAIC","HS","40"
"46","21+ Years","50Y","M","ESSEX","BL","53"
"47","21+ Years","57Y","M","UNION","WH","33"
"48","3-5 Years","4Y","M","BURLINGTON","WH","24"
"49","21+ Years","24Y","M","ESSEX","BL","28"
"50","1-2 Years","1Y 6M","M","CAMDEN","BL","26"
"51","6-10 Years","10Y","F","MIDDLESEX","WH","51"
"52","6-10 Years","6Y","F","CUMBERLAND","WH","31"
"53","11-14 Years","12Y 19D","M","UNION","BL","27"
"54","21+ Years","25Y","M","MIDDLESEX","BL","30"
"55","21+ Years","60Y","M","MIDDLESEX","BL","59"
"56","21+ Years","30Y +","M","CUMBERLAND","BL","46"
"57","6-10 Years","6Y","M","CUMBERLAND","BL","29"
"58","3-5 Years","5Y","M","SOMERSET","WH","27"
"59","15-20 Years","18Y","M","ESSEX","BL","27"
"60","21+ Years","34Y","M","ESSEX","HS","46"
"61","3-5 Years","5Y","M","MIDDLESEX","WH","52"
