Location,Date Reported,Time Reported,Year Reported,Status,X,Y,Coordinates,Last Updated,DC Wards
1169 SUMMIT ST NE,2018/11/23,11:15:53 PM,2018,COMP,-76.97545470287163,38.90515649367395,"(38.90515649367395, -76.97545470287163)",2019/12/01,6
@FAIRVIEW AVE @NEW YORK AVE NE,2018/07/09,08:55:39 AM,2018,COMP,-76.98911521186602,38.91424798280473,"(38.91424798280473, -76.98911521186602)",2019/12/01,6
1425 CONGRESS PL SE,2018/01/07,07:46:26 AM,2018,COMP,-76.98365371557415,38.8466664114398,"(38.8466664114398, -76.98365371557415)",2019/12/01,1
1406 CONSTITUTION AVE NE,2018/10/04,01:36:46 PM,2018,COMP,-76.9851187311774,38.892195093254806,"(38.892195093254806, -76.9851187311774)",2019/12/01,2
178 UHLAND TER NE,2018/01/03,01:44:21 PM,2018,COMP,-77.0037706560149,38.91772564522258,"(38.91772564522258, -77.0037706560149)",2019/12/01,6
@6TH ST @K ST NE,2018/05/19,07:23:22 PM,2018,COMP,-76.99844363919108,38.90251060610162,"(38.90251060610162, -76.99844363919108)",2019/12/01,2
3517 PORTER ST NW,2018/01/14,11:52:16 AM,2018,COMP,-77.06966693761403,38.93752323261092,"(38.93752323261092, -77.06966693761403)",2019/12/01,7
4337 F ST SE,2018/01/06,06:32:43 AM,2018,COMP,-76.94195899060945,38.88159677355918,"(38.88159677355918, -76.94195899060945)",2019/12/01,3
1911 S ST SE,2018/01/07,08:19:49 AM,2018,COMP,-76.97691936661944,38.86805127514569,"(38.86805127514569, -76.97691936661944)",2019/12/01,1
6013 NEW HAMPSHIRE AVE NE,2018/03/04,09:27:28 PM,2018,COMP,-77.00406152069861,38.96317246220338,"(38.96317246220338, -77.00406152069861)",2019/12/01,8
610 RHODE ISLAND AVE NE,2018/01/01,08:54:09 PM,2018,COMP,-76.99784358671175,38.92121190853007,"(38.92121190853007, -76.99784358671175)",2019/12/01,6
5462 30TH ST NW,2018/01/18,10:40:03 AM,2018,COMP,-77.06054190399038,38.96300371913066,"(38.96300371913066, -77.06054190399038)",2019/12/01,8
1309 E ST SE,2018/07/16,10:35:16 AM,2018,COMP,-76.9878894236355,38.88264329442997,"(38.88264329442997, -76.9878894236355)",2019/12/01,2
@OBSERVATORY LN @WISCONSIN AVE NW,2018/05/15,04:26:14 PM,2018,COMP,-77.07165676846174,38.92047830099546,"(38.92047830099546, -77.07165676846174)",2019/12/01,7
4027 M L KING AVE SW,2018/10/11,01:55:22 PM,2018,COMP,-77.01095272295527,38.831037377827734,"(38.831037377827734, -77.01095272295527)",2019/12/01,1
@9TH ST @KENNEDY ST NW,2018/01/03,02:22:30 AM,2018,COMP,-77.02576278020537,38.95627837756783,"(38.95627837756783, -77.02576278020537)",2019/12/01,8
1010 IRVING ST NE,2018/11/06,12:48:48 PM,2018,COMP,-76.99197313542194,38.92881467253147,"(38.92881467253147, -76.99197313542194)",2019/12/01,6
1700 U ST NW,2018/01/09,11:09:47 AM,2018,COMP,-77.03872081653911,38.91684548263757,"(38.91684548263757, -77.03872081653911)",2019/12/01,4
2318 13TH PL NE,2018/07/26,12:40:03 PM,2018,COMP,-76.98692332920649,38.92018424777739,"(38.92018424777739, -76.98692332920649)",2019/12/01,6
730 24TH ST NW,2018/01/09,03:49:09 PM,2018,COMP,-77.051749403163,38.89909399561554,"(38.89909399561554, -77.051749403163)",2019/12/01,4
3901 HAREWOOD RD NE,2018/01/04,01:19:17 PM,2018,COMP,-77.00184548401454,38.93761604598206,"(38.93761604598206, -77.00184548401454)",2019/12/01,6
505 FLORIDA AVE NE,2018/11/27,02:15:37 PM,2018,COMP,-76.9992275419475,38.9063842049563,"(38.9063842049563, -76.9992275419475)",2019/12/01,2
510 21ST ST NW,2018/12/16,11:06:03 PM,2018,COMP,-77.04694046569102,38.896447568083175,"(38.896447568083175, -77.04694046569102)",2019/12/01,4
400 NEW JERSEY AVE NW,2018/01/16,08:01:07 AM,2018,COMP,-77.01170035575656,38.895366400898865,"(38.895366400898865, -77.01170035575656)",2019/12/01,2
2433 SHANNON PL SE,2018/12/08,07:18:01 PM,2018,COMP,-76.99473435771574,38.86285558339541,"(38.86285558339541, -76.99473435771574)",2019/12/01,1
822 MARIETTA PL NW,2018/10/04,07:30:36 AM,2018,COMP,-77.02517534860765,38.95902602520654,"(38.95902602520654, -77.02517534860765)",2019/12/01,8
@27TH ST @I ST NW,2018/01/01,04:50:05 PM,2018,COMP,-77.05610826509658,38.900695471569335,"(38.900695471569335, -77.05610826509658)",2019/12/01,4
306 U ST NE,2018/01/29,02:14:27 PM,2018,COMP,-77.00160280412628,38.91714916195208,"(38.91714916195208, -77.00160280412628)",2019/12/01,6
3365 ALDEN PL NE,2018/01/05,10:48:08 AM,2018,COMP,-76.95828466353412,38.89111659614542,"(38.89111659614542, -76.95828466353412)",2019/12/01,3
3301 WHEELER RD SE,2018/10/22,11:04:56 AM,2018,COMP,-76.99410240052721,38.84151457674207,"(38.84151457674207, -76.99410240052721)",2019/12/01,1
1715 15TH ST NW,2018/01/03,09:45:19 AM,2018,COMP,-77.034268234172,38.91341469784853,"(38.91341469784853, -77.034268234172)",2019/12/01,4
1501 CONNECTICUT AVE NW,2018/01/05,06:46:05 AM,2018,COMP,-77.04368677243764,38.910528887219876,"(38.910528887219876, -77.04368677243764)",2019/12/01,4
3421 PORTER ST NW,2018/01/07,05:12:03 PM,2018,COMP,-77.0672793464267,38.93752463128695,"(38.93752463128695, -77.0672793464267)",2019/12/01,7
4929 7TH PL NE,2018/01/06,04:27:52 AM,2018,COMP,-76.99559319811415,38.94908352547874,"(38.94908352547874, -76.99559319811415)",2019/12/01,6
@CALVERT ST @TUNLAW RD NW,2018/12/11,08:26:43 PM,2018,COMP,-77.07470325468397,38.922548308202416,"(38.922548308202416, -77.07470325468397)",2019/12/01,7
1620 NORTH CAPITOL ST NW,2018/09/12,09:31:49 AM,2018,COMP,-77.00939702302239,38.91173478581232,"(38.91173478581232, -77.00939702302239)",2019/12/01,6
@22ND ST @SOUTHERN AVE SE,2018/01/10,04:18:49 AM,2018,COMP,-76.97184711977856,38.844195847783766,"(38.844195847783766, -76.97184711977856)",2019/12/01,1
810 5TH ST NW,2018/09/06,10:00:44 AM,2018,COMP,-77.01917148293988,38.90036505463922,"(38.90036505463922, -77.01917148293988)",2019/12/01,4
@5TH ST @GRESHAM PL NW,2018/01/11,05:34:41 PM,2018,COMP,-77.0204126257799,38.92699348641446,"(38.92699348641446, -77.0204126257799)",2019/12/01,5
@31ST ST @W ST SE,2018/12/14,12:29:00 PM,2018,COMP,-76.96314048736316,38.86288591789437,"(38.86288591789437, -76.96314048736316)",2019/12/01,3
@SOUTHERN AVE @SUITLAND RD SE,2018/01/03,07:23:34 PM,2018,COMP,-76.94991413118413,38.86127749490191,"(38.86127749490191, -76.94991413118413)",2019/12/01,3
@2ND ST @A ST NE,2018/01/08,02:43:07 PM,2018,COMP,-77.00351565204879,38.89093481618075,"(38.89093481618075, -77.00351565204879)",2019/12/01,2
809 GALLATIN ST NE,2018/01/12,07:39:32 PM,2018,COMP,-76.99348180286752,38.95218227282846,"(38.95218227282846, -76.99348180286752)",2019/12/01,6
1702 SUMMIT PL NW,2018/01/11,01:53:16 PM,2018,COMP,-77.04045587555984,38.926402726375386,"(38.926402726375386, -77.04045587555984)",2019/12/01,5
@16TH ST @KRAMER ST NE,2018/12/08,01:05:48 PM,2018,COMP,-76.98199346169518,38.89802306642045,"(38.89802306642045, -76.98199346169518)",2019/12/01,2
"@12TH ST @O ST, WATER ST SE",2018/06/27,03:16:56 PM,2018,COMP,-76.99019313446185,38.873620338282315,"(38.873620338282315, -76.99019313446185)",2019/12/01,2
1722 LAMONT ST NW,2018/01/22,02:44:43 PM,2018,COMP,-77.03962822676856,38.93124047331617,"(38.93124047331617, -77.03962822676856)",2019/12/01,5
