Location,Date Reported,Time Reported,Year Reported,Status,X,Y,Coordinates,Last Updated,DC Wards
1616 MONTELLO AVE NE,2015/09/11,03:41:11 PM,2015,COMP,-76.98706399599244,38.90756358485557,"(38.90756358485557, -76.98706399599244)",2019/12/01,6
3650 ELY PL SE,2015/11/03,01:27:54 PM,2015,COMP,-76.95316000048436,38.88388993315749,"(38.88388993315749, -76.95316000048436)",2019/12/01,3
3458 PENNSYLVANIA AVE SE,2015/05/13,02:17:26 AM,2015,COMP,-76.95337865066206,38.86676505494697,"(38.86676505494697, -76.95337865066206)",2019/12/01,3
3817 22ND ST NE,2015/09/19,12:03:19 AM,2015,COMP,-76.9739559037078,38.936802412314854,"(38.936802412314854, -76.9739559037078)",2019/12/01,6
