Location,Date Reported,Time Reported,Year Reported,Status,X,Y,Coordinates,Last Updated,DC Wards
2628 11TH ST NW,2016/12/15,07:00:15 AM,2016,COMP,-77.02725050219213,38.92455984663357,"(38.92455984663357, -77.02725050219213)",2019/12/01,5
200 C ST SW,2016/12/20,11:45:08 AM,2016,COMP,-77.01441884063546,38.88551093597356,"(38.88551093597356, -77.01441884063546)",2019/12/01,2
38 PORTER ST NE,2016/12/21,10:54:37 AM,2016,COMP,-77.00780573559885,38.910500760321014,"(38.910500760321014, -77.00780573559885)",2019/12/01,6
@24TH ST @SHEPHERD ST NE,2016/07/21,02:03:22 PM,2016,COMP,-76.97216699677553,38.93965762960113,"(38.93965762960113, -76.97216699677553)",2019/12/01,6
4447 E ST SE,2016/12/22,09:49:43 PM,2016,COMP,-76.9350882323331,38.88349392697648,"(38.88349392697648, -76.9350882323331)",2019/12/01,3
1768 FLORIDA AVE NW,2016/11/29,09:51:15 PM,2016,COMP,-77.040485353318,38.917385384485875,"(38.917385384485875, -77.040485353318)",2019/12/01,5
6314 16TH ST NW,2016/12/15,10:04:47 AM,2016,COMP,-77.0367402028545,38.96686014255556,"(38.96686014255556, -77.0367402028545)",2019/12/01,8
2 GIRARD ST NE,2016/12/07,02:14:31 PM,2016,COMP,-77.00841866139089,38.92610314270348,"(38.92610314270348, -77.00841866139089)",2019/12/01,6
1200 FLORIDA AVE NE,2016/12/02,10:03:00 PM,2016,COMP,-76.98991242786904,38.90285249841931,"(38.90285249841931, -76.98991242786904)",2019/12/01,6
"@MASSACHUSETTS  @WHITEHAVEN ST, ROCK CREEK DR NW",2016/12/23,12:27:27 AM,2016,COMP,-77.05908563378695,38.91831432621025,"(38.91831432621025, -77.05908563378695)",2019/12/01,4
1728 HOBART ST NW,2016/12/29,10:27:29 PM,2016,COMP,-77.04090646317067,38.927834891549836,"(38.927834891549836, -77.04090646317067)",2019/12/01,5
2120 32ND PL SE,2016/12/10,11:02:56 PM,2016,COMP,-76.9602249146789,38.86370472702488,"(38.86370472702488, -76.9602249146789)",2019/12/01,3
@38TH ST @FESSENDEN ST NW,2016/12/11,02:18:20 PM,2016,COMP,-77.07459849574113,38.954689978808084,"(38.954689978808084, -77.07459849574113)",2019/12/01,7
1504 HOWARD RD SE,2016/12/19,07:42:28 AM,2016,COMP,-76.98625497085652,38.85793629562114,"(38.85793629562114, -76.98625497085652)",2019/12/01,1
4204 FORT DUPONT ST SE,2016/12/18,09:19:30 PM,2016,COMP,-76.94358235043732,38.86916597831982,"(38.86916597831982, -76.94358235043732)",2019/12/01,3
@1ST ST @VICTOR ST NE,2016/12/28,06:20:43 PM,2016,COMP,-77.0058714371215,38.94357940153716,"(38.94357940153716, -77.0058714371215)",2019/12/01,6
1030 FAIRMONT ST NW,2016/12/14,06:04:14 PM,2016,COMP,-77.02662778222147,38.92460503177213,"(38.92460503177213, -77.02662778222147)",2019/12/01,5
236 OGLETHORPE ST NE,2016/12/21,10:42:27 PM,2016,COMP,-77.00339221182153,38.961469923797225,"(38.961469923797225, -77.00339221182153)",2019/12/01,8
"@13TH ST @G ST, PENNSYLVANIA AVE SE",2016/11/23,06:29:44 AM,2016,COMP,-76.98831345019539,38.88145746815096,"(38.88145746815096, -76.98831345019539)",2019/12/01,2
@NEW HAMPSHIRE AVE @QUACKENBOS ST NE,2016/12/18,02:24:22 AM,2016,COMP,-77.0039000169568,38.96379403698713,"(38.96379403698713, -77.0039000169568)",2019/12/01,8
@14TH ST @I ST NW,2016/12/16,05:17:40 AM,2016,COMP,-77.03196827773614,38.901335156375154,"(38.901335156375154, -77.03196827773614)",2019/12/01,4
2101 M ST NE,2016/11/23,12:51:49 PM,2016,COMP,-76.97394429848804,38.90543542544794,"(38.90543542544794, -76.97394429848804)",2019/12/01,6
3156 BLADENSBURG RD NE,2016/12/15,05:56:33 PM,2016,COMP,-76.96128420048949,38.92884456878108,"(38.92884456878108, -76.96128420048949)",2019/12/01,6
2001 EAST CAPITOL ST SE,2016/11/29,02:19:58 PM,2016,COMP,-76.97551806488227,38.88850004219276,"(38.88850004219276, -76.97551806488227)",2019/12/01,3
@53RD ST @D ST SE,2016/12/12,03:37:34 PM,2016,COMP,-76.92644422995801,38.883353677231796,"(38.883353677231796, -76.92644422995801)",2019/12/01,3
1726 CONNECTICUT AVE NW,2016/12/17,06:37:56 PM,2016,COMP,-77.04606382126059,38.9134556847868,"(38.9134556847868, -77.04606382126059)",2019/12/01,4
@10TH PL @MISSISSIPPI AVE SE,2016/06/28,08:26:24 AM,2016,COMP,-76.99153399832916,38.8391632133002,"(38.8391632133002, -76.99153399832916)",2019/12/01,1
1817 COLUMBIA RD NW,2016/12/25,11:56:37 AM,2016,COMP,-77.04364764857307,38.92196047630041,"(38.92196047630041, -77.04364764857307)",2019/12/01,5
@12TH ST @VARNUM ST NE,2016/12/29,09:47:42 AM,2016,COMP,-76.99024128446372,38.94286748704304,"(38.94286748704304, -76.99024128446372)",2019/12/01,6
@11TH ST @C ST NE,2016/12/18,10:49:13 PM,2016,COMP,-76.99152754040006,38.89358302286901,"(38.89358302286901, -76.99152754040006)",2019/12/01,2
201 M ST SW,2016/11/28,09:28:51 AM,2016,COMP,-77.01426724645057,38.876718767369915,"(38.876718767369915, -77.01426724645057)",2019/12/01,2
112 TENNESSEE AVE NE,2016/11/29,09:51:38 AM,2016,COMP,-76.98975275822873,38.89079929401201,"(38.89079929401201, -76.98975275822873)",2019/12/01,2
@14TH ST @HARVARD ST NW,2016/12/13,11:58:35 AM,2016,COMP,-77.03241782015188,38.92655837382982,"(38.92655837382982, -77.03241782015188)",2019/12/01,5
513 INGRAHAM ST NW,2016/01/22,10:30:29 AM,2016,COMP,-77.02050125558776,38.95447776553046,"(38.95447776553046, -77.02050125558776)",2019/12/01,8
1207 TAYLOR ST NW,2016/12/24,07:47:27 AM,2016,COMP,-77.0272452926239,38.94110810299233,"(38.94110810299233, -77.0272452926239)",2019/12/01,8
