"month","newly_enrolled_in_program","year","entering_skills_training","placed_in_employment"
"11-Jan","696","2011","266","348"
"11-Feb","519","2011","418","322"
"11-Mar","772","2011","340","583"
"11-Apr","678","2011","228","667"
"11-May","714","2011","268","424"
"11-Jun","783","2011","403","662"
"11-Jul","524","2011","173","592"
"11-Aug","452","2011","275","488"
"11-Sep","1018","2011","211","331"
"11-Oct","265","2011","165","572"
"11-Nov","456","2011","137","325"
"11-Dec","562","2011","219","323"
"12-Jan","549","2012","160","428"
"12-Feb","655","2012","298","373"
"12-Mar","523","2012","293","357"
"12-Apr","494","2012","210","552"
"12-May","583","2012","177","435"
"12-Jun","325","2012","92","245"
"12-Jul","259","2012","73","138"
"12-Aug","258","2012","84","155"
"12-Sep","210","2012","69","127"
"12-Oct","182","2012","58","115"
"12-Nov","99","2012","49","120"
"12-Dec","41","2012","2","72"
"13-Jan","121","2013","123","159"
"13-Feb","211","2013","109","91"
"13-Mar","21","2013","62","93"
"13-Apr","436","2013","109","148"
"13-May","360","2013","59","181"
"13-Jun","254","2013","39","197"
"13-Aug","229","2013","76","125"
"13-Sep","147","2013","40","71"
"13-Oct","161","2013","63","158"
"13-Nov","123","2013","55","126"
"13-Dec","18","2013","26","98"
"14-Jan","289","2014","104","16"
"14-Feb","312","2014","69","52"
"14-Mar","289","2014","44","78"
"14-Apr","259","2014","57","108"
"14-May","243","2014","25","146"
"14-Jun","161","2014","3","154"
"14-Jul","245","2014","18","165"
"14-Aug","149","2014","10","146"
"14-Sep","149","2014","28","146"
"14-Dec","30","2014","0","94"
"15-Feb","226","2015","40","64"
"15-Jan","309","2015","99","11"
"15-Mar","261","2015","47","80"
"14-Oct","221","2014","55","191"
"14-Nov","135","2014","12","133"
"15-May","270","2015","20","186"
"15-Apr","363","2015","63","137"
"15-Jun","261","2015","19","159"
"15-Sep","238","2015","41","109"
"15-Aug","189","2015","18","146"
"15-Jul","284","2015","62","151"
"15-Oct","160","2015","21","170"
"15-Dec","60","2015","7","106"
"15-Nov","144","2015","14","160"
"16-Mar","300","2016","40","87"
"16-Feb","307","2016","64","58"
"16-Apr","239","2016","47","109"
"16-Jan","336","2016","87","14"
"16-Jun","326","2016","26","174"
"16-May","323","2016","32","165"
