"address","street_number","direction","street_name","street_type","complaints","neshaps_demolition_notices","enforcement","inspections","permits","tanks","holds","latitude","longitude","location"
"1 E GARFIELD ","1","E","GARFIELD",,,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1%20and%20direction=%27E%27%20and%20street_name=%27GARFIELD%27%20and%20street_type%20IS%20NULL)",,"41.79419337483611","-87.62560412329553","POINT (-87.62560412329553 41.79419337483611)"
"100 E NORTH WATER ST","100","E","NORTH WATER","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=100%20and%20direction=%27E%27%20and%20street_name=%27NORTH%20WATER%27%20and%20street_type=%27ST%27)",,,,"41.889698709260415","-87.62527087548835","POINT (-87.62527087548835 41.889698709260415)"
"1000 E 132ND ST","1000","E","132ND","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1000%20and%20direction=%27E%27%20and%20street_name=%27132ND%27%20and%20street_type=%27ST%27)","Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1000%20and%20direction=%27E%27%20and%20street_name=%27132ND%27%20and%20street_type=%27ST%27)",,,"41.65584772599176","-87.59674795603262","POINT (-87.59674795603262 41.65584772599176)"
"1000 W 118TH ST","1000","W","118TH","ST","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1000%20and%20direction=%27W%27%20and%20street_name=%27118TH%27%20and%20street_type=%27ST%27)",,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1000%20and%20direction=%27W%27%20and%20street_name=%27118TH%27%20and%20street_type=%27ST%27)",,,,"41.67967555428286","-87.64689313087075","POINT (-87.64689313087075 41.67967555428286)"
"1000 W 21ST ST","1000","W","21ST","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1000%20and%20direction=%27W%27%20and%20street_name=%2721ST%27%20and%20street_type=%27ST%27)",,,,,,"41.853987158385216","-87.65153273980273","POINT (-87.65153273980273 41.853987158385216)"
"1000 W LAKE ST","1000","W","LAKE","ST",,,"Y (https://data.cityofchicago.org/resource/yqn4-3th2.csv?street_number=1000%20and%20direction=%27W%27%20and%20street_name=%27LAKE%27%20and%20street_type=%27ST%27)","Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1000%20and%20direction=%27W%27%20and%20street_name=%27LAKE%27%20and%20street_type=%27ST%27)","Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1000%20and%20direction=%27W%27%20and%20street_name=%27LAKE%27%20and%20street_type=%27ST%27)",,,"41.88569270321703","-87.65220231531892","POINT (-87.65220231531892 41.88569270321703)"
"1001 W NORTH ST","1001","W","NORTH","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1001%20and%20direction=%27W%27%20and%20street_name=%27NORTH%27%20and%20street_type=%27ST%27)",,"41.910729292099305","-87.65315262189527","POINT (-87.65315262189527 41.910729292099305)"
"1009 E 62ND ST","1009","E","62ND","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1009%20and%20direction=%27E%27%20and%20street_name=%2762ND%27%20and%20street_type=%27ST%27)",,,,,,"41.78218176274573","-87.60070100356809","POINT (-87.60070100356809 41.78218176274573)"
"1013 N HERMITAGE AVE","1013","N","HERMITAGE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1013%20and%20direction=%27N%27%20and%20street_name=%27HERMITAGE%27%20and%20street_type=%27AVE%27)",,,,,,"41.900061539313974","-87.67092650025312","POINT (-87.67092650025312 41.900061539313974)"
"1016 W MONTANA ST","1016","W","MONTANA","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1016%20and%20direction=%27W%27%20and%20street_name=%27MONTANA%27%20and%20street_type=%27ST%27)",,,,"41.926440868627544","-87.65436802107448","POINT (-87.65436802107448 41.926440868627544)"
