"vehicle_type","public_vehicle_number","status","vehicle_make","vehicle_model","vehicle_model_year","vehicle_color","vehicle_fuel_source","wheelchair_accessible","company_name","address","city","state","zip_code","taxi_affiliation","taxi_medallion_license_management","record_id"
"Charter Sightseeing","21225","ACTIVE","FREIGHTLINER","FB65","2003","WHITE","Gasoline","N","EMPEROR LIMOUSINE AND PARTY BUS, LLC","5 E. 14TH PL.","CHICAGO","IL","60605",,,"21225Charter Sightseeing"
"Charter Sightseeing","21226","ACTIVE","FREIGHTLINER","FB65","2002","WHITE","Gasoline","N","EMPEROR LIMOUSINE AND PARTY BUS, LLC","5 E. 14TH PL.","CHICAGO","IL","60605",,,"21226Charter Sightseeing"
"Charter Sightseeing","21227","ACTIVE","FREIGHTLINER","FB65","2002","WHITE","Gasoline","N","EMPEROR LIMOUSINE AND PARTY BUS, LLC","5 E. 14TH PL.","CHICAGO","IL","60605",,,"21227Charter Sightseeing"
"Charter Sightseeing","12259","INACTIVE","FORD","EXPEDITION","2007","WHITE","Gasoline","N","CLUB CHITOWN LIMOUSINE INC","40 E. CHICAGO AVE.","CHICAGO","IL","60611",,,"12259Charter Sightseeing"
"Charter Sightseeing","13560","INACTIVE","FREIGHTLINER","FB65","2003","WHITE","Gasoline","N","EMPEROR LIMOUSINE AND PARTY BUS SERVICE LLC","619 N. RACINE AVE.","CHICAGO","IL","60642",,,"13560Charter Sightseeing"
"Charter Sightseeing","18816","INACTIVE","FORD","E350","2016","WHITE","Gasoline","N","CHICAGO AIRPORT SHUTTLE SERVICES INC","1111 S. LAFLIN ST.","CHICAGO","IL","60607",,,"18816Charter Sightseeing"
"Charter Sightseeing","13153","INACTIVE","FORD","E350","2008","WHITE","Gasoline","N","ARIES SHUTTLE CHICAGO LLC","621 S. KOLMAR AVE.","CHICAGO","IL","60624",,,"13153Charter Sightseeing"
"Charter Sightseeing","15970","INACTIVE","FREIGHTLINER","FB65","2003","WHITE","Gasoline","N","EMPEROR LIMOUSINE AND PARTY BUS SERVICE LLC","619 N. RACINE AVE.","CHICAGO","IL","60642",,,"15970Charter Sightseeing"
"Charter Sightseeing","9358","INACTIVE","CHEVROLET","ELDORADO BUS","2005","WHITE","Gasoline","N","CHICAGO MINIBUS TRAVEL INC.","9740 W. FOSTER","CHIICAGO","IL","60018",,,"9358Charter Sightseeing"
"Charter Sightseeing","21229","ACTIVE","FREIGHTLINER","FB65","2003","WHITE","Gasoline","N","EMPEROR LIMOUSINE AND PARTY BUS, LLC","5 E. 14TH PL.","CHICAGO","IL","60605",,,"21229Charter Sightseeing"
"Charter Sightseeing","21228","RESERVED","FREIGHTLINER","FB65","2002","SILVER","Gasoline","N","EMPEROR LIMOUSINE AND PARTY BUS, LLC","5 E. 14TH PL.","CHICAGO","IL","60605",,,"21228Charter Sightseeing"
"Charter Sightseeing","16455","INACTIVE","CHAMPION","M1000","2006","WHITE","Gasoline","N","EMPEROR LIMOUSINE AND PARTY BUS SERVICE LLC","619 N. RACINE AVE.","CHICAGO","IL","60642",,,"16455Charter Sightseeing"
"Charter Sightseeing","174233","ACTIVE","FREIGHTLINER","TROLLEY","2011","WHITE/GREEN","Gasoline","N","TROLLEY BUS RENTAL INC","1903 S. PULASKI RD.","CHICAGO","IL","60623",,,"174233Charter Sightseeing"
"Charter Sightseeing","7241","INACTIVE","FREIGHLINE","TROLLEY","1998","RED/GREEN","Gasoline","N","TRT TRANSPORTATION, INC.","4400 S. RACINE AVE.","CHICAGO","IL","60609",,,"7241Charter Sightseeing"
"Charter Sightseeing","23253","ACTIVE","GILLIG","PHANTOM","2015","MAROON","Gasoline","N","CHICAGO GRAY LINE LTD","630 W. 41ST ST.","CHICAGO","IL","60609",,,"23253Charter Sightseeing"
"Charter Sightseeing","14754","INACTIVE","FORD","ECONOLINE","2012","BLACK","Gasoline","N","JKS LIMOUSINES LLC.","120 W. MADISON ST.","CHICAGO","IL","60602",,,"14754Charter Sightseeing"
"Charter Sightseeing","23802","ACTIVE","GILLIG","PHANTOM","2015","MAROON","Gasoline","N","CHICAGO GRAY LINE LTD","630 W. 41ST ST.","CHICAGO","IL","60609",,,"23802Charter Sightseeing"
