ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,LATITUDE,LONGITUDE,LOCATION
819 E 71st St (Speed Camera),EB,WB,08/20/2018,41.765836,-87.6036,"(41.765836, -87.6036)"
6125 N Cicero Ave (Speed Camera),NB,SB,03/17/2014,41.9921194114274,-87.74847678515228,"(41.9921194114274, -87.74847678515228)"
3137 W Peterson (Speed Camera),EB,WB,01/03/2014,41.9902819135942,-87.7095,"(41.9902819135942, -87.7095)"
2080 W Pershing Rd (Speed Camera),EB,WB,09/07/2013,41.823116,-87.676366,"(41.823116, -87.676366)"
1330 W 76th St(Speed Camera),EB,WB,07/09/2021,41.75604940593661,-87.65705959049882,"(41.75604940593661, -87.65705959049882)"
11 E Chicago Ave (Speed Camera),EB,,04/29/2014,41.8966,-87.629,"(41.8966, -87.629)"
14 W Chicago Ave (Speed Camera),WB,,04/29/2014,41.89677912747405,-87.6288,"(41.89677912747405, -87.6288)"
5454 W Irving Park (Speed Camera),EB,WB,11/10/2013,41.95332954454448,-87.76426726425451,"(41.95332954454448, -87.76426726425451)"
3534 N Western (Speed Camera),SB,,01/31/2014,41.9459625867886,-87.68838396394528,"(41.9459625867886, -87.68838396394528)"
8345 S Ashland Ave (Speed Camera),NB,,10/11/2014,41.741741651401504,-87.66307332925098,"(41.741741651401504, -87.66307332925098)"
7122 S South Chicago Ave (Speed Camera),SEB,,08/20/2018,41.765164,-87.604804,"(41.765164, -87.604804)"
732 N Pulaski Rd (Speed Camera),NB,SB,03/24/2014,41.89450330881178,-87.72620452246953,"(41.89450330881178, -87.72620452246953)"
7739 S Western (Speed Camera),NB,,12/18/2013,41.752629293489285,-87.68276525603093,"(41.752629293489285, -87.68276525603093)"
8318 S Ashland Ave (Speed Camera),SB,,10/11/2014,41.74247385456547,-87.66338547998558,"(41.74247385456547, -87.66338547998558)"
2900 W Ogden Ave (Speed Camera),EB,WB,10/17/2013,41.86040786445197,-87.69867209877323,"(41.86040786445197, -87.69867209877323)"
1638 N Ashland (Speed Camera),SB,,03/03/2014,41.91179204452259,-87.66787045896686,"(41.91179204452259, -87.66787045896686)"
2417 W 103rd St (Speed Camera),EB,,10/17/2014,41.70626766073214,-87.68239147238012,"(41.70626766073214, -87.68239147238012)"
5433 S Pulaski (Speed Camera),NB,,02/07/2014,41.79404504596532,-87.72303636259336,"(41.79404504596532, -87.72303636259336)"
3034 W Foster Ave (Speed Camera),EB,WB,10/05/2013,41.9758840401294,-87.70480112338926,"(41.9758840401294, -87.70480112338926)"
5739 N Northwest Hwy (Speed Camera),NB,SB,09/09/2014,41.98611938850496,-87.7877408267013,"(41.98611938850496, -87.7877408267013)"
3809 W Belmont ave  (Speed Camera),EB,,04/08/2014,41.939040255975605,-87.72264591078833,"(41.939040255975605, -87.72264591078833)"
4433 N Western (Speed Camera),NB,,01/04/2014,41.96231378868856,-87.68856455418805,"(41.96231378868856, -87.68856455418805)"
