Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Location,Historical Wards 2003-2015,Wards,Community Areas,Zip Codes,Census Tracts
04/24/2014,Accion,,,,,Chicago,IL,60621,,Other Services,,,,,,
09/06/2013,Accion,101XX,S,S,Lafayette,Chicago,IL,60628,9,Construction/Repair,,,,,,
08/13/2013,CNI,108XX,S,King Drive,Avenue,Chicago,IL,60628,9,Food/Beverage,,,,,,
12/02/2014,Accion,148XX, ,Evans,Avenue,Dolton,IL,60620,,Construction/Repair,,,,,,
04/14/2014,Accion,032XX,W,71st St.,Place,Chicago,IL,60629,17,Day Care,,,,,,
03/05/2015,Accion,000XX,,,,Chicago,IL,60636,,Other Construction/Repair,,,,,,
03/24/2015,Accion,000XX,,,,Chicago,IL,60680,,Other Services,,,,,,
03/16/2015,Accion,135XX,S,Brainard,Avenue,Chicago,IL,60633,10,Food/Beverage,"(41.648211, -87.545773)",47,47,52,22250,586
11/20/2014,Accion,010XX,E,76th,Street,Chicago,IL,60619,8,Beauty/Salon Services,"(41.757054, -87.59882)",9,35,67,21546,497
07/08/2014,Accion,040XX,N,Drake,Avenue,Chicago,IL,60618,35,Other Services,"(41.955305, -87.71678)",2,12,16,21538,23
08/25/2013,Accion,033XX,N,Oleander,St.,Chicago,IL,60634,29,Construction/Repair,"(41.941072, -87.815556)",39,7,17,22254,458
01/10/2013,CNI,052XX,S ,Harper,Street,Chicago,IL,60615,4,Retail Sales - Other,"(41.799563, -87.589239)",1,10,8,21192,500
12/12/2014,Accion,101XX,S,Lafayette,Street,Chicago,IL,60628,9,Construction/Repair,"(41.709286, -87.624925)",30,43,45,21861,569
04/01/2015,CNI,085XX,S,Racine,Avenue,Chicago,IL,60620,21,Other Services - Tire Repair,"(41.73807, -87.653545)",18,13,70,21554,531
11/25/2014,Accion,078XX,S,Shore,Drive,Chicago,IL,60649,7,transportation,"(41.753007, -87.549327)",43,37,42,22538,505
05/08/2014,CNI,039XX,W,Lawrence,Avenue,Chicago,IL,60625,39,Construction/Repair,"(41.968356, -87.727656)",28,12,14,21849,120
06/16/2015,Accion,042XX,N,Cicero,Avenue,Chicago,IL,60641,45,Professional/Off Svc,"(41.958555, -87.747612)",20,50,15,22618,259
10/02/2013,WBDC,053XX,S,Hyde Park,Boulevard,Chicago,IL ,60653,5,Professional/Off Svc,"(41.798217, -87.584168)",32,33,8,21192,501
03/17/2015,Accion,025XX,W,16th,Street,Chicago,IL,60608,28,Entertainment,"(41.859404, -87.690337)",11,23,30,14920,16
06/12/2013,WBDC,007XX,N,Sacramento,Street,Chicago,IL,60612,27,Other Services,"(41.895306, -87.702342)",41,46,24,21184,177
05/23/2013,Accion,038XX,W,Chicago,Avenue,Chicago,IL,60651,37,Professional/Off Svc,"(41.895503, -87.723239)",41,45,24,4299,456
