"relocated_date","make","color","plate","state","relocated_from_address_number","relocated_from_street_direction","relocated_from_street_name","relocated_from_suffix","relocated_to_address_number","relocated_to_direction","relocated_to_street_name","relocated_to_suffix","relocated_reason","service_request_number","relocated_from_x_coordinate","relocated_from_y_coordinate","relocated_from_latitude","relocated_from_longitude","relocated_from_location"
"2022-08-18T13:09:00.000","Chevrolet","Black","CY49558","IL","1357","W","KOSTNER",,"1244","W","Kostner",,"Water Management","22-00087762","1176514.52350622","1900216.52038751","41.881546924","-87.627301369","
,  
(41.88154692367463, -87.62730136935829)"
"2022-08-18T13:00:00.000","Chevrolet","Gray","AQ54912","IL","3450","N","PAULINA",,"1828","W","Cornelia",,"Other","22-00087763","1164300.66177456","1923210.04452688","41.944909658","-87.671498491","
,  
(41.94490965754681, -87.67149849096931)"
"2022-08-18T12:20:00.000","Honda","Black","H888435","IL","4610","S","INDIANA","AVE","4562","S","Indiana",,"Forestry","22-00087758","1178245.72644385","1874406.53079079","41.810683252","-87.621729825","
,  
(41.81068325238388, -87.6217298245125)"
"2022-08-18T12:15:00.000","Hyundai","Silver","CR36673","IL","4604","S","INDIANA","AVE","4554","S","Indiana",,"Forestry","22-00087755","1178364.15940065","1874511.18779413","41.810967748","-87.621292248","
,  
(41.81096774841292, -87.62129224763967)"
"2022-08-18T12:05:00.000","Mercedes","White","CL28802","IL","4536","N","LAWNDALE",,"4542","N","Lawndale",,"Other","22-00087751","1150816.2942842","1930063.97193006","41.963992342","-87.720881792","
,  
(41.96399234213563, -87.72088179182018)"
"2022-08-18T11:54:00.000","Nissan","Blue","8POF380","CA","5248","W","DIVERSEY",,"2837","N","Long",,"Other","22-00087741","1176514.52350622","1900216.52038751","41.881546924","-87.627301369","
,  
(41.88154692367463, -87.62730136935829)"
"2022-08-18T11:45:00.000","Ford","White","S473839","IL","4536","N","LAWNDALE",,"4532","N","Lawndale",,"Other","22-00087743","1150816.2942842","1930063.97193006","41.963992342","-87.720881792","
,  
(41.96399234213563, -87.72088179182018)"
"2022-08-18T11:31:00.000","Ford","White","DL93777","IL","5246","W","DIVERSEY",,"2837","N","Long",,"Other","22-00087736","1176514.52350622","1900216.52038751","41.881546924","-87.627301369","
,  
(41.88154692367463, -87.62730136935829)"
"2022-08-18T11:27:00.000","Chrysler","Maroon","RBK7798","TX","1422","E","73RD","ST","1350","E","73rd st",,"Other","22-00087737","1187070.94191866","1856956.17821581","41.762593018","-87.589913694","
,  
(41.76259301844532, -87.58991369398622)"
"2022-08-18T11:15:00.000","Ford","Black","DA15172","IL","859","S","WABASH",,"300","E","Lower Wacker",,"Peoples Gas","22-00087722","1176914.08488224","1896329.15188385","41.870870729","-87.625951855","
,  
(41.87087072920139, -87.62595185539837)"
"2022-08-18T11:13:00.000","Pontiac","Gray","BJN693","IN","5241","N","MAGNOLIA",,"5210","N","Magnolia",,"Forestry","22-00087735","1167093.75358132","1935092.56098677","41.977456092","-87.660889505","
,  
(41.9774560920479, -87.6608895045423)"
"2022-08-18T11:00:00.000","Ford","Silver","544VAP","IN","5031","S","MICHIGAN","AVE","5109","S","Michigan",,"Forestry","22-00087729","1178019.23095974","1871688.0498232","41.803228641","-87.622643032","
,  
(41.803228641203994, -87.62264303186915)"
"2022-08-18T11:00:00.000","Hyundai","Black","Z214594","IL","2003","S","PRAIRIE","AVE","2647","S","Michigan",,"Water Management","22-00087724","1178442.96855304","1890688.70419512","41.855358285","-87.620510793","
,  
(41.855358285390636, -87.62051079302123)"
"2022-08-18T10:52:00.000","Volkswagen","Red","AJ97142","IL","4836","S","MICHIGAN","AVE","4830","S","Michigan",,"Forestry","22-00087725","1177878.3752744","1872834.20886847","41.806377","-87.623124878","
,  
(41.80637700036566, -87.62312487799788)"
"2022-08-18T10:47:00.000","Volkswagen","Black","56891B","IN","4838","S","MICHIGAN","AVE","4854","S","Michigan",,"Forestry","22-00087723","1177880.42585531","1872800.9779417","41.806285765","-87.623118364","
,  
(41.80628576521539, -87.62311836438485)"
"2022-08-18T10:35:00.000","Volkswagen","Red","587XTN","WI","532","W","HAWTHORNE",,"509","W","Hawthorne",,"Forestry","22-00087720","1172072.89280497","1923351.94509769","41.945130808","-87.642926886","
,  
(41.94513080781035, -87.64292688558463)"
"2022-08-18T10:31:00.000","Toyota","Blue","4092502","IL","3314","N","KENMORE","AVE","1135","W","Irving Park",,"Other","22-00087703","1168681.76279389","1922201.86740993","41.942049221","-87.65542471","
,  
(41.9420492212935, -87.65542470991518)"
