"loan_date","lender","block","street_direction","street_name","street_type","city","state","zip","ward","industry","latitude","longitude","location"
"2012-01-10T00:00:00.000","Accion","016XX","W","21st ","Street","Chicago","IL","60608","25","Retail Stores","41.854222612","-87.668174117","(41.854223, -87.668174)"
"2012-01-10T00:00:00.000","Accion","059XX","W","Patterson","Avenue","Chicago","IL","60634","39","Medical Services","41.946795663","-87.776116779","(41.946796, -87.776117)"
"2012-04-10T00:00:00.000","Accion","038XX","N","Lincoln","Avenue","Chicago","IL","60613","47","Day Care","41.951797588","-87.677279839","(41.951798, -87.67728)"
"2012-10-20T00:00:00.000","Accion","032XX","W","Douglas","Boulevard","Chicago","IL","60623","24","Professional/Off Svc","41.863049108","-87.707581493","(41.863049, -87.707581)"
"2012-10-20T00:00:00.000","Accion","048XX","S","Michigan","Avenue","Chicago","IL","60615","3","Professional/Off Svc","41.805960625","-87.622895681","(41.805961, -87.622896)"
"2012-11-10T00:00:00.000","Accion","002XX","W","Eugenie","Street","Chicago","IL","60614","2","Food/Beverage","41.912962356","-87.636673056","(41.912962, -87.636673)"
"2012-11-10T00:00:00.000","Accion","017XX","E","71st","Street","Chicago","IL","60649","7","Professional/Off Svc","41.766297058","-87.581683507","(41.766297, -87.581684)"
"2012-11-10T00:00:00.000","Accion","017XX","N","Damen","Avenue","Chicago","IL","60647","32","Clothing/Material Production","41.913788046","-87.677684427","(41.913788, -87.677684)"
"2012-11-10T00:00:00.000","Accion","018XX","S","Clark","Street","Chicago","IL","60616","43","Clothing/Material Production","41.85663565","-87.630345428","(41.856636, -87.630345)"
"2012-11-10T00:00:00.000","Accion","036XX","S","Canal","Street","Chicago","IL","60609","11","Clothing/Material Production","41.827515865","-87.637920743","(41.827516, -87.637921)"
"2012-11-10T00:00:00.000","Accion","043XX","N","Campbell","Street","Chicago","IL","60618","47","Wholesale","41.961010339","-87.691944203","(41.96101, -87.691944)"
"2012-11-20T00:00:00.000","Accion","018XX","W","63rd","Street","Chicago","IL","60636","15","Beauty/Salon Services","41.779466199","-87.671101769","(41.779466, -87.671102)"
"2012-12-04T00:00:00.000","CNI","016XX","W","87th","Street","Chicago","IL","60620","21","Retail Sales - Other","41.735873186","-87.665125327","(41.735873, -87.665125)"
"2012-12-04T00:00:00.000","CNI","069XX","S","Cornell","Avenue","Chicago","IL","60649","5","Food/Beverage","41.76821085","-87.584545179","(41.768211, -87.584545)"
"2012-12-10T00:00:00.000","Accion","007XX","E","75th","Street","Chicago","IL","60619","6","Medical Services","41.758680511","-87.605796969","(41.758681, -87.605797)"
"2012-12-10T00:00:00.000","Accion","015XX","N","Damen","Avenue","Chicago","IL","60622","1","Other Services","41.909679359","-87.677590211","(41.909679, -87.67759)"
"2012-12-10T00:00:00.000","Accion","030XX","N","Lincoln","Avenue","Chicago","IL","60657","32","Retail Stores","41.937149264","-87.665352278","(41.937149, -87.665352)"
"2012-12-10T00:00:00.000","Accion","087XX","S","Racine","Avenue","Chicago","IL","60620","21","Retail Sales - Other","41.734425227","-87.653443031","(41.734425, -87.653443)"
"2012-12-17T00:00:00.000","Accion","048XX","N","Broadway","Street","Chicago","IL","60640","46","Food/Beverage","41.970449245","-87.65985608","(41.970449, -87.659856)"
"2012-12-20T00:00:00.000","Accion","006XX","E","75th","Street","Chicago","IL","60619","6","Food/Beverage","41.758642167","-87.608238768","(41.758642, -87.608239)"
"2012-12-20T00:00:00.000","Accion","013XX","N","Paulina","Street","Chicago","IL","60622","1","Arts/Crafts Production","41.906544266","-87.670164899","(41.906544, -87.670165)"
"2013-01-10T00:00:00.000","CNI","052XX","S ","Harper","Street","Chicago","IL","60615","4","Retail Sales - Other","41.799563261","-87.589239073","(41.799563, -87.589239)"
"2013-01-11T00:00:00.000","CNI","108XX","S","Langley","Avenue","Chicago","IL","60628","9","Transportation","41.696425687","-87.606214973","(41.696426, -87.606215)"
"2013-02-20T00:00:00.000","Accion","005XX","N","Michigan","Avenue","Chicago","IL","60611","42","Food/Beverage","41.892511145","-87.624330958","(41.892511, -87.624331)"
"2013-02-27T00:00:00.000","Accion","016XX","W","18th","Street","Chicago","IL","60608","25","Food/Beverage","41.857871405","-87.668270534","(41.857871, -87.668271)"
"2013-02-28T00:00:00.000","Accion","113XX","S.","Bell","Avenue","Chicago","IL","60643","19","Professional/Off Svc","41.686896909","-87.676999722","(41.686897, -87.677)"
"2013-02-28T00:00:00.000","CNI","052XX","S","May","Street","Chicago","IL","60643","16","Construction/Repair","41.798138001","-87.653908838","(41.798138, -87.653909)"
"2013-03-11T00:00:00.000","Accion","039XX","N","Seeley","Avenue","Chicago","IL","60618","47","Arts/Crafts Production","41.953819581","-87.680104184","(41.95382, -87.680104)"
"2013-03-15T00:00:00.000","CNI","003XX","E","79th","Street","Chicago","IL","60619","6","Retail Sales - Other","41.75120691","-87.616146156","(41.751207, -87.616146)"
"2013-03-18T00:00:00.000","Accion","014XX","W","63rd","Street","Chicago","IL","60636","16","Beauty/Salon Services","41.779623958","-87.661390419","(41.779624, -87.66139)"
"2013-03-19T00:00:00.000","Accion","036XX","N","Narragansett","Avenue","Chicago","IL","60634","36","Other Services","41.947201266","-87.786459059","(41.947201, -87.786459)"
"2013-03-20T00:00:00.000","Accion","033XX","W","59th ","Street","Chicago","IL","60629","23","Beauty/Salon Services","41.786287906","-87.707836726","(41.786288, -87.707837)"
"2013-03-21T00:00:00.000","Accion","026XX","W","Toughy","Avenue","Chicago","IL","60645","50","Medical Services","42.012241707","-87.697008884","(42.012242, -87.697009)"
"2013-03-29T00:00:00.000","Accion","017XX","W","79th","Street","Chicago","IL","60620","17","Food/Beverage","41.750406805","-87.667897611","(41.750407, -87.667898)"
"2013-03-29T00:00:00.000","Accion","022XX","N","Menard","Street","Chicago","IL","60639","36","Food/Beverage","41.921776007","-87.770924082","(41.921776, -87.770924)"
"2013-04-01T00:00:00.000","Accion","000XX","E","Jackson","Boulevard","Chicago ","IL","60604","42","Other Services","41.878362592","-87.625789895","(41.878363, -87.62579)"
"2013-04-05T00:00:00.000","Accion","002XX","S","Wacker","Drive","Chicago","IL","60606","42","Other Services","41.878138181","-87.637064995","(41.878138, -87.637065)"
"2013-04-15T00:00:00.000","CNI","016XX","E","87th","Street","Chicago","IL","60619","8","Professional/Off Svc","41.737058488","-87.583180907","(41.737058, -87.583181)"
"2013-04-17T00:00:00.000","Accion","022XX","S","Troop","Street","Chicago","IL","60608","25","Other Services","41.85096156","-87.658810143","(41.850962, -87.65881)"
"2013-04-19T00:00:00.000","WBDC","009XX","W","Van Buren","Street","Chicago","IL","60607","2","Beauty/Salon Services","41.876716551","-87.651574752","(41.876717, -87.651575)"
"2013-04-19T00:00:00.000","WBDC","020XX","W","Greenleaf","Street","Chicago","IL","60645","49",,"42.010263349","-87.682413424","(42.010263, -87.682413)"
"2013-04-22T00:00:00.000","CNI","095XX","S","King","Drive","Chicago","IL","60628","6","Professional/Off Svc","41.720390674","-87.614253606","(41.720391, -87.614254)"
"2013-04-24T00:00:00.000","Accion","006XX","S","Wabash","Avenue","Chicago","IL","60605","4","Retail Sales - Other","41.873347292","-87.626117642","(41.873347, -87.626118)"
