"branch","address","city","zip","january","february","march","april","may","june","july","august","september","october","november","december","ytd","location"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","290","309","360","428","460","416","482",,,,,,"2745","POINT (-87.67426 41.692473)"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","880","984","1077","1087","1010","1091","1214",,,,,,"7343","POINT (-87.713595 41.975693)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1171","997","1370","1508","1350","1386","1432",,,,,,"9214","POINT (-87.585869 41.746322)"
"Brainerd","1350 W. 89th St.","Chicago","60620","292","270","493","459","456","564","575",,,,,,"3109","POINT (-87.657726 41.732282)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","612","594","764","699","765","590","564",,,,,,"4588","POINT (-87.813329 41.978015)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","613","554","786","769","798","897","831",,,,,,"5248","POINT (-87.660263 41.869359)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","335","323","408","425","393","439","437",,,,,,"2760","POINT (-87.76204 41.997245)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","491","469","607","656","639","669","578",,,,,,"4109","POINT (-87.637516 41.78199)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","1594","1633","2203","2279","2123","2198","2107",,,,,,"14137","POINT (-87.660306 41.990923)"
"Near North","310 W. Division St.","Chicago","60610","975","902","684","0","0","438","89",,,,,,"3088","POINT (-87.636643 41.903838)"
"Canaryville","642 W. 43rd St.","Chicago","60609","227","205","283","284","1","0","101",,,,,,"1101","POINT (-87.642569 41.81627)"
"Daley, Richard J. -Bridgeport","3400 S. Halsted St.","Chicago","60608","0","0","0","0","0","867","774",,,,,,"1641","POINT (-87.646149 41.8327)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","521","455","694","800","772","733","749",,,,,,"4724","POINT (-87.679091 41.881026)"
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","777","741","918","963","921","869","894",,,,,,"6083","POINT (-87.754876 41.938748)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","1284","1249","1569","1541","1600","1504","1614",,,,,,"10361","POINT (-87.61416 41.751132)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","470","564","802","773","829","703","705",,,,,,"4846","POINT (-87.600377 41.762277)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","451","450","582","588","553","566","651",,,,,,"3841","POINT (-87.724291 41.749388)"
"Altgeld","955 E. 131st St.","Chicago","60827","530","497","863","901","674","1086","1373",,,,,,"5924","POINT (-87.5989 41.657262)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","136","248","393","492","486","520","575",,,,,,"2850","POINT (-87.723756 41.778629)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","408","369","476","496","504","478","502",,,,,,"3233","POINT (-87.677601 41.808523)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","1160","1104","1537","1555","1488","1437","1506",,,,,,"9787","POINT (-87.67344 42.006673)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","473","448","594","544","549","495","585",,,,,,"3688","POINT (-87.780075 41.79286)"
"King","3436 S. King Dr.","Chicago","60616","900","819","1238","1204","1098","1005","1191",,,,,,"7455","POINT (-87.617335 41.832238)"
"Water Works","163 E. Pearson Street","Chicago","60611","58","59","105","137","146","198","275",,,,,,"978","POINT (-87.623234 41.897609)"
"Daley, Richard M. -W. Humboldt","733 N. Kedzie Ave.","Chicago","60612","921","775","1152","964","960","917","972",,,,,,"6661","POINT (-87.706545 41.894322)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","615","533","784","856","870","848","913",,,,,,"5419","POINT (-87.705655 41.910536)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","2032","2039","2742","2855","2872","2886","2979",,,,,,"18405","POINT (-87.684637 41.962677)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","830","753","1124","1232","1161","985","989",,,,,,"7074","POINT (-87.590212 41.807619)"
"North Austin","5724 W. North Ave.","Chicago","60639","525","498","688","752","592","585","595",,,,,,"4235","POINT (-87.768877 41.909401)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","558","534","688","825","820","962","938",,,,,,"5325","POINT (-87.668233 41.89606)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","731","689","863","855","794","813","826",,,,,,"5571","POINT (-87.696439 41.983843)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","748","757","929","1052","943","831","911",,,,,,"6171","POINT (-87.658126 41.925316)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","531","474","669","556","597","549","687",,,,,,"4063","POINT (-87.66821 41.779364)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","742","586","832","756","697","765","654",,,,,,"5032","POINT (-87.726723 41.801206)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","330","240","405","410","351","340","302",,,,,,"2378","POINT (-87.548914 41.659153)"
"Independence","4024 N. Elston Ave.","Chicago","60618","636","568","719","716","707","722","690",,,,,,"4758","POINT (-87.719889 41.954219)"
