"service_request_type","service_request_number","date_service_request_was_received","location_of_building_on_the_lot_if_garage_change_type_code_to_bgd_","is_the_building_dangerous_or_hazardous_","is_building_open_or_boarded_","if_the_building_is_open_where_is_the_entry_point_","is_the_building_currently_vacant_or_occupied_","is_the_building_vacant_due_to_fire_","any_people_using_property_homeless_childen_gangs_","address_street_number","address_street_direction","address_street_name","address_street_suffix","zip_code","x_coordinate","y_coordinate","ward","police_district","community_area","latitude","longitude","location"
"Vacant/Abandoned Building","18-03380438","2018-12-17T00:00:00.000","Front",,"Open","FRONT DOOR","Vacant","false","false","8201","S","ADA","ST","60620","1168755.21772484","1850381.02920723","21","6","71","41.74496468711232","-87.65723277941012","(41.744964687112, -87.65723277941)"
"Vacant/Abandoned Building","18-03382499","2018-12-17T00:00:00.000","Front",,"Open","OPEN LOT","Occupied","false","true","731","N","PULASKI","RD","60624","1149592.31191397","1904587.94002897","37","11","23","41.89410779489575","-87.72604546458307","(41.894107794896, -87.726045464583)"
"Vacant/Abandoned Building","18-03384005","2018-12-17T00:00:00.000","Front",,"Open",,"Vacant","false","false","8455","S","BURNHAM","AVE","60617","1196293.48240573","1849447.120995","7","4","46","41.74176391586047","-87.55636087437131","(41.74176391586, -87.556360874371)"
"Vacant/Abandoned Building","18-03379703","2018-12-17T00:00:00.000","Front",,"Open","BAC","Vacant","false","true","7840","S","BENNETT","AVE","60649","1190229.94157253","1853363.51917163","8","4","43","41.75265895197463","-87.57845120487023","(41.752658951975, -87.57845120487)"
"Vacant/Abandoned Building","18-03374995","2018-12-16T00:00:00.000","Rear",,"Boarded",,"Vacant","false","false","8530","S","CARPENTER","ST","60620","1170805.10477382","1848250.9429985","21","6","71","41.73907499704161","-87.6497836862082","(41.739074997042, -87.649783686208)"
"Vacant/Abandoned Building","18-03371860","2018-12-16T00:00:00.000","Front",,"Boarded",,"Vacant","false","false","6058","S","MOZART","ST","60629","1158417.21898829","1864343.72289956","16","8","66","41.78349707611395","-87.69473315833419","(41.783497076114, -87.694733158334)"
"Vacant/Abandoned Building","18-03373667","2018-12-16T00:00:00.000","Rear",,"Open","NORTHSIDE OF HOUSE","Vacant","false","false","6653","S","WABASH","AVE","60637","1177752.52457146","1860898.8064104","20","3","69","41.77362793736677","-87.62394764491118","(41.773627937367, -87.623947644911)"
"Vacant/Abandoned Building","18-03366142","2018-12-15T00:00:00.000","Front",,"Open","DOORS/WINDOWS","Vacant","true","false","13143","S","CARONDOLET","AVE","60633","1198433.73239265","1818412.9700882","10","4","55","41.65654996472923","-87.5495540187316","(41.656549964729, -87.549554018732)"
"Vacant/Abandoned Building","18-03363941","2018-12-15T00:00:00.000","Front",,"Open","FRONT AND REAR","Vacant","false","false","1131","S","MOZART","ST","60612","1157527.89999065","1895040.02001058","28","11","29","41.867749559059185","-87.69716037609314","(41.867749559059, -87.697160376093)"
"Vacant/Abandoned Building","18-03364763","2018-12-15T00:00:00.000","Front",,"Open","FRONT","Vacant","false","true","7222","S","EUCLID","AVE","60649","1190294.44408873","1857380.6101283","5","3","43","41.76368063945024","-87.57808559633982","(41.76368063945, -87.57808559634)"
"Vacant/Abandoned Building","18-03359892","2018-12-14T00:00:00.000","Garage",,"Boarded",,"Vacant","false","false","2651","W","AUGUSTA","BLVD","60622","1158539.0978194","1906551.04428198","26","12","24","41.89931625205573","-87.69313283112432","(41.899316252056, -87.693132831124)"
"Vacant/Abandoned Building","18-03358253","2018-12-14T00:00:00.000","Front",,"Open","DOORS, FROMT AND REAR","Occupied","false","true","620","E","89TH","PL","60619","1181938.63938974","1845771.19942051","6","6","44","41.73202038732557","-87.6090692220125","(41.732020387326, -87.609069222012)"
"Vacant/Abandoned Building","18-03359591","2018-12-14T00:00:00.000","Front",,"Boarded",,"Vacant","false","true","11841","S","LAFAYETTE","AVE","60628","1178042.35540593","1826446.19659477","34","5","53","41.67907898565401","-87.62392601942541","(41.679078985654, -87.623926019425)"
"Vacant/Abandoned Building","18-03359302","2018-12-14T00:00:00.000","Front",,"Boarded",,"Vacant","false","false","1221","W","107TH","PL","60643","1170059.72622899","1833488.33382526","34","22","75","41.69858040993363","-87.65294206418864","(41.698580409934, -87.652942064189)"
"Vacant/Abandoned Building","18-03359220","2018-12-14T00:00:00.000","Front",,"Boarded",,"Vacant","false","false","1041","W","103RD","PL","60643","1171203.67331807","1836184.36006943","34","22","73","41.705953848024684","-87.64867500964075","(41.705953848025, -87.648675009641)"
"Vacant/Abandoned Building","18-03362259","2018-12-14T00:00:00.000","Front",,"Open",,"Vacant","false","true","6057","S","MOZART","ST","60629","1158417.11898829","1864350.42289956","16","8","66","41.78351546389895","-87.69473334253264","(41.783515463899, -87.694733342533)"
"Vacant/Abandoned Building","18-03358497","2018-12-14T00:00:00.000","Front",,"Open",,"Vacant","false","false","3533","N","OZARK","AVE","60634","1123790.52460024","1922547.40150106","38","16","17","41.94385305803089","-87.82041466733712","(41.943853058031, -87.820414667337)"
"Vacant/Abandoned Building","18-03360079","2018-12-14T00:00:00.000","Rear",,"Open","REAR","Vacant","false","true","9032","S","THROOP","ST","60620","1169245.40939052","1844875.09833183","21","22","73","41.7298450489147","-87.65559551728676","(41.729845048915, -87.655595517287)"
"Vacant/Abandoned Building","18-03359572","2018-12-14T00:00:00.000","Front",,"Open",,"Vacant","true","true","12312","S","LOWE","AVE","60628","1174168.41002497","1823234.89000804","34","5","53","41.67035329477204","-87.63820101616922","(41.670353294772, -87.638201016169)"
"Vacant/Abandoned Building","18-03361044","2018-12-14T00:00:00.000","Front",,"Boarded","REAR","Vacant","false","true","1344","S","SPRINGFIELD","AVE","60623","1150594.28011069","1893464.273621","24","10","29","41.8635637089307","-87.7226562134223","(41.863563708931, -87.722656213422)"
"Vacant/Abandoned Building","18-03361423","2018-12-14T00:00:00.000","Front",,"Open","GARAGE","Vacant","false","false","500","W","103RD","PL","60628","1174791.25303002","1836263.66818945","34","22","49","41.7060924585013","-87.63553521714896","(41.706092458501, -87.635535217149)"
