"branch","address","city","zip","january","february","march","april","may","june","july","august","september","october","november","december","ytd","location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","4274","3486","5170","4864","4561","5711","5983","5675","5603","5699","5370","5238","61634","POINT (-87.713595 41.975693)"
"Altgeld","955 E. 131st St.","Chicago","60827","127","81","156","173","146","153","206","248","171","146","173","154","1934","POINT (-87.5989 41.657262)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","1852","1587","1858","1791","1842","2328","2847","2538","2395","2579","2574","2129","26320","POINT (-87.726723 41.801206)"
"Austin","5615 W. Race Ave.","Chicago","60644","680","626","667","549","565","682","581","512","625","611","563","447","7108","POINT (-87.766942 41.889281)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","4715","4232","5796","4717","5354","6140","6020","5749","5311","5480","4718","4702","62934","POINT (-87.779388 41.953025)"
"Auto-Renewals",,,,"671609","646073","656125","672808","528412","471670","478883","513804","479910","505541","502847","501666","6629348",
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1342","1099","1241","1264","1368","1378","1242","1432","1589","1476","1355","1217","16003","POINT (-87.585869 41.746322)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","856","647","1070","1006","943","1090","1241","1179","1073","1363","1032","916","12416","POINT (-87.677601 41.808523)"
"Beverly","1962 W. 95th St.","Chicago","60643","2827","2245","2868","2782","2869","3118","3637","3196","3080","3177","3395","2655","35849","POINT (-87.672288 41.721148)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","162","1265","5408","5055","5312","5845","6276","5696","5540","5640","5614","5260","57073","POINT (-87.660739 41.971414)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","6012","5296","6948","6582","6980","7013","7787","7423","6576","6929","6932","6279","80757","POINT (-87.590212 41.807619)"
"Brainerd","1350 W. 89th St.","Chicago","60620","311","349","501","60","85","278","197","280","277","337","314","332","3321","POINT (-87.657726 41.732282)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1491","1090","1704","1471","1525","1643","1914","1551","200","26","1170","1172","14957","POINT (-87.703067 41.814848)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","7291","6310","7795","7504","7660","8099","8006","7335","7450","7997","7550","6710","89707","POINT (-87.680298 41.912224)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","5277","4665","5837","5800","5365","6208","6639","6571","5725","5829","6116","5854","69886","POINT (-87.696439 41.983843)"
"Canaryville","642 W. 43rd St.","Chicago","60609","0","0","0","0","0","0","131","869","1042","969","941","935","4887","POINT (-87.642569 41.81627)"
"Chicago Bee","3647 S. State St.","Chicago","60609","595","582","506","610","594","704","634","726","777","865","777","521","7891","POINT (-87.626436 41.828152)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","1111","902","1264","1184","1452","1661","2000","1634","1509","1895","1563","1380","17555","POINT (-87.703231 41.781967)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","3460","2654","4009","3597","4333","4730","5682","5269","5466","5500","5240","4414","54354","POINT (-87.631794 41.854267)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","1667","1262","1465","1517","1579","2025","2072","1754","1714","1696","1830","1603","20184","POINT (-87.782282 41.7768)"
"Coleman","731 E. 63rd St.","Chicago","60637","836","716","883","657","1013","766","1205","1110","1147","1024","988","812","11157","POINT (-87.606849 41.780405)"
"Daley, Richard J.- Bridgeport","3400 S. Halsted St.","Chicago","60608","4034","3152","3647","3708","3555","3532","3910","864","0","0","0","0","26402","POINT (-87.646149 41.8327)"
"Daley, Richard M.- W Humboldt","733 N. Kedzie Ave.","Chicago","60612","1541","1477","1455","1499","1246","1309","1321","1335","1221","1432","1458","989","16283","POINT (-87.706545 41.894322)"
"Douglass","3353 W. 13th St.","Chicago","60623","366","273","347","318","393","475","389","410","543","517","358","463","4852","POINT (-87.709767 41.864527)"
"Downloadable Media",,,,"217891","202027","202055","191216","195811","189325","193068","198273","180638","181426","177454","187409","2316593",
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","3229","2701","3431","3092","3034","3721","3820","3373","3073","3151","3008","2564","38197","POINT (-87.813908 41.94331)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","6378","5498","6690","6451","5971","6744","7849","7082","6354","6003","6511","5137","76668","POINT (-87.76204 41.997245)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","11193","10185","11125","10500","10898","11595","11650","10854","10376","10137","9685","9539","127737","POINT (-87.660306 41.990923)"
"Gage Park","2807 W. 55th St.","Chicago","60632","0","0","0","0","0","0","18","545","423","669","608","510","2773","POINT (-87.694138 41.793722)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.798468 41.921134)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","2437","2449","3093","2500","2628","3348","3691","2723","2893","3099","2593","2273","33727","POINT (-87.780075 41.79286)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","336","376","428","398","460","462","307","0","377","627","596","498","4865","POINT (-87.600377 41.762277)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","6","162","418","469","525","616","712","691","671","632","684","583","6169","POINT (-87.622776 41.807273)"
"Harold Washington Library Center","400 S. State Street","Chicago","60605","20965","18837","21898","21220","22635","25011","24932","24348","24256","23970","22693","21046","271811","POINT (-87.627695 41.876301)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","823","775","1004","960","948","1118","1117","1049","1080","1055","885","701","11515","POINT (-87.548914 41.659153)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","3107","2961","3211","2867","3014","3000","3394","2893","3263","3164","2962","2813","36649","POINT (-87.705655 41.910536)"
"Independence","4024 N. Elston Ave.","Chicago","60618","5069","4572","5989","5474","5372","6068","6791","6559","5961","6320","6091","5281","69547","POINT (-87.719889 41.954219)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","3868","3332","4559","4174","4175","4866","5573","5385","4925","5395","5085","4116","55453","POINT (-87.761964 41.967648)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","267","178","284","260","41","102","272","326","348","303","464","360","3205","POINT (-87.565489 41.713513)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","323","268","303","270","274","332","355","533","399","439","470","368","4334","POINT (-87.637516 41.78199)"
"King","3436 S. King Dr.","Chicago","60616","845","804","930","900","976","1201","1344","1029","1217","1110","1189","1159","12704","POINT (-87.617335 41.832238)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","344","234","421","420","488","466","479","566","435","458","454","461","5226","POINT (-87.725593 41.879302)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","9936","8912","11336","10740","10787","12202","11856","11427","10767","10886","10992","9308","129149","POINT (-87.670433 41.940599)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","8658","7667","9869","9269","9727","10208","10190","10048","9936","9856","10238","8933","114599","POINT (-87.658126 41.925316)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","3978","3273","4237","3465","3835","4460","4906","4461","3842","3865","3896","3575","47793","POINT (-87.660263 41.869359)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","1041","924","1280","1157","1223","1395","1829","1318","1478","1443","1541","1138","15767","POINT (-87.705179 41.849599)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","7374","7246","8600","8373","8623","9533","9856","9227","9132","9220","9424","8686","105294","POINT (-87.703483 41.924806)"
"Lozano","1805 S. Loomis St.","Chicago","60608","1823","1760","2210","1829","2177","2305","2255","2355","2314","2112","2109","1859","25108","POINT (-87.661298 41.857604)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","0","0","0","0","0","0","0","7","171","547","620","530","1875","POINT (-87.679091 41.881026)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","2396","1917","2867","2457","2364","2265","2615","2504","2627","2498","2602","3076","30188","POINT (-87.738155 41.968148)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","127","1592","2512","2222","2405","2677","3123","3733","4041","3706","3705","7565","37408","POINT (-87.673442 41.830421)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","7473","7031","7944","8022","8035","8101","8093","8334","8640","8994","7904","2862","91433","POINT (-87.646055 41.940054)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","3330","2750","3261","3392","3230","3845","3746","3663","3176","2951","2862","5610","41816","POINT (-87.700878 41.692925)"
"Near North","310 W. Division St.","Chicago","60610","7399","6872","7910","7329","8085","8318","8412","7284","6777","6853","6639","498","82376","POINT (-87.636643 41.903838)"
"North Austin","5724 W. North Ave.","Chicago","60639","610","472","549","523","547","497","644","647","564","638","395","855","6941","POINT (-87.768877 41.909401)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","876","614","783","720","1020","974","1002","1017","1025","1213","1112","8037","18393","POINT (-87.733923 41.909856)"
"Northtown","6800 N. Western Ave.","Chicago","60645","9320","8239","9846","8881","9253","10035","10412","9839","8712","9200","8452","4575","106764","POINT (-87.690175 42.00536)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","4375","3797","4725","4339","4386","5128","5511","4719","4630","5156","4850","3057","54673","POINT (-87.813329 41.978015)"
"Patron Initiated renewals (automated phone)",,,,"494","691","607","831","807","937","1148","1124","1091","1176","1096","831","10833",
"Patron Initiated renewals (online)",,,,"32827","29852","31102","29174","29518","29278","28197","27596","26360","27854","27557","28679","347994",
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","3040","2903","3681","3430","3641","3450","3855","3481","3766","3612","3238","353","38450","POINT (-87.754876 41.938748)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","222","288","271","302","325","335","342","357","324","365","468","3480","7079","POINT (-87.618295 41.694366)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","3850","3744","4532","3523","4199","4403","4971","4548","3874","4435","4010","6002","52091","POINT (-87.798265 41.991862)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","4582","6311","6404","6489","5983","6257","7070","6453","6383","6528","6449","1285","70194","POINT (-87.67344 42.006673)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","984","896","1185","1091","975","1028","1348","1222","1274","1474","1419","197","13093","POINT (-87.724291 41.749388)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","158","199","204","140","174","199","273","253","189","173","159","738","2859","POINT (-87.65487 41.794843)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","154","291","628","605","564","721","875","963","861","656","640","927","7885","POINT (-87.549849 41.730371)"
"South Shore","2505 E. 73rd St.","Chicago","60649","687","694","893","902","929","1153","1292","1038","975","941","975","21671","32150","POINT (-87.563672 41.762654)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","22742","20954","24275","23702","23039","25051","24576","24156","23213","23756","24048","651","260163","POINT (-87.684637 41.962677)"
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","723","659","728","633","638","611","758","753","771","723","869","2120","9986","POINT (-87.65393 41.757373)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","1746","1562","2159","1766","1677","1895","2070","1829","2640","2503","2187","1636","23670","POINT (-87.724477 41.842073)"
"Uptown","929 W. Buena Ave.","Chicago","60613","6972","5496","5671","5047","5163","5812","6126","5643","5797","5623","5343","4768","67461","POINT (-87.654217 41.95846)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","1091","1109","1550","1497","1259","1681","2009","1603","1818","1882","1573","1554","18626","POINT (-87.533513 41.70272)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","800","705","850","803","815","953","1098","914","880","1060","891","772","10541","POINT (-87.67426 41.692473)"
"Water Works","163 E. Pearson Street","Chicago","60611","0","0","0","0","0","0","123","1561","1825","2166","2239","2286","10200","POINT (-87.623234 41.897609)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","2877","2234","3398","2727","2518","3090","3322","3186","3356","3192","3037","2618","35555","POINT (-87.785858 41.936833)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","155","173","135","111","161","201","225","270","337","346","310","260","2684","POINT (-87.747411 41.895019)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","355","309","238","318","231","332","310","310","345","504","390","254","3896","POINT (-87.66821 41.779364)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","1174","1010","1538","1243","1428","629","13","0","0","0","0","0","7035","POINT (-87.723756 41.778629)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","3468","3130","3701","3830","3727","4043","4209","4126","3823","4057","3845","3547","45506","POINT (-87.654421 41.883595)"
"West Pullman","830 W. 119th St.","Chicago","60643","562","344","591","539","581","493","735","682","637","835","668","694","7361","POINT (-87.643327 41.677819)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","3631","3003","3596","3508","3787","3361","3725","4217","4401","4087","4280","3868","45464","POINT (-87.668233 41.89606)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","601","441","585","611","783","813","668","843","936","744","572","545","8142","POINT (-87.61416 41.751132)"
"Woodson Regional Library","9525 S. Halsted St.","Chicago","60628","2020","1681","1909","2071","1939","1589","2162","2056","2173","2220","1872","1636","23328","POINT (-87.643122 41.720675)"
"Wrightwood-Ashburn","8530 S. Kedzie Ave.","Chicago","60652","597","0","447","486","606","791","679","746","740","755","833","607","7287","POINT (-87.702091 41.738331)"
