Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JA154780,01/01/2005 12:00:00 AM,0000X E 118TH PL,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,true,false,0532,9,02,,,2005,,,
JA171875,01/01/2005 12:00:00 AM,041XX S MAPLEWOOD AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,false,0921,12,02,,,2005,,,
JB377557,01/01/2005 12:00:00 AM,037XX W MYRICK ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,0833,18,17,,,2005,,,
HL100198,01/01/2005 12:00:00 AM,006XX E GRAND AVE,0870,THEFT,POCKET-PICKING,PARK PROPERTY,false,false,1834,42,06,1180796,1904058,2005,41.891990384,-87.611461502,"(41.891990384, -87.611461502)"
HL100159,01/01/2005 12:00:00 AM,023XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0134,2,14,1177575,1888968,2005,41.850656285,-87.623748793,"(41.850656285, -87.623748793)"
HL100589,01/01/2005 12:00:00 AM,095XX S VINCENNES AVE,0460,BATTERY,SIMPLE,STREET,false,false,2213,21,08B,1170599,1841703,2005,41.721110998,-87.650729069,"(41.721110998, -87.650729069)"
HL101410,01/01/2005 12:00:00 AM,018XX S SPRINGFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1014,24,14,1150693,1890623,2005,41.855764988,-87.722368038,"(41.855764988, -87.722368038)"
HL101691,01/01/2005 12:00:00 AM,009XX E 46TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2123,4,14,1183342,1874708,2005,41.811393188,-87.603028028,"(41.811393188, -87.603028028)"
HL103101,01/01/2005 12:00:00 AM,011XX E 47TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2124,4,26,1184573,1874073,2005,41.809621907,-87.59853277,"(41.809621907, -87.59853277)"
HL103237,01/01/2005 12:00:00 AM,049XX W WASHINGTON BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1533,28,26,1143466,1900050,2005,41.881771933,-87.748659279,"(41.881771933, -87.748659279)"
HL100046,01/01/2005 12:00:00 AM,115XX S WATKINS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE PORCH/HALLWAY,true,false,2234,34,15,1166331,1828180,2005,41.68409346,-87.666745287,"(41.68409346, -87.666745287)"
HL100023,01/01/2005 12:00:00 AM,089XX S LOWE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,OTHER,false,false,2223,21,15,1173539,1845573,2005,41.731666338,-87.639846281,"(41.731666338, -87.639846281)"
HL104724,01/01/2005 12:00:00 AM,003XX N HALSTED ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1212,27,06,1170994,1902180,2005,41.88705768,-87.647514742,"(41.88705768, -87.647514742)"
HL104934,01/01/2005 12:00:00 AM,050XX W PATTERSON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1634,38,26,1142084,1923798,2005,41.946964747,-87.753144109,"(41.946964747, -87.753144109)"
HL104942,01/01/2005 12:00:00 AM,017XX N CLARK ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1814,43,26,1174758,1912049,2005,41.914055338,-87.633396724,"(41.914055338, -87.633396724)"
HL105906,01/01/2005 12:00:00 AM,050XX N SHERIDAN RD,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,false,false,2024,46,14,1168720,1933841,2005,41.973986588,-87.654945516,"(41.973986588, -87.654945516)"
HL106436,01/01/2005 12:00:00 AM,032XX N CLIFTON AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,false,false,1924,44,11,1168049,1921660,2005,41.940576021,-87.657766071,"(41.940576021, -87.657766071)"
HL100244,01/01/2005 12:00:00 AM,002XX W 112TH ST,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,ALLEY,true,false,0522,34,15,1176595,1830668,2005,41.690696834,-87.62909758,"(41.690696834, -87.62909758)"
HL110295,01/01/2005 12:00:00 AM,042XX S WELLS ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0935,3,14,1175319,1876903,2005,41.817599792,-87.632389996,"(41.817599792, -87.632389996)"
HL128969,01/01/2005 12:00:00 AM,050XX S DREXEL BLVD,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,2124,4,06,1183163,1871886,2005,41.803653573,-87.603772447,"(41.803653573, -87.603772447)"
HL143451,01/01/2005 12:00:00 AM,030XX W FULTON BLVD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1331,27,05,1156214,1901854,2005,41.886474422,-87.701799883,"(41.886474422, -87.701799883)"
HL144942,01/01/2005 12:00:00 AM,106XX S PROSPECT AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2212,19,06,1167593,1834156,2005,41.700465715,-87.661954974,"(41.700465715, -87.661954974)"
HL156963,01/01/2005 12:00:00 AM,106XX S AVENUE B,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0432,10,06,1204784,1834978,2005,41.701845085,-87.525750048,"(41.701845085, -87.525750048)"
HL147173,01/01/2005 12:00:00 AM,074XX W DEVON AVE,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,APARTMENT,false,false,1612,41,17,1125868,1941960,2005,41.997088976,-87.812344747,"(41.997088976, -87.812344747)"
HL160296,01/01/2005 12:00:00 AM,005XX N LAWLER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,1532,28,26,1142600,1903168,2005,41.890344249,-87.751761657,"(41.890344249, -87.751761657)"
HL161707,01/01/2005 12:00:00 AM,005XX E 87TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0632,6,26,1181513,1847423,2005,41.736562939,-87.610577685,"(41.736562939, -87.610577685)"
HL164134,01/01/2005 12:00:00 AM,036XX W LEXINGTON ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,1133,24,06,1152230,1896453,2005,41.871733025,-87.716572725,"(41.871733025, -87.716572725)"
HL164266,01/01/2005 12:00:00 AM,013XX W 87TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,0613,21,11,1168699,1847067,2005,41.735871734,-87.657534129,"(41.735871734, -87.657534129)"
HL168032,01/01/2005 12:00:00 AM,025XX W WINONA ST,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,false,2031,40,20,1158410,1934076,2005,41.974849215,-87.692851689,"(41.974849215, -87.692851689)"
HL173884,01/01/2005 12:00:00 AM,018XX N FAIRFIELD AVE,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,false,false,1421,1,06,1157745,1912185,2005,41.914792517,-87.695895767,"(41.914792517, -87.695895767)"
HL175469,01/01/2005 12:00:00 AM,013XX W 72ND ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0734,17,06,1168537,1857017,2005,41.76317939,-87.657841453,"(41.76317939, -87.657841453)"
HL176284,01/01/2005 12:00:00 AM,045XX N SAWYER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1724,33,26,1153900,1929960,2005,41.963645993,-87.709546668,"(41.963645993, -87.709546668)"
HL177093,01/01/2005 12:00:00 AM,027XX W BALMORAL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,2011,40,06,1157123,1935754,2005,41.979480037,-87.697538611,"(41.979480037, -87.697538611)"
HL177234,01/01/2005 12:00:00 AM,108XX S PROSPECT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2212,19,11,1167357,1832951,2005,41.697164042,-87.662853467,"(41.697164042, -87.662853467)"
HL184570,01/01/2005 12:00:00 AM,109XX S AVENUE O,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,0432,10,06,1200887,1833111,2005,41.696821264,-87.540082281,"(41.696821264, -87.540082281)"
HL188447,01/01/2005 12:00:00 AM,015XX S SAWYER AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1022,24,11,1154946,1892284,2005,41.860238854,-87.70671287,"(41.860238854, -87.70671287)"
HL188760,01/01/2005 12:00:00 AM,003XX S KILPATRICK AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1131,24,26,1145110,1898039,2005,41.876222614,-87.742673299,"(41.876222614, -87.742673299)"
HL193435,01/01/2005 12:00:00 AM,087XX S ABERDEEN ST,1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,DAY CARE CENTER,false,false,2222,21,14,1170513,1846788,2005,41.735066839,-87.650896405,"(41.735066839, -87.650896405)"
HL339057,01/01/2005 12:00:00 AM,063XX N OAKLEY AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,2413,50,06,1159827,1942133,2005,41.996928759,-87.687417479,"(41.996928759, -87.687417479)"
HL348061,01/01/2005 12:00:00 AM,024XX N PULASKI RD,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,true,false,2524,30,20,1149306,1916021,2005,41.925486783,-87.72680008,"(41.925486783, -87.72680008)"
HL361802,01/01/2005 12:00:00 AM,043XX N CICERO AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,1722,45,17,1143589,1928359,2005,41.95945244,-87.747497487,"(41.95945244, -87.747497487)"
HL362228,01/01/2005 12:00:00 AM,012XX W 72ND ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,0734,17,02,1169282,1857038,2005,41.76322093,-87.655110282,"(41.76322093, -87.655110282)"
HL203403,01/01/2005 12:00:00 AM,004XX W 61ST PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0711,20,06,1174412,1864158,2005,41.782646487,-87.63609635,"(41.782646487, -87.63609635)"
HL210415,01/01/2005 12:00:00 AM,021XX W JACKSON BLVD,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,false,false,1211,2,20,1162271,1898678,2005,41.87763473,-87.679645914,"(41.87763473, -87.679645914)"
HL182579,01/01/2005 12:00:00 AM,097XX S CALUMET AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,STREET,false,false,0511,6,06,1180297,1840470,2005,41.717510987,-87.615245176,"(41.717510987, -87.615245176)"
HL220593,01/01/2005 12:00:00 AM,035XX W NORTH AVE,0485,BATTERY,AGGRAVATED OF A CHILD,RESIDENCE,true,true,1422,26,04B,1152667,1910408,2005,41.910018319,-87.714598865,"(41.910018319, -87.714598865)"
HL220158,01/01/2005 12:00:00 AM,053XX S MOBILE AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,0811,23,06,1135280,1868561,2005,41.795510275,-87.779464182,"(41.795510275, -87.779464182)"
HL225621,01/01/2005 12:00:00 AM,030XX E 78TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0421,7,06,1197616,1854432,2005,41.755409918,-87.551349331,"(41.755409918, -87.551349331)"
HL224264,01/01/2005 12:00:00 AM,049XX W OHIO ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1532,37,06,1143290,1903539,2005,41.891349455,-87.749218348,"(41.891349455, -87.749218348)"
HL280157,01/01/2005 12:00:00 AM,004XX E BOWEN AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,0213,3,06,1179864,1877579,2005,41.819351842,-87.61569704,"(41.819351842, -87.61569704)"
HL280482,01/01/2005 12:00:00 AM,064XX S VERNON AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,0312,20,06,1180358,1862422,2005,41.77774836,-87.614349937,"(41.77774836, -87.614349937)"
HL280584,01/01/2005 12:00:00 AM,034XX W POLK ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,false,false,1133,24,06,1153533,1896156,2005,41.870892234,-87.711796756,"(41.870892234, -87.711796756)"
HL279652,01/01/2005 12:00:00 AM,075XX S SANGAMON ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,false,false,0621,17,26,1171284,1854745,2005,41.756885098,-87.647839552,"(41.756885098, -87.647839552)"
HL294995,01/01/2005 12:00:00 AM,004XX W 97TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2223,21,05,1174958,1840580,2005,41.717933377,-87.634796373,"(41.717933377, -87.634796373)"
HL378502,01/01/2005 12:00:00 AM,015XX N PARKSIDE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,2531,29,08A,1138386,1909649,2005,41.908206239,-87.767080568,"(41.908206239, -87.767080568)"
HL400970,01/01/2005 12:00:00 AM,117XX S MORGAN ST,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,true,0524,34,20,1171771,1826900,2005,41.680463701,-87.646868452,"(41.680463701, -87.646868452)"
HL403314,01/01/2005 12:00:00 AM,031XX W 39TH PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0912,14,06,1156004,1878252,2005,41.821712132,-87.703207097,"(41.821712132, -87.703207097)"
HL409444,01/01/2005 12:00:00 AM,120XX S INDIANA AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0532,9,06,1179746,1825006,2005,41.67508821,-87.617733809,"(41.67508821, -87.617733809)"
HL409758,01/01/2005 12:00:00 AM,022XX N MAGNOLIA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1811,32,26,1167610,1915005,2005,41.922323843,-87.659571753,"(41.922323843, -87.659571753)"
HL411083,01/01/2005 12:00:00 AM,058XX S NORDICA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,0811,23,14,1130388,1864997,2005,41.78581508,-87.7974852,"(41.78581508, -87.7974852)"
HL423753,01/01/2005 12:00:00 AM,047XX W BELDEN AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,STREET,false,false,2522,31,06,1144263,1914870,2005,41.922424715,-87.745359695,"(41.922424715, -87.745359695)"
HL425359,01/01/2005 12:00:00 AM,028XX S KOSTNER AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,1031,22,20,1147522,1884720,2005,41.839627709,-87.734158437,"(41.839627709, -87.734158437)"
HL435326,01/01/2005 12:00:00 AM,078XX S PAULINA ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,OTHER,false,false,0611,17,11,1166371,1852799,2005,41.751651017,-87.665900202,"(41.751651017, -87.665900202)"
HL436487,01/01/2005 12:00:00 AM,072XX S ST LAWRENCE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,true,0323,6,20,1181488,1857115,2005,41.763159424,-87.610370918,"(41.763159424, -87.610370918)"
HL468596,01/01/2005 12:00:00 AM,005XX S LARAMIE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1522,29,06,1141807,1897092,2005,41.873685659,-87.754824381,"(41.873685659, -87.754824381)"
HL473392,01/01/2005 12:00:00 AM,001XX W 83RD ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0622,21,06,1176621,1849944,2005,41.743592217,-87.628424599,"(41.743592217, -87.628424599)"
HL479385,01/01/2005 12:00:00 AM,016XX W 58TH ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,0715,15,02,1166480,1866250,2005,41.788560011,-87.665117806,"(41.788560011, -87.665117806)"
HL530471,01/01/2005 12:00:00 AM,006XX W 48TH PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,0935,11,06,1172805,1872729,2005,41.806201832,-87.641735264,"(41.806201832, -87.641735264)"
