Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JB185921,01/01/2007 12:00:00 AM,055XX S ALBANY AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,true,false,0824,14,02,,,2007,,,
JC292601,01/01/2007 12:00:00 AM,069XX W 64TH PL,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,0812,23,02,,,2007,,,
HY312751,01/01/2007 12:00:00 AM,104XX S INDIANA AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,true,0512,9,02,,,2007,,,
HN100058,01/01/2007 12:00:00 AM,015XX N CENTRAL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,OTHER,true,false,2531,29,15,1138717,1909598,2007,41.908060286,-87.765865863,"(41.908060286, -87.765865863)"
HN100135,01/01/2007 12:00:00 AM,015XX W 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0734,17,14,1167472,1857649,2007,41.764936566,-87.661726795,"(41.764936566, -87.661726795)"
HN100293,01/01/2007 12:00:00 AM,117XX S WALLACE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0524,34,26,1174423,1826846,2007,41.680257123,-87.637162462,"(41.680257123, -87.637162462)"
HN100101,01/01/2007 12:00:00 AM,077XX S LOOMIS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0612,17,14,1168341,1853420,2007,41.753312963,-87.658663224,"(41.753312963, -87.658663224)"
HN100775,01/01/2007 12:00:00 AM,074XX S LUELLA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0333,7,14,1192502,1856078,2007,41.760052702,-87.57003694,"(41.760052702, -87.57003694)"
HN100849,01/01/2007 12:00:00 AM,017XX W GRANVILLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2433,40,14,1163434,1941227,2007,41.994367241,-87.674174477,"(41.994367241, -87.674174477)"
HN100899,01/01/2007 12:00:00 AM,044XX S HOMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,false,false,0821,14,14,1154437,1874820,2007,41.81232566,-87.709047203,"(41.81232566, -87.709047203)"
HN100947,01/01/2007 12:00:00 AM,084XX S CONSTANCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0412,8,14,1189992,1849433,2007,41.741878974,-87.579449345,"(41.741878974, -87.579449345)"
HN101001,01/01/2007 12:00:00 AM,069XX S ROCKWELL ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0831,18,26,1160239,1858543,2007,41.767541748,-87.688213376,"(41.767541748, -87.688213376)"
HN101264,01/01/2007 12:00:00 AM,046XX N CLARENDON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2312,46,26,1170082,1930842,2007,41.965727545,-87.650025065,"(41.965727545, -87.650025065)"
HN101326,01/01/2007 12:00:00 AM,050XX N BROADWAY,0820,THEFT,$500 AND UNDER,STREET,false,false,2033,46,06,1167398,1933847,2007,41.974031676,-87.659806667,"(41.974031676, -87.659806667)"
HN101370,01/01/2007 12:00:00 AM,030XX W WARREN BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1331,2,14,1156207,1900200,2007,41.881935827,-87.701870282,"(41.881935827, -87.701870282)"
HN101407,01/01/2007 12:00:00 AM,115XX S FRONT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0532,9,14,1181155,1828655,2007,41.685069366,-87.612464908,"(41.685069366, -87.612464908)"
HN101432,01/01/2007 12:00:00 AM,015XX W MORSE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2431,49,06,1164880,1946156,2007,42.007861864,-87.668714726,"(42.007861864, -87.668714726)"
HN101485,01/01/2007 12:00:00 AM,014XX W HOLLYWOOD AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,2013,48,26,1165717,1938008,2007,41.985485691,-87.665868906,"(41.985485691, -87.665868906)"
HN101703,01/01/2007 12:00:00 AM,113XX S SAWYER AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,2211,19,11,1156723,1829276,2007,41.687299716,-87.7018881,"(41.687299716, -87.7018881)"
HN102126,01/01/2007 12:00:00 AM,031XX S ASHLAND AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA GARAGE / OTHER PROPERTY,false,false,0922,11,14,1166174,1884018,2007,41.837323905,-87.665733681,"(41.837323905, -87.665733681)"
HN102492,01/01/2007 12:00:00 AM,048XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1533,28,03,1144224,1899588,2007,41.880489945,-87.745887499,"(41.880489945, -87.745887499)"
HN101020,01/01/2007 12:00:00 AM,013XX W BIRCHWOOD AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,2422,49,06,1165941,1949940,2007,42.018222548,-87.664702344,"(42.018222548, -87.664702344)"
HN104248,01/01/2007 12:00:00 AM,083XX S DR MARTIN LUTHER KING JR DR,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0632,6,26,1180367,1849773,2007,41.743037947,-87.614704323,"(41.743037947, -87.614704323)"
HN104225,01/01/2007 12:00:00 AM,005XX N LA SALLE DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),false,false,1831,42,11,1175051,1903744,2007,41.891259443,-87.632569542,"(41.891259443, -87.632569542)"
