"vehicle_type","public_vehicle_number","status","vehicle_make","vehicle_model","vehicle_model_year","vehicle_color","vehicle_fuel_source","wheelchair_accessible","company_name","address","city","state","zip_code","taxi_affiliation","taxi_medallion_license_management","record_id"
"Taxi","6986","INACTIVE",,,,,"Gasoline","N","CITY OF CHICAGO BACP","2350 W. OGDEN AVE.","CHICAGO","IL","60608",,,"6986Taxi"
"Taxi","6848","INACTIVE",,,,,"Gasoline","N","CITY OF CHICAGO BACP","2350 W. OGDEN AVE.","CHICAGO","IL","60608",,,"6848Taxi"
"Taxi","6982","INACTIVE",,,,,"Gasoline","N","CITY OF CHICAGO BACP","2350 W. OGDEN AVE.","CHICAGO","IL","60608",,,"6982Taxi"
"Taxi","1767","ACTIVE","TOYOTA","SIENNA","2020","WHITE","Gasoline","Y","MARGA ZORA, CORP.","9696 W. FOSTER AVE.","CHICAGO","IL","60656","Flash Cab Co","Owner-Operator","1767Taxi"
"Taxi","5484","ACTIVE","TOYOTA","RAV4","2016","BLUE/WHITE","Hybrid","N","SEMBEL CAB CORPORATION","4626 W. CORNELIA AVE.","CHICAGO","IL","60641","Sun Taxi Association Inc","Sun Financial Services, Inc.","5484Taxi"
"Taxi","4063","VIOLATION","NISSAN","ALTIMA","2011","WHITE","Hybrid","N","ZEN TAXI LLC","4536 N. ELSTON AVE.","CHICAGO","IL","60630","DIS-AFFILIATED","Owner Manager","4063Taxi"
"Taxi","4895","ACTIVE","TOYOTA","CAMRY","2019","WHITE","Hybrid","N","SHAMPA TRANS INC","2601 W. PETERSON AVE.","CHICAGO","IL","60659","City Service Taxi Association","Owner Manager","4895Taxi"
"Taxi","2767","VIOLATION","TOYOTA","CAMRY","2013","BLUE/WHITE","Hybrid","N","SEYED M. BADRI","510 W. BELMONT AVE.","CHICAGO","IL","60657","Sun Taxi Association Inc","Sun Financial Services, Inc.","2767Taxi"
"Taxi","266","VIOLATION","TOYOTA","PRIUS","2013","GREEN","Hybrid","N","NECT 26 LLC","6500 N. WESTERN AVE.","CHICAGO","IL","60645","TAXI TOWN AFFILIATION LLC","Medallion Leasing and Management, Inc.","266Taxi"
"Taxi","5644","VIOLATION","TOYOTA","PRIUS","2012","WHITE","Hybrid","N","LINCOLNSHIRE SERVICE II, CORP.","3801 N. ELSTON AVE.","CHICAGO","IL","60618","EXPIRED AFFILIATION","Owner Manager","5644Taxi"
"Taxi","4838","ACTIVE","TOYOTA","CAMRY","2014","WHITE","Gasoline","N","FAISALABAD TRANS, INC.","9696 W. FOSTER AVE.","CHICAGO","IL","60656","Flash Cab Co","Owner Manager","4838Taxi"
"Taxi","5277","ACTIVE","TOYOTA","CAMRY","2015","WHITE/BLACK","Hybrid","N","DOLAPO CO","3118 W. DEVON AVE.","CHICAGO","IL","60659","Independent1","Owner Manager","5277Taxi"
"Taxi","4","SURRENDER","TOYOTA","CAMRY","2020","YELLOW","Hybrid","N","SAFI TAXI II INC","3800 N. MILWAUKEE AVE.","CHICAGO","IL","60641","Yellow Cab Association","Owner Manager","4Taxi"
"Taxi","6936","VIOLATION","TOYOTA","CAMRY","2014","WHITE","Hybrid","N","AAA TAXI INC","9696 W. FOSTER AVE.","CHICAGO","IL","60656","DIS-AFFILIATED","Owner Manager","6936Taxi"
"Taxi","1093","VIOLATION","VPG","MV-1","2012","WHITE","Compressed Natural Gas","Y","YC18 LLC","3800 N. MILWAUKEE AVE.","CHICAGO","IL","60641","DIS-AFFILIATED","Owner Manager","1093Taxi"
"Taxi","3354","ACTIVE","TOYOTA","CAMRY","2012","WHITE","Hybrid","N","R-B ULQIN TRANZ INC","2151 W. ARTHUR AVE.","CHICAGO","IL","60645","Independent1","Owner-Operator","3354Taxi"
"Taxi","2538","VIOLATION","FORD","ESCAPE","2012","WHITE","Hybrid","N","TEL AVIV CAB CORP.","2617 S. WABASH AVE.","CHICAGO","IL","60616","DIS-AFFILIATED","Owner Manager","2538Taxi"
"Taxi","661","VIOLATION","TOYOTA","CAMRY","2012","WHITE","Hybrid","N","MEDALLION FUNDING CHICAGO CORP I","2945 W. PETERSON AVE.","CHICAGO","IL","60659","Top Cab Association","Top Cab Corp.","661Taxi"
"Taxi","5922","VIOLATION","TOYOTA","CAMRY","2013","GRAY/WHITE","Hybrid","N","SUMETTI CAB CO","6550 N. CLARK ST.","CHICAGO","IL","60626","Choice Taxi Association Inc","Owner-Operator","5922Taxi"
