"activity","period_start","period_length","target_response_days","average_days_to_complete_activity","total_completed_requests","period"
"Wire Down","2018-12-10T00:00:00.000","Week","1","1.00","22","12/10/2018 - 12/16/2018"
"Wire Down","2018-12-03T00:00:00.000","Week","1","1.23","58","12/03/2018 - 12/09/2018"
"Wire Down","2018-11-26T00:00:00.000","Week","1","1.06","296","11/26/2018 - 12/02/2018"
"Wire Down","2018-11-19T00:00:00.000","Week","1","1.00","15","11/19/2018 - 11/25/2018"
"Wire Down","2018-11-12T00:00:00.000","Week","1","1.00","26","11/12/2018 - 11/18/2018"
"Wire Down","2018-11-05T00:00:00.000","Week","1","1.11","28","11/05/2018 - 11/11/2018"
"Wire Down","2018-10-29T00:00:00.000","Week","1","1.09","31","10/29/2018 - 11/04/2018"
"Wire Down","2018-10-22T00:00:00.000","Week","1","1.10","43","10/22/2018 - 10/28/2018"
"Wire Down","2018-10-15T00:00:00.000","Week","1","1.01","51","10/15/2018 - 10/21/2018"
"Wire Down","2018-10-08T00:00:00.000","Week","1","1.21","46","10/08/2018 - 10/14/2018"
"Wire Down","2018-10-01T00:00:00.000","Week","1","1.16","48","10/01/2018 - 10/07/2018"
"Wire Down","2018-09-24T00:00:00.000","Week","1","1.06","39","09/24/2018 - 09/30/2018"
"Wire Down","2018-09-17T00:00:00.000","Week","1","1.10","44","09/17/2018 - 09/23/2018"
"Wire Down","2018-09-10T00:00:00.000","Week","1","1.14","48","09/10/2018 - 09/16/2018"
"Wire Down","2018-09-03T00:00:00.000","Week","1","1.21","59","09/03/2018 - 09/09/2018"
"Wire Down","2018-08-27T00:00:00.000","Week","1","1.00","70","08/27/2018 - 09/02/2018"
"Wire Down","2018-08-20T00:00:00.000","Week","1","1.00","42","08/20/2018 - 08/26/2018"
"Wire Down","2018-08-13T00:00:00.000","Week","1","1.00","49","08/13/2018 - 08/19/2018"
"Wire Down","2018-08-06T00:00:00.000","Week","1","1.11","51","08/06/2018 - 08/12/2018"
"Wire Down","2018-07-30T00:00:00.000","Week","1","1.00","31","07/30/2018 - 08/05/2018"
"Wire Down","2018-07-23T00:00:00.000","Week","1","1.19","55","07/23/2018 - 07/29/2018"
"Wire Down","2018-07-16T00:00:00.000","Week","1","1.04","52","07/16/2018 - 07/22/2018"
"Wire Down","2018-07-09T00:00:00.000","Week","1","1.03","69","07/09/2018 - 07/15/2018"
"Wire Down","2018-07-02T00:00:00.000","Week","1","1.18","86","07/02/2018 - 07/08/2018"
"Wire Down","2018-06-25T00:00:00.000","Week","1","1.06","68","06/25/2018 - 07/01/2018"
"Wire Down","2018-06-18T00:00:00.000","Week","1","1.13","69","06/18/2018 - 06/24/2018"
"Wire Down","2018-06-11T00:00:00.000","Week","1","1.15","44","06/11/2018 - 06/17/2018"
"Wire Down","2018-06-04T00:00:00.000","Week","1","1.05","58","06/04/2018 - 06/10/2018"
"Wire Down","2018-05-28T00:00:00.000","Week","1","1.07","55","05/28/2018 - 06/03/2018"
"Wire Down","2018-05-21T00:00:00.000","Week","1","1.00","57","05/21/2018 - 05/27/2018"
"Wire Down","2018-05-14T00:00:00.000","Week","1","1.06","44","05/14/2018 - 05/20/2018"
"Wire Down","2018-05-07T00:00:00.000","Week","1","1.08","46","05/07/2018 - 05/13/2018"
"Wire Down","2018-04-30T00:00:00.000","Week","1","1.04","63","04/30/2018 - 05/06/2018"
"Wire Down","2018-04-23T00:00:00.000","Week","1","1.00","27","04/23/2018 - 04/29/2018"
"Wire Down","2018-04-16T00:00:00.000","Week","1","1.13","33","04/16/2018 - 04/22/2018"
"Wire Down","2018-04-09T00:00:00.000","Week","1","1.00","32","04/09/2018 - 04/15/2018"
"Wire Down","2018-04-02T00:00:00.000","Week","1","1.12","30","04/02/2018 - 04/08/2018"
"Wire Down","2018-03-26T00:00:00.000","Week","1","1.00","36","03/26/2018 - 04/01/2018"
"Wire Down","2018-03-19T00:00:00.000","Week","1","1.32","33","03/19/2018 - 03/25/2018"
"Wire Down","2018-03-12T00:00:00.000","Week","1","1.80","31","03/12/2018 - 03/18/2018"
"Wire Down","2018-03-05T00:00:00.000","Week","1","2.29","22","03/05/2018 - 03/11/2018"
"Wire Down","2018-02-26T00:00:00.000","Week","1","1.16","49","02/26/2018 - 03/04/2018"
"Wire Down","2018-02-19T00:00:00.000","Week","1","1.35","49","02/19/2018 - 02/25/2018"
"Wire Down","2018-02-12T00:00:00.000","Week","1","1.30","45","02/12/2018 - 02/18/2018"
"Wire Down","2018-02-05T00:00:00.000","Week","1","1.00","23","02/05/2018 - 02/11/2018"
"Wire Down","2018-01-29T00:00:00.000","Week","1","1.14","40","01/29/2018 - 02/04/2018"
"Wire Down","2018-01-22T00:00:00.000","Week","1","1.08","57","01/22/2018 - 01/28/2018"
"Wire Down","2018-01-15T00:00:00.000","Week","1","1.43","22","01/15/2018 - 01/21/2018"
"Wire Down","2018-01-08T00:00:00.000","Week","1","1.02","92","01/08/2018 - 01/14/2018"
"Wire Down","2018-01-01T00:00:00.000","Week","1","1.06","16","01/01/2018 - 01/07/2018"
"Wire Down","2017-12-25T00:00:00.000","Week","1","1.53","13","12/25/2017 - 12/31/2017"
