CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
12/18/2018,Open,,18-03387506,Pothole in Street,,,,1145 S WASHTENAW AVE,60612,1158537.44587029,1894956.8624811,28,11,29,,41.867010107834254,-87.69329837456898,"(41.867010107834, -87.693298374569)",11,21184,30,16,23
12/18/2018,Open,,18-03387491,Pothole in Street,,,,3530 W GOVERNORS PKWY,60624,1152676.87747382,1902496.78467038,27,11,23,,41.88841687323832,-87.71482114026932,"(41.888416873238, -87.714821140269)",41,21572,24,584,46
12/18/2018,Open,,18-03388384,Pothole in Street,,,,1959 S TROY ST,60623,1155669.85011488,1890142.12140968,24,10,29,,41.85370382163392,-87.7039464929227,"(41.853703821634, -87.703946492923)",36,21569,30,132,14
12/18/2018,Open,,18-03387505,Pothole in Street,,,,1145 S FAIRFIELD AVE,60612,1158185.76923213,1894949.25411183,28,11,29,,41.86699199133602,-87.69460863867191,"(41.866991991336, -87.694608638672)",11,21184,30,16,23
12/18/2018,Open,,18-03388109,Pothole in Street,,,,6300 S NARRAGANSETT AVE,60638,1134830.54602004,1862059.11078004,23,8,64,,41.77762816475196,-87.78141062035807,"(41.777628164752, -87.781410620358)",35,22268,62,336,6
12/18/2018,Open,,18-03387600,Pothole in Street,,,,2747 N LARAMIE AVE,60639,1141239.63830315,1917871.33251029,31,25,19,,41.93100789238241,-87.75625884592907,"(41.931007892382, -87.756258845929)",7,22615,19,304,17
12/18/2018,Open,,18-03387458,Pothole in Street,,,,908 S CAMPBELL AVE,60612,1159861.46119611,1895933.91187577,28,11,28,,41.86992746440123,-87.68871018865747,"(41.869927464401, -87.688710188657)",11,21184,29,756,23
12/18/2018,Open,,18-03388657,Pothole in Street,,,,1899 S KOMENSKY AVE,60623,1149688.8000169,1890340.06988694,24,10,29,,41.855111502863174,-87.72591769201104,"(41.855111502863, -87.725917692011)",36,21569,30,753,14
12/18/2018,Open,,18-03388180,Pothole in Street,,,,4100 S WESTERN BLVD,60609,1161201.93739524,1877426.20002426,12,9,58,,41.81924669608576,-87.68430532227995,"(41.819246696086, -87.68430532228)",29,14924,55,718,1
12/18/2018,Open,,18-03389579,Pothole in Street,,,,2600 N LAKEWOOD AVE,60614,1167191.34012594,1917393.4659754,32,19,7,,41.92897503655794,-87.66119107601604,"(41.928975036558, -87.661191076016)",16,21190,68,796,40
12/18/2018,Open,,18-03387502,Pothole in Street,,,,2421 W 21ST PL,60608,1160589.58466936,1889668.10039763,28,10,31,,41.852826019085306,-87.68653567831282,"(41.852826019085, -87.686535678313)",8,14920,33,4,23
12/18/2018,Open,,18-03388493,Pothole in Street,,,,5230 S NEW ENGLAND AVE,60638,1131270.95041735,1869126.33708118,23,8,56,,41.7967447072089,-87.79428866380958,"(41.796744707209, -87.79428866381)",35,22268,53,588,6
12/18/2018,Open,,18-03388778,Pothole in Street,,,,8247 S GREEN ST,60620,1172071.58412643,1850163.22816731,21,6,71,,41.743767878411894,-87.64491044437408,"(41.743767878412, -87.644910444374)",18,21554,70,487,13
12/18/2018,Open,,18-03386479,Pothole in Street,,,,1819 W HOWARD ST,60626,1162683.80480849,1950346.87997149,49,24,1,19,42.01929659502752,-87.67642786238677,"(42.019296595028, -87.676427862387)",3,21853,10,489,5
12/18/2018,Open,,18-03389578,Pothole in Street,,,,2640 N SHEFFIELD AVE,60614,1169170.32437943,1917720.56430567,43,19,7,35,41.93011044391672,-87.6539198075495,"(41.930110443917, -87.653919807549)",16,21190,68,795,34
12/18/2018,Open,,18-03388378,Pothole in Street,,,,1358 S KEDZIE AVE,60623,1155250.26342208,1893263.98597806,24,10,29,,41.86252937656554,-87.70570454286509,"(41.862529376566, -87.705704542865)",36,21569,30,34,14
12/18/2018,Open,,18-03388112,Pothole in Street,,,,5400 N WESTERN AVE,60625,1159364.4210923,1935786.95998239,40,20,4,,41.979613525431304,-87.68944583164604,"(41.979613525431, -87.689445831646)",46,21849,6,29,24
12/18/2018,Open,,18-03389580,Pothole in Street,,,,1127 W SCHUBERT AVE,60614,1168321.50187901,1918084.14358472,43,19,7,35,41.93064744689892,-87.6573058309955,"(41.930647446899, -87.657305830995)",16,21190,68,795,34
12/17/2018,Open,,18-03379918,Pothole in Street,,,,7600 W PALATINE AVE,60631,1124686.49910696,1941230.00800492,41,16,10,,41.995212252720805,-87.81682797292893,"(41.995212252721, -87.816827972929)",34,22243,36,734,29
12/17/2018,Open,,18-03381400,Pothole in Street,,,,1644 N CAMPBELL AVE,60647,1159445.30297113,1910853.05051695,1,14,24,,41.91162476020431,-87.68984235410377,"(41.911624760204, -87.689842354104)",24,22535,25,287,41
12/17/2018,Open,,18-03381945,Pothole in Street,,,,2411 N NEWCASTLE AVE,60707,1130350.13989743,1915276.40242841,36,25,18,,41.92396375825346,-87.79632883077312,"(41.923963758253, -87.796328830773)",39,4454,18,136,44
12/17/2018,Open,,18-03383170,Pothole in Street,,,,6644 S STONY ISLAND AVE,60637,1188045.24412257,1861257.01433097,5,3,42,,41.77382462851612,-87.58644875714224,"(41.773824628516, -87.586448757142)",32,22260,9,134,33
12/17/2018,Open,,18-03378149,Pothole in Street,,,,3428 W 71ST PL,60629,1154752.1261333,1856988.88992858,17,8,66,,41.763490839819234,-87.70886370751252,"(41.763490839819, -87.708863707513)",6,21867,64,349,31
12/17/2018,Open,,18-03382321,Pothole in Street,,,,8350 W BELMONT AVE,60634,1119794.79001778,1920234.77940691,38,16,76,,41.937676833565924,-87.83565526966795,"(41.937676833566, -87.835655269668)",39,22254,75,130,19
12/17/2018,Open,,18-03378374,Pothole in Street,,,,9400 S WOODLAWN AVE,60619,1185849.18592133,1842902.46292714,8,4,47,,41.72401247428092,-87.59497952111779,"(41.724012474281, -87.594979521118)",9,21546,43,472,35
12/17/2018,Open,,18-03386304,Pothole in Street,,,,6836 S SOUTH SHORE DR,60649,1193409.40599874,1860100.93993088,5,3,43,,41.77061952039603,-87.56671434472828,"(41.770619520396, -87.566714344728)",32,22538,39,134,33
12/17/2018,Open,,18-03381474,Pothole in Street,,,,2410 W GRAND AVE,60612,1160158.11079528,1903398.46117353,26,12,24,,41.890741273307825,-87.68725402902643,"(41.890741273308, -87.687254029026)",10,21184,25,545,49
12/17/2018,Open,,18-03379525,Pothole in Street,,,,5300 S FRANCISCO AVE,60632,1157941.59130076,1869368.27810421,14,9,63,,41.797201394934504,-87.69648504707081,"(41.797201394935, -87.696485047071)",49,22248,61,777,8
