"branch","address","city","zip","january","february","march","april","may","june","july","august","september","october","november","december","ytd","location"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","2527","1962","2634","2570","2839","2915","3305","3375","3079","2853","2918","3115","34092","POINT (-87.705655 41.910536)"
"Independence","4024 N. Elston Ave.","Chicago","60618","2412","2172","2554","2486","2490","2429","3039","3665","2963","2996","3033","2792","33031","POINT (-87.719889 41.954219)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","2656","2338","3901","5630","4029","4227","4475","4328","3834","4061","4034","3429","46942","POINT (-87.761964 41.967648)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","2002","1747","2367","2425","110","222","959","1192","991","941","882","789","14627","POINT (-87.565489 41.713513)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","497","428","635","587","639","646","876","929","852","854","736","1717","9396","POINT (-87.637516 41.78199)"
"King","3436 S. King Dr.","Chicago","60616","1209","1101","1481","1474","1480","1498","1711","1492","1329","1403","1845","1362","17385","POINT (-87.617335 41.832238)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","477","359","424","629","650","1004","1326","1272","2427","2174","2179","2170","15091","POINT (-87.725593 41.879302)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","2888","3225","5433","5369","6630","5374","9603","2192","6908","7098","6446","6001","67167","POINT (-87.670433 41.940599)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","4915","4435","5858","5630","5764","7657","6967","7273","6874","7174","7287","6040","75874","POINT (-87.658126 41.925316)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","2801","2488","811","2835","3314","3536","4215","4359","4920","6862","5647","6305","48093","POINT (-87.660263 41.869359)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","967","1030","1158","1058","1317","1154","1713","1670","1596","1724","1721","1463","16571","POINT (-87.705179 41.849599)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","7285","6269","7746","7003","6563","7634","8569","8214","7770","8685","8643","8307","92688","POINT (-87.703483 41.924806)"
"Lozano","1805 S. Loomis St.","Chicago","60608","3634","4546","3215","3959","7947","7910","4440","4323","3918","3171","4508","4158","55729","POINT (-87.661298 41.857604)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","0","0","0","0","0","0","0","0","1239","2986","2780","2831","9836","POINT (-87.679091 41.881026)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","1302","1061","1682","1566","1533","1520","2795","2261","2105","2100","2194","1675","21794","POINT (-87.738155 41.968148)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","368","2793","3784","3621","3409","3679","4062","4369","4553","4392","4310","3795","43135","POINT (-87.673442 41.830421)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","4605","5611","6347","6577","7036","7657","7875","8351","8264","8694","7916","7274","86207","POINT (-87.646055 41.940054)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","1400","1162","1583","1532","1479","1743","1913","1798","1569","1248","1558","1387","18372","POINT (-87.700878 41.692925)"
"Near North","310 W. Division St.","Chicago","60610","4771","4786","6168","6179","6708","7670","6837","6536","6649","6686","6992","5750","75732","POINT (-87.636643 41.903838)"
"North Austin","5724 W. North Ave.","Chicago","60639","1072","868","1262","1249","1350","1969","1864","1710","1428","1445","1318","1282","16817","POINT (-87.768877 41.909401)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","1669","1425","2190","1923","1980","2233","2466","2169","2284","2142","2088","2024","24593","POINT (-87.733923 41.909856)"
"Northtown","6800 N. Western Ave.","Chicago","60645","5957","5228","7482","6957","7333","8733","8909","9035","7797","7640","7640","6818","89529","POINT (-87.690175 42.00536)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","3528","2912","3868","3563","3688","4291","4375","4047","5658","4963","4734","4153","49780","POINT (-87.813329 41.978015)"
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","2301","1971","2789","2645","2533","2724","3199","3326","3447","3523","3402","3116","34976","POINT (-87.754876 41.938748)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","1558","1676","835","889","2124","2887","2906","2595","2456","2676","2329","2095","25026","POINT (-87.618295 41.694366)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","2759","2471","2950","2866","3285","4137","3952","3791","3381","3520","3261","3393","39766","POINT (-87.798265 41.991862)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","4179","4718","6600","5291","6506","5446","7667","7419","7437","8301","5635","6496","75695","POINT (-87.67344 42.006673)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","1856","2117","1625","1598","3369","3596","4579","4124","3734","3768","3553","3513","37432","POINT (-87.724291 41.749388)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","1420","1264","1699","1644","1404","1707","1809","1824","1669","1587","1489","1321","18837","POINT (-87.65487 41.794843)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","768","1726","1866","2294","2737","2783","3409","3580","3375","2729","3142","2927","31336","POINT (-87.549849 41.730371)"
"South Shore","2505 E. 73rd St.","Chicago","60649","1066","868","1155","1514","1620","1486","1388","1819","1784","1682","1539","1580","17501","POINT (-87.563672 41.762654)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","13873","12812","16196","14320","14497","13147","15148","16132","15602","16374","12616","14660","175377","POINT (-87.684637 41.962677)"
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","2094","2043","2695","2698","2419","2557","2944","3165","2994","3092","2690","2773","32164","POINT (-87.65393 41.757373)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","1371","1155","1856","1554","1522","1842","1925","1662","1818","1645","1538","1675","19563","POINT (-87.724477 41.842073)"
"Uptown","929 W. Buena Ave.","Chicago","60613","4948","3901","4675","5357","4901","5713","5877","6088","6197","6305","5801","5496","65259","POINT (-87.654217 41.95846)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","2007","2769","2370","2357","2184","2188","3058","3058","3141","3674","3405","3357","33568","POINT (-87.533513 41.70272)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","325","457","704","707","516","900","990","977","975","1783","3088","633","12055","POINT (-87.67426 41.692473)"
"Water Works","163 E. Pearson Street","Chicago","60611","0","0","0","0","0","0","0","0","1024","3207","3365","2998","10594","POINT (-87.623234 41.897609)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","1954","1675","2323","2153","2225","3387","2728","2856","2847","3106","2967","2472","30693","POINT (-87.785858 41.936833)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","330","490","667","618","692","693","786","887","1102","991","881","817","8954","POINT (-87.747411 41.895019)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","2038","1657","2047","1947","2211","2225","2467","3104","2958","3021","2759","2471","28905","POINT (-87.66821 41.779364)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","1030","914","1363","1406","1307","699","0","0","0","0","0","0","6719","POINT (-87.723756 41.778629)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","2514","2322","2685","2823","2728","2675","3442","3423","3346","3629","3569","3237","36393","POINT (-87.654421 41.883595)"
"West Pullman","830 W. 119th St.","Chicago","60643","883","990","1872","1445","1490","1471","1645","1470","1203","1243","1098","1122","15932","POINT (-87.643327 41.677819)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","3402","2938","3580","3627","4617","4973","4058","2096","2969","6183","5076","4759","48278","POINT (-87.668233 41.89606)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","1830","1515","1921","2215","2311","2436","1639","3665","3651","2854","3016","3113","30166","POINT (-87.61416 41.751132)"
"Woodson Regional Library","9525 S. Halsted St.","Chicago","60628","3655","3446","5049","6815","3638","3144","5060","5636","5256","5312","4550","4426","55987","POINT (-87.643122 41.720675)"
"Wrightwood-Ashburn","8530 S. Kedzie Ave.","Chicago","60652","1417","0","0","734","908","1223","1435","1299","1279","1440","1316","1223","12274","POINT (-87.702091 41.738331)"
