"id","name","address","latitude","longitude","georeference","department"
"3764455","Banneker","930 West 7th Street","39.16888300","-86.54503800","POINT (-86.545038 39.168883)","Bloomington Parks & Rec"
"3764456","Winslow JR.","2120 South Highland Avenue","39.14023200","-86.51640200","POINT (-86.516402 39.140232)","Bloomington Parks & Rec"
"3764457","Police Firing Range","3230 South Walnut Street","39.12699100","-86.53293400","POINT (-86.532934 39.126991)","Bloomington Public Works"
"3764459","Fire 3","810 North Woodlawn Avenue","39.17342800","-86.52351900","POINT (-86.523519 39.173428)","Bloomington Public Works"
"3764460","Maintenance Building 345","345 South Adams Street","39.16465100","-86.55103100","POINT (-86.551031 39.164651)","Bloomington Parks & Rec"
"3764461","Sanitation Building","3410 South Walnut Street","39.12298700","-86.53213700","POINT (-86.532137 39.122987)","Bloomington Public Works"
"3764463","Maintenance Building 545","545 South Adams Street","39.16180600","-86.54962700","POINT (-86.549627 39.161806)","Bloomington Parks & Rec"
"3764464","Fire 4","2201 East 3rd Street","39.16450500","-86.50699900","POINT (-86.506999 39.164505)","Bloomington Public Works"
"3764465","Winslow SR.","2120 South Highland Avenue","39.14023200","-86.51640200","POINT (-86.516402 39.140232)","Bloomington Parks & Rec"
"3764466","Winslow Tennis","2120 South Highland Avenue","39.14023200","-86.51640200","POINT (-86.516402 39.140232)","Bloomington Parks & Rec"
"3764467","Morton St Garage","220 North Morton Street","39.16780000","-86.53590900","POINT (-86.535909 39.1678)","Bloomington Public Works"
"3764468","Bryan Park","1020 South Woodlawn Avenue","39.15514000","-86.52330400","POINT (-86.523304 39.15514)","Bloomington Parks & Rec"
"3764469","Mills Pool","1100 West 14th Street","39.17586900","-86.54720300","POINT (-86.547203 39.175869)","Bloomington Parks & Rec"
"3764470","Walnut St Garage","302 North Walnut Street","39.16886800","-86.53325000","POINT (-86.53325 39.168868)","Bloomington Public Works"
"3764471","Street Department","1981 South Henderson Street","39.14464000","-86.52694600","POINT (-86.526946 39.14464)","Bloomington Public Works"
"3764472","Fire 2","800 North Woodlawn Avenue","39.17343200","-86.52350100","POINT (-86.523501 39.173432)","Bloomington Public Works"
"3764473","Fleet Maintenance Facility","800 East Miller Drive","39.14688700","-86.52427500","POINT (-86.524275 39.146887)","Bloomington Public Works"
"3764474","Fire 1","217 South Lincoln Street","39.16487900","-86.53082400","POINT (-86.530824 39.164879)","Bloomington Public Works"
"3764475","Olcott Park","1300 East Canada Drive","39.12783500","-86.51009200","POINT (-86.510092 39.127835)","Bloomington Parks & Rec"
"3764476","RCA Thompson","2125 West Rca Park Drive","39.14460700","-86.54551000","POINT (-86.54551 39.144607)","Bloomington Parks & Rec"
"3767517","Showers City Hall Covered Parking","401 North Morton Street","39.17030800","-86.53694300","POINT (-86.536943 39.170308)","Bloomington Public Works"
"3767518","SE Booster Station & Tank","4101 South Harrell Road","39.11942300","-86.49720400","POINT (-86.497204 39.119423)","Bloomington Utilites"
"3767519","Twin Lakes Ballfields","2350 West Bloomfield Road","39.15376300","-86.56523300","POINT (-86.565233 39.153763)","Bloomington Parks & Rec"
"3767523","Bus Transit Center","301 South Walnut Street","39.16441600","-86.53332700","POINT (-86.533327 39.164416)","Bloomington Public Works"
"3767528","Dillman WWTP Complex","100 West Dillman Road","39.09438300","-86.54907000","POINT (-86.54907 39.094383)","Bloomington Utilites"
"3767564","Monroe WTP Complex","7470 South Shields Ridge Road","39.07177600","-86.46366600","POINT (-86.463666 39.071776)","Bloomington Utilites"
"3767565","Frank Southern Center","1965 South Henderson Street","39.14484500","-86.52694500","POINT (-86.526945 39.144845)","Bloomington Parks & Rec"
"3767567","Utility Department HQ","600 East Miller Drive","39.14623900","-86.52610000","POINT (-86.5261 39.146239)","Bloomington Utilites"
"3767568","Twin Lakes Rec Center","1700 West Bloomfield Road","39.15635000","-86.56325800","POINT (-86.563258 39.15635)","Bloomington Parks & Rec"
