"property_number","case_number","stolen_date","brand","model","color","status","stolen_from","recovery","agency"
"P13827","B16-00694","2016-01-06T00:00:00.000","HI POINT","9MM","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P14174","B16-01892","2016-01-15T00:00:00.000","JENNINGS J22",,"COM","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P14377","B16-03125","2016-01-24T00:00:00.000","CENTURY ARMS","M92",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P14707","B16-05095","2016-02-08T00:00:00.000","TAURUS","PT740 SLIM",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P15042","B16-06990","2016-02-23T00:00:00.000","HIGHPOINT","CARBINE",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P15043","B16-06990","2016-02-23T00:00:00.000","RUGAR",,,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P15556","B16-08308","2016-03-18T00:00:00.000","HENRY ARMS",".17 CALIBRE",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P16026","B16-12278","2016-04-02T00:00:00.000","EAA",,"BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P16080","B16-13074","2016-04-08T00:00:00.000","BUSHMASTER","CARBON-15",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P16081","B16-13074","2016-04-08T00:00:00.000","GLOCK","17",,"STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P16082","B16-13074","2016-04-08T00:00:00.000","KEL-TEC","PMR-30",,"STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P16083","B16-13074","2016-04-08T00:00:00.000",,"AK-47",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
