"case_number","datetime","month","weekday","nature","address","district","agency","report","georeference"
"B16-00009","2016-01-01T00:46:07.000","January","Friday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-00020","2016-01-01T02:03:39.000","January","Friday","NOISE","703 W GOURLEY PIKE","LB513","BPD","NO REPORT","POINT (-86.540628 39.18507)"
"B16-00023","2016-01-01T02:27:23.000","January","Friday","NOISE","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-00032","2016-01-01T03:35:57.000","January","Friday","NOISE","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-00041","2016-01-01T07:12:25.000","January","Friday","DISTURBANCE IP","2036 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534355 39.184317)"
"B16-00056","2016-01-01T12:19:11.000","January","Friday","DISTURBANCE IP","3214 S MARKET PL","LB428","BPD","REPORT","POINT (-86.580923 39.132363)"
"B16-00067","2016-01-01T14:32:31.000","January","Friday","DISTURBANCE IP","275 E WINSLOW RD","LB327","BPD","NO REPORT","POINT (-86.527295 39.135994)"
"B16-00080","2016-01-01T16:25:30.000","January","Friday","DISTURBANCE NP","2911 W JULIES WAY","LB415","BPD","NO REPORT","POINT (-86.57098 39.15406)"
"B16-00084","2016-01-01T17:58:44.000","January","Friday","DISTURBANCE IP","620 W 15TH ST","LB518","BPD","NO REPORT","POINT (-86.541139 39.17661)"
"B16-00112","2016-01-01T23:23:12.000","January","Friday","DISTURBANCE IP","2400 S WINSLOW CT","LB326","BPD","NO REPORT","POINT (-86.524153 39.136814)"
"B16-00129","2016-01-02T03:52:29.000","January","Saturday","ALCOHOL RELATED","1800 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534173 39.183387)"
"B16-00134","2016-01-02T05:31:09.000","January","Saturday","VANDALISM NP","2401 W 3RD ST","LB404","BPD","REPORT","POINT (-86.565487 39.164499)"
"B16-00136","2016-01-02T05:50:47.000","January","Saturday","DISTURBANCE IP","205 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531848 39.16655)"
"B16-00143","2016-01-02T08:59:49.000","January","Saturday","DISTURBANCE IP","221 E 6TH ST","LB102","BPD","REPORT","POINT (-86.531484 39.167545)"
"B16-00150","2016-01-02T11:18:17.000","January","Saturday","DISTURBANCE IP","3250 W JACOB DR","LB524","BPD","NO REPORT","POINT (-86.574613 39.1656)"
"B16-00158","2016-01-02T12:36:08.000","January","Saturday","DISTURBANCE IP","1800 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534173 39.183387)"
"B16-00167","2016-01-02T13:30:48.000","January","Saturday","DISTURBANCE IP","N LINCOLN ST & E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.531071 39.167544)"
"B16-00174","2016-01-02T14:18:35.000","January","Saturday","DISTURBANCE IP","303 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531064 39.166547)"
"B16-00178","2016-01-02T14:33:43.000","January","Saturday","DISTURBANCE IP","1002 N LINDBERGH DR","LB517","BPD","NO REPORT","POINT (-86.552604 39.17699)"
"B16-00183","2016-01-02T15:04:00.000","January","Saturday","DISTURBANCE IP","1049 S BASSWOOD CIR","LB415","BPD","NO REPORT","POINT (-86.569893 39.152267)"
"B16-00205","2016-01-02T17:50:37.000","January","Saturday","VANDALISM NP","3821 E MCCRACKEN WAY","LB220","BPD","REPORT","POINT (-86.482649 39.167718)"
"B16-00226","2016-01-02T21:32:21.000","January","Saturday","VANDALISM IP","2208 S OAKDALE DR","LB417","BPD","REPORT","POINT (-86.567702 39.145611)"
"B16-00248","2016-01-02T23:36:47.000","January","Saturday","NOISE","2629 E EDWARDS ROW","LB222","BPD","NO REPORT","POINT (-86.500694 39.165195)"
"B16-00249","2016-01-02T23:43:52.000","January","Saturday","NOISE","2268 S OAKDALE DR","LB417","BPD","NO REPORT","POINT (-86.567619 39.145708)"
"B16-00260","2016-01-03T04:11:52.000","January","Sunday","NOISE","911 E EMINENCE WAY","LB316","BPD","NO REPORT","POINT (-86.522562 39.145148)"
"B16-00262","2016-01-03T04:31:01.000","January","Sunday","NOISE","305 E 1ST ST","LB301","BPD","NO REPORT",
"B16-00264","2016-01-03T06:10:18.000","January","Sunday","DISTURBANCE IP","1111 N ILLINOIS ST","LB517","BPD","NO REPORT","POINT (-86.551766 39.176166)"
"B16-00266","2016-01-03T07:03:21.000","January","Sunday","DISTURBANCE IP","1800 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534173 39.183387)"
"B16-00363","2016-01-04T01:41:55.000","January","Monday","DISTURBANCE IP","1017 W 9TH ST","LB520","BPD","NO REPORT","POINT (-86.544989 39.170463)"
"B16-00367","2016-01-04T03:13:28.000","January","Monday","NOISE","573 W GRANITE DR","LB513","BPD","NO REPORT","POINT (-86.539694 39.180247)"
"B16-00385","2016-01-04T09:44:50.000","January","Monday","VANDALISM NP","3600 E GRANDVIEW DR","LB220","BPD","REPORT","POINT (-86.48497 39.168512)"
"B16-00402","2016-01-04T12:25:36.000","January","Monday","DISTURBANCE IP","520 S WALNUT ST","LB410","BPD","NO REPORT","POINT (-86.533653 39.160543)"
"B16-00415","2016-01-04T13:54:47.000","January","Monday","NOISE","1501 S WALNUT ST","LB315","BPD","NO REPORT","POINT (-86.533599 39.150334)"
"B16-00426","2016-01-04T15:38:29.000","January","Monday","DISTURBANCE IP","120 S KIMBLE DR","LB523","BPD","NO REPORT","POINT (-86.567975 39.166384)"
"B16-00447","2016-01-04T17:51:24.000","January","Monday","DISTURBANCE IP","608 N SUMMIT ST","LB517","BPD","NO REPORT",
"B16-00455","2016-01-04T18:28:21.000","January","Monday","DISTURBANCE IP","1466 N ARLINGTON PARK DR","LB514","BPD","NO REPORT","POINT (-86.554095 39.180073)"
"B16-00459","2016-01-04T19:40:55.000","January","Monday","DISTURBANCE IP","1175 S COLLEGE MALL RD","LB310","BPD","NO REPORT","POINT (-86.497592 39.153427)"
"B16-00469","2016-01-04T21:34:21.000","January","Monday","DISTURBANCE IP","222 N WALNUT ST","LB102","BPD","NO REPORT","POINT (-86.533608 39.167891)"
"B16-00509","2016-01-05T09:41:26.000","January","Tuesday","DISTURBANCE NP","W STATE ROAD 46 & N STINESVILLE RD","LMN01","BPD","NO REPORT",
"B16-00511","2016-01-05T10:43:52.000","January","Tuesday","VANDALISM NP","500 W 13TH ST","LB518","BPD","REPORT","POINT (-86.538664 39.175061)"
"B16-00519","2016-01-05T12:18:43.000","January","Tuesday","DISTURBANCE IP","600 S WALNUT ST","LB410","BPD","NO REPORT","POINT (-86.533661 39.159012)"
"B16-00547","2016-01-05T14:53:29.000","January","Tuesday","VANDALISM NP","200 E GLENDORA DR","LB209","BPD","REPORT",
"B16-00562","2016-01-05T16:07:59.000","January","Tuesday","DISTURBANCE NP","1320 N ARLINGTON PARK DR","LB514","BPD","NO REPORT","POINT (-86.554095 39.180085)"
"B16-00578","2016-01-05T17:50:33.000","January","Tuesday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-00593","2016-01-05T20:52:04.000","January","Tuesday","NOISE","913 S LINCOLN ST","LB314","BPD","NO REPORT","POINT (-86.531307 39.15577)"
"B16-00598","2016-01-05T22:21:09.000","January","Tuesday","DISTURBANCE IP","134 N ROOSEVELT ST","LB222","BPD","NO REPORT","POINT (-86.506034 39.168105)"
"B16-00601","2016-01-05T22:35:18.000","January","Tuesday","NOISE","1702 W SUNSTONE DR","LB425","BPD","NO REPORT","POINT (-86.556581 39.139402)"
"B16-00620","2016-01-06T00:30:25.000","January","Wednesday","NOISE","1702 W SUNSTONE DR","LB425","BPD","NO REPORT","POINT (-86.556581 39.139402)"
"B16-00675","2016-01-06T13:23:37.000","January","Wednesday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
