"street_id","street_status","dir","street_name","suffix","post_dir","name_type","start_date"
"3926","current","S","Alonzo","WAY",,"STREET","2007-01-31T00:00:00.000"
"88","current","E","Alpine","TRAIL",,"STREET","2000-01-01T00:00:00.000"
"5793","current","W","Alydar","LANE",,"STREET","2021-08-30T00:00:00.000"
"2518","current","N","Alyssa","DRIVE",,"STREET","2004-07-08T00:00:00.000"
"89","current","W","Amaryllis","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"2476","retired","S","Amber","DRIVE",,"HISTORIC","2001-01-01T00:00:00.000"
"4119","current","S","Amber","DRIVE",,"STREET","2007-11-01T00:00:00.000"
"90","current","W","Amherst","ROAD",,"STREET","2000-01-01T00:00:00.000"
"2492","current","N","Amos","LANE",,"STREET","2002-07-08T00:00:00.000"
"91","current","E","Amy","LANE",,"STREET","2000-01-01T00:00:00.000"
"3158","current","W","Amy Robinson","DRIVE",,"STREET","2005-07-20T00:00:00.000"
"92","current","E","Anderson","ROAD",,"STREET","2000-01-01T00:00:00.000"
"93","current","N","Andover","COURT",,"STREET","2000-01-01T00:00:00.000"
"2520","current","N","Andrea","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"2716","current","S","Andrew","CIRCLE",,"STREET","2004-10-01T00:00:00.000"
"94","current","W","Andy","COURT",,"STREET","2000-01-01T00:00:00.000"
"95","current","N","Andy","WAY",,"STREET","2000-01-01T00:00:00.000"
"5803","current","N","Angela","WAY",,"STREET","2021-12-08T00:00:00.000"
"4519","current","N","Angelina","LANE",,"STREET","2010-09-29T00:00:00.000"
"96","current","W","Angels","WAY",,"STREET","2000-01-01T00:00:00.000"
"97","current","S","Anita","STREET",,"STREET","2000-01-01T00:00:00.000"
"98","current","S","Anna Lee","LANE",,"STREET","2000-01-01T00:00:00.000"
"101","current","S","Anne","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"100","current","S","Anne","COURT",,"STREET","2000-01-01T00:00:00.000"
"102","current","N","Annhurst","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"103","current","S","Anthony","COURT",,"STREET","2000-01-01T00:00:00.000"
"2670","current","E","Antler","COURT",,"STREET","2004-05-26T00:00:00.000"
"104","current","W","Apache","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"105","current","W","Apple Tree","COURT",,"STREET","2000-01-01T00:00:00.000"
"106","current","S","Apple Tree","PLACE",,"STREET","2000-01-01T00:00:00.000"
"2671","current","E","Appomatox","COURT",,"STREET","2004-05-26T00:00:00.000"
"2524","current","W","Aran","COURT",,"STREET","2004-07-08T00:00:00.000"
"2647","current","S","Arbor Ridge","COURT",,"STREET","2004-02-10T00:00:00.000"
"2646","current","W","Arbor Ridge","WAY",,"STREET","2004-02-10T00:00:00.000"
"107","current","S","Arbors","LANE",,"STREET","2000-01-01T00:00:00.000"
"108","current","S","Arbutus","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"109","retired",,"Arbutus","ROAD",,"HISTORIC","2001-01-01T00:00:00.000"
"110","current","W","Archer","LANE",,"STREET","2000-01-01T00:00:00.000"
"3178","current","W","Arch Haven","AVENUE",,"STREET","2005-10-11T00:00:00.000"
"111","current","E","Arden","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"2435","current","W","Ardsley","LANE",,"STREET","2000-01-01T00:00:00.000"
"5804","current","N","Arie","LANE",,"STREET","2021-12-08T00:00:00.000"
"2596","current","E","Ariel","WAY",,"STREET","2003-04-09T00:00:00.000"
"112","proposed","E","Arlie","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"113","retired","W","Arlington","LANE",,"HISTORIC","2001-01-01T00:00:00.000"
"114","current","W","Arlington","ROAD",,"STREET","2000-01-01T00:00:00.000"
"115","current","N","Arlington Park","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"116","current","W","Arlington Valley","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"117","current","N","Armstrong","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"118","current","S","Arrow","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"119","current","W","Arrow","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"120","current","W","Arrow","COURT",,"STREET","2000-01-01T00:00:00.000"
"121","retired","E","Art","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"5785","current","N","Arvada","ROAD",,"STREET","2020-12-07T00:00:00.000"
"124","current","W","Ashbrook","LANE",,"STREET","2000-01-01T00:00:00.000"
"125","current","E","Ashburn","COURT",,"STREET","2000-01-01T00:00:00.000"
"2676","current","N","Ashcroft","LANE",,"STREET","2004-08-02T00:00:00.000"
"126","current","S","Ashley","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"4841","current","N","Ashlynn Park","DRIVE",,"STREET","2013-02-28T00:00:00.000"
"127","current","E","Ashwood","CIRCLE",,"STREET","2000-01-01T00:00:00.000"
"128","current","E","Ashwood","COURT",,"STREET","2000-01-01T00:00:00.000"
"129","current","S","Ashwood","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"130","current","E","Ashwood","LANE",,"STREET","2000-01-01T00:00:00.000"
"131","current","W","Aspen","COURT",,"STREET","2000-01-01T00:00:00.000"
"2580","current","S","Aspet","BEND",,"STREET","2000-01-01T00:00:00.000"
"132","current","E","Association","STREET",,"STREET","2000-01-01T00:00:00.000"
"133","current","W","Association","STREET",,"STREET","2000-01-01T00:00:00.000"
"134","current","S","Aster","COURT",,"STREET","2000-01-01T00:00:00.000"
"135","current","S","Atlee","COURT",,"STREET","2000-01-01T00:00:00.000"
"136","current","S","Atlee","STREET",,"STREET","2000-01-01T00:00:00.000"
"137","current","E","Atwater","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"4559","current","E","Atwater","TURN",,"STREET","2011-08-29T00:00:00.000"
"139","current","E","Audubon","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"140","current","S","Augusta","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"5786","proposed","W","Aurora","DRIVE",,"STREET","2020-12-07T00:00:00.000"
