"case_number","date_time","third_party_reason_intiated","terminated","how_terminated","damage_to_city_property","officer_injured","suspect_injured","traffic_offense","gender","race","stop_sticks","age","vehicle","condition_of_supect","offender_status","initial_reason_for_pursuit"
"B20-01681","2020-01-13T06:45:00.000","false","false","STOPPED DUE TO END OF ROAD AND FOOT PURSUIT","true","false","false","OPERATING WHILE INTOXICATED/RESISTING LAW ENFORCEMENT","M","W","false","43","PASSENGER","INTOXICATED","ARRESTED","DOMESTIC VIOLENCE/OPERATING WHILE INTOXICATED/LEAVING THE SCENE OF AN ACCIDENT"
"B20-02344/02350","2020-01-17T01:22:00.000","false","true","STOP STICKS AND CRASH","false","false","true","RESISTING LAW ENFORCEMENT","M","W","true","24","PASSENGER","UNKNOWN","ARRESTED","POSSIBLE STALKING"
"B20-12557","2020-03-26T18:38:00.000","false","true","BY SUPERVISION","false","false","false","TRAFFIC OFFENSE/ RESISTING LAW ENFORCEMENT","M","W","false","39","MOTORCYCLE","NORMAL","ARRESTED","TRAFFIC OFFENSE"
"B20-13314","2020-04-03T15:00:00.000","false","true","BY SUPERVISION AND THEN CRASH IN COUNTY","false","false","true","RESISTING LAW ENFORCEMENT","M","W","false","36","TRUCK","UNKNOWN","ARRESTED","DOMESTIC VIOLENCE/WANTED ON WARRANT"
"B20-18246","2020-05-18T10:31:00.000","true","false","CRASH","false","false","false","RESISTING LAW ENFORCEMENT","M","W","false","26","TRUCK","NORMAL","ARRESTED","WANTED ON WARRANT"
"B20-18582","2020-05-20T22:19:00.000","false","false","DRIVER STOPPED","false","false","false","UNSAFE LANE MOVEMENT","M","W","false","35","VAN","UNKNOWN","ARRESTED","RESISTING LAW ENFORCEMENT-FELONY"
"B20-21344","2020-06-11T14:20:00.000","false","false","DRIVER STOPPED AND THEN FOOT PURSUIT","false","false","false","RESISTING LAW ENFORCEMENT/THEFT","M","W","false","38","PASSENGER","NORMAL","ARRESTED","THEFT/RESISTING LAW ENFORCEMENT"
"B20-22005","2020-06-16T20:50:00.000","false","false","DRIVER STOPPED AND HIGH RISK STOP","false","false","false","FAILURE TO STOP","M","w","false","53","PASSENGER","NORMAL","ARRESTED","DRUG OFFENSES"
"B20-24100","2020-07-03T22:55:00.000","false","false","DRIVER STOPPED","false","false","false","RESISTING LAW ENFORCEMENT","F","W","false","44","PASSENGER","NORMAL","ARRESTED","OPERATING WHILE INTOXICATED"
"B20-31661","2020-09-02T16:30:00.000","false","false","DRIVER STOPPED","false","false","false","RESISTING LAW ENFORCEMENT","M","W","false","36","SUV","NORMAL","ARRESTED","RESISTING LAW ENFORCEMENT/WANTED ON WARRANT"
"B20-32772","2020-09-11T14:19:00.000","false","false","DRIVER STOPPED AND ABANDONED","false","false","false","VEHICLE THEFT/ RESISTING LAW ENFORCEMENT","F","W","false","38","PASSENGER","INTOXICATED","ARRESTED","VEHICLE THEFT/RESISTING LAW ENFORCEMENT"
"B20-36124","2020-10-06T03:42:00.000","false","false","DRIVER STOPPED AT DEAD END","false","false","false","RESISTING LAW ENFORCEMENT","M","B","false","29","PASSENGER","NORMAL","ARRESTED","VEHICLE THEFT/RESISTING LAW ENFORCEMENT/POSSESSION/ROBBERY"
"B20-37533","2020-10-15T23:42:00.000","true","false","DRIVER STOPPED DUE TO MECHANICAL ISSUES","false","false","false","UNKNOWN","M",,"false",,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"B20-39509","2020-10-31T20:28:00.000","false","false","DRIVER STOPPED","false","false","false","VEHICLE THEFT/ RESISTING LAW ENFORCEMENT","M","W","false","63","PASSENGER","INTOXICATED","ARRESTED","VEHICLE THEFT/OPERATING WHILE INTOXICATED/POSSESSION/RESISTING LAW ENFORCEMENT"
"B20-45465","2020-12-25T02:06:00.000","true","false","CRASH","false","false",,"UNKNOWN","M","B","false","20","SUV","UNKNOWN","NOT LOCATED","UNKNOWN"
"B20-45900","2020-12-30T14:01:00.000","false","true","BY SUPERVISION IN JOHNSON COUNTY","false","false","false","VEHICLE THEFT/ RESISTING LAW ENFORCEMENT","M","B","false","15","PASSENGER","UNKNOWN","NOT LOCATED","VEHICLE THEFT"
"B21-00130","2021-01-02T15:07:00.000","false","false","SURRENDERED","false","false","false","DISREGARDING STOP SIGN","M","B","false","24","SUV","UNKNOWN","WANTED ON WARRANT","DOMESTIC VIOLENCE"
"B21-004418","2021-02-13T16:25:00.000","false","true","SUPERVISON","false","false","false","FAILED TO YEILD","M","B","false","34","CAR","UNKNOWN",,"WARRANT"
"B21-01862","2021-01-20T20:21:00.000","false","false","SURRENDERED","false","false","false","RESISTING LAW ENFORCEMENT","F","W","false","28","SUV","NORMAL","ARRESTEE","SPECIAL INVESTIGATION"
"B21-02453","2021-01-25T15:56:00.000","false","false","SURRENDERED","true","true","true","DISREGARDING STOP SIGN","M","W","false","59","CAR","MENTAL ILLNESS","ARRESTEE","TRAFFIC STOP"
"B21-02562","2021-01-26T17:15:00.000","false","false","SURRENDERED","false","false","false","RESISTING LAW ENFORCEMENT","M","W","false","39","CAR","UNKNOWN","WANTED ON WARRANT","SPECIAL INVESTIGATION"
"B21-03694","2021-02-08T16:29:00.000","false","true","BY SUPERVISON","false","false",,"RESISTING LAW ENFORCEMENT/LEAVING THE SCENE OF AN ACCIDENT'","M","W","false","21","CAR","UNKNOWN","ARRESTEE","VEHICLE THEFT"
"B21-03969","2021-02-09T10:15:00.000","false","true","PIT","true","false","false","RESISTING LAW ENFORCEMENT","M","W","false","43","CAR","MENTAL ILLNESS","MENTAL DETENTION/WANTED ON WARRANT","WELFARE CHECK"
"B21-04192","2021-02-11T16:01:00.000","false","true","LOST SIGHT","false","false","false","RESISTING LAW ENFORCEMENT","M","W","false","49","TRUCK","UNKNOWN","ARRESTEE","WANTED ON WARRANT"
"B21-04447","2021-02-14T22:36:00.000","true","false","SURRENDERED","false","false","false","UNKNOWN","M","W","false","32","CAR","UNKNOWN","ARRESTEE","UNKNOWN"
"B21-07034","2021-03-07T22:24:00.000","false","false","SURRENDERED","false","false","false","RESISTING LAW ENFORCEMENT","F","W","false","31","CAR","NORMAL","ARRESTEE","WANTED ON WARRANT/RESISTING LAW ENFORCEMENT/POSSESSION"
"B21-07037","2021-03-07T23:08:00.000","false","false","SURRENDERED","false","false","false","SPEEDING/FAILING TO YEILD","F","W","false","21","CAR","INTOXICATED","ARRESTEE","WANTED ON WARRANT/RESISTING LAW ENFORCEMENT/POSSESSION"
"B21-14480","2021-05-04T02:56:00.000","false","true","LOST SITE","false","false","false","SPEEDING",,,"false",,"CAR",,,
"B21-22387","2021-07-02T00:05:00.000","false","true","SURRENDERED","false","false","false","SPEEDING","F","W","false","28","CAR","NORMAL","ARRESTEE","TRAFFIC STOP"
"B21-24168","2021-07-15T02:37:21.000","false","true","CRASHED","true","false","false","RESISTING LAW ENFORCMENT","F","W","false","45","TRUCK","MENTAL ILLNESS","ARRESTEE","VEHICLE THEFT"
"B21-27034","2021-08-05T15:58:50.000","false","true","SUPERVISON","false","false","true","CROSSED DOUBLE YELLOW","M","B","false","27","SUV","UNKNOWN","OFFENDER","TRAFFIC STOP"
"B21-27707","2021-08-10T20:35:02.000","false","true","CRASHED","false","false","false","LEAVING THE SCENE OF AN ACCIDENT","M","W","false","26","VAN","UNKNOWN","OFFENDER","TRAFFIC STOP"
"B21-27991","2021-08-12T20:26:34.000","false","false","SURRENDERED","true","false","false","DISREGARDING STOP SIGN","M","B","false","31","CAR","INTOXICATED","ARRESTEE","TRAFFIC STOP"
"B21-28028","2021-08-13T00:12:53.000","false","true","LOST SITE","false","false","false","CROSSED DOUBLE YELLOW",,,"false",,"CAR",,,
"B21-33350","2021-09-18T23:33:54.000","false","false","SURRENDERED","false","false","false","FAILED TO YEILD","M","W","false","49","SUV","NORMAL","ARRESTED","STOLEN VEHICLE"
"B21-35068","2021-09-30T22:13:18.000","false","true","LOST SITE","false","false","false","SPEED","M","W","false",,"MOTORCYCLE",,,"SPEED"
"B21-36524","2021-10-11T02:45:38.000","true","true","CRASHED","false",,,"FAILED TO YEILD","M","W","false","34","MOTORCYCLE",,,
"B21-36828","2021-10-13T15:55:18.000","false","false","SURRENDERED","false","false","false","SPEED","M","W","false","42","CAR","MENTAL ILLNESS","OFFENDER","SPEED"
"B21-38779","2021-10-27T19:35:31.000","false","true","CRASHED","false","false","false","FAILED TO YEILD","M","W","true","39","CAR","NORMAL","ARRESTEE","WARRANT"
