"record","driller","community","well_name","well_field","pid","date","depth_ft","diam_in","casing_ft","wtr_lvl_ft","rate_igpm","drive_shoe","latitude","longitude","location_1","coordinates"
"220346","Moore Well Drilling Inc","Souris",,,"1111988","2021-09-28T00:00:00.000","90","5","60",,,"Yes","46.382200","-62.283190","(46.3822, -62.28319)","On Land"
"219067","Moore Well Drilling Inc","Argyle Shore",,,"1096619","2019-10-28T00:00:00.000","110","6","60",,,"No","46.173446","-63.380047","(46.173446, -63.380047)","On Land"
"218800","Moore Well Drilling Inc",,,,"177253","2019-09-24T00:00:00.000","90","5","60",,,"Yes","46.420119","-62.797064","(46.420119, -62.797064)","On Land"
"217566","Manderson Well Drilling Ltd","Ellerslie Bideford",,,"27300","2018-06-13T00:00:00.000","75","5","40",,,"No",,,,"None provided"
"217684","REYNOLDS WELL DRILLING","Point Prim",,,"332585","2018-05-26T00:00:00.000","60","0","44",,,"No","46.053324","-63.025905","(46.053324, -63.025905)","On land"
"217554","Moore Well Drilling Inc","Linkletter",,,"947150","2017-09-19T00:00:00.000","300","12","40",,,"No",,,,"None provided"
"217614","Manderson Well Drilling Ltd","Wellington",,,"926976","2017-02-01T00:00:00.000","145","5","115",,,"No",,,,"None provided"
"217622","Moore Well Drilling Inc","Montague",,,"810200","2015-11-18T00:00:00.000","110","6","62",,,"No",,,,"None provided"
"127217","MOORE WELL DRILLING","Charlottetown",,,,"2013-07-27T00:00:00.000","130","5","43","30","10","No",,,,"None provided"
"127168",,"Charlottetown",,,,"2013-05-30T00:00:00.000","250","5","80","120","10","No","46.315720","-63.387059","(46.31572, -63.387059)","On land"
"126815","Manderson  Well Drilling","Charlottetown",,,,"2012-07-24T00:00:00.000","85","5","40","11","15","No",,,,"None provided"
"126780","Manderson  Well Drilling","Charlottetown",,,,"2012-05-08T00:00:00.000","58","5","40","4","20","No",,,,"None provided"
"126270","Manderson  Well Drilling","Charlottetown",,,,"2011-09-29T00:00:00.000","85","5","40","16",,"No",,,,"None provided"
"125913","Manderson  Well Drilling","Charlottetown",,,,"2010-03-09T00:00:00.000","105","5","60","41","15","No",,,,"None provided"
"125420","MOORE WELL DRILLING","Charlottetown",,,,"2009-11-05T00:00:00.000","170","6","60","45",,"No",,,,"None provided"
"125077","ROY'S WELL DRILLING","Charlottetown",,,,"2009-10-02T00:00:00.000","85","5","40","50","10","No",,,,"None provided"
"125543","THOMPSON'S WELL DRILLING","Charlottetown",,,,"2009-08-12T00:00:00.000","122","5","86","22",,"No",,,,"None provided"
"125929","Manderson  Well Drilling","Charlottetown",,,,"2009-06-10T00:00:00.000","105","5","80","36","25","No",,,,"None provided"
"125086","ROY'S WELL DRILLING","Charlottetown",,,,"2008-09-23T00:00:00.000","160","5","40","102","10","No",,,,"None provided"
"102613","H. MURPHY","Clinton",,,,"1975-08-06T00:00:00.000","194","4","29","120","10","No","46.450950","-63.536465","(46.45095, -63.536465)","On land"
"124924","THOMPSON'S WELL DRILLING","Charlottetown",,,,"2008-08-15T00:00:00.000","101","5","60","6","20","No",,,,"None provided"
"124697","Manderson  Well Drilling","Charlottetown",,,,"2008-07-04T00:00:00.000","85","5","40","16","21","No",,,,"None provided"
"124658","Manderson  Well Drilling","Charlottetown",,,,"2008-05-05T00:00:00.000","85","5","40","18","20","No",,,,"None provided"
"124359","Manderson  Well Drilling","Charlottetown",,,,"2007-12-21T00:00:00.000","145","5","80","39",,"No",,,,"None provided"
"124313","Manderson  Well Drilling","Charlottetown",,,,"2007-10-12T00:00:00.000","105","5","60","39","31","No",,,,"None provided"
"124302","Manderson  Well Drilling","Charlottetown",,,,"2007-09-19T00:00:00.000","165","5","84","60","31","No",,,,"None provided"
"123577","Manderson  Well Drilling","Charlottetown",,,,"2006-02-24T00:00:00.000","185","5","60","71","7","No",,,,"None provided"
"123407","Manderson  Well Drilling","Charlottetown",,,,"2005-10-14T00:00:00.000","85","5","60","11","20","No",,,,"None provided"
"123277","Manderson  Well Drilling","Charlottetown",,,,"2005-06-30T00:00:00.000","105","5","60","33","20","No",,,,"None provided"
"122944","Manderson  Well Drilling","Charlottetown",,,,"2005-02-23T00:00:00.000","145","5","60","70","15","No",,,,"None provided"
"122719","Manderson  Well Drilling","Charlottetown",,,,"2004-10-26T00:00:00.000","22","5","20","16","10","No",,,,"None provided"
"122712","Manderson  Well Drilling","Charlottetown",,,,"2004-10-20T00:00:00.000","65","5","40","15","20","No",,,,"None provided"
"122945","Manderson  Well Drilling","Charlottetown",,,,"2004-02-28T00:00:00.000","205","8","44","62","10","No",,,,"None provided"
"121914","MOORE WELL DRILLING","Charlottetown",,,,"2003-04-10T00:00:00.000","210","5","80","95","10","No",,,,"None provided"
"121524","MOORE WELL DRILLING","Charlottetown",,,,"2002-07-29T00:00:00.000","220","5","40","0",,"No",,,,"None provided"
"120749","MOORE WELL DRILLING","Charlottetown",,,,"2001-11-20T00:00:00.000",,,,"30",,"No","46.399163","-63.048130","(46.399163, -63.04813)","On land"
"120166","Manderson  Well Drilling","Charlottetown",,,,"2000-07-10T00:00:00.000","65","5",,"0",,"No",,,,"None provided"
"119372","MOORE WELL DRILLING","Charlottetown",,,,"1999-08-16T00:00:00.000","163","8","53","40",,"No",,,,"None provided"
"119504","THOMPSON'S WELL DRILLING","Charlottetown",,,,"1999-06-16T00:00:00.000","65","5","40","24",,"No",,,,"None provided"
"118829","MOORE WELL DRILLING","West Covehead",,,"138511","1998-06-10T00:00:00.000","30","5","20","10",,"No",,,,"None provided"
"100650","C. REYNOLDS","Montague",,,,"1972-07-31T00:00:00.000","70","4","25","40","8","No","46.171757","-62.646312","(46.171757, -62.646312)","On land"
"117453","ROY'S WELL DRILLING","Charlottetown",,,"719666","1996-10-29T00:00:00.000","30","5","30","5","6","No",,,,"None provided"
"117502","Watson MacDonald Well Drilling","Knutsford",,,"48793","1996-01-24T00:00:00.000","60","5","42","8","0","No",,,,"None provided"
"117455","ROY'S WELL DRILLING","Murray River",,,"286104","1995-09-04T00:00:00.000","95","5","50","0","8","No",,,,"None provided"
"120135",,"Charlottetown",,,,"1995-01-01T00:00:00.000","90","5","33","35","10","No",,,,"None provided"
