"fiscal_year","month","calendar_year","period","value"
"2010-2011","4","2010","2010-04","1036"
"2010-2011","5","2010","2010-05","1118"
"2010-2011","6","2010","2010-06","1164"
"2010-2011","7","2010","2010-07","1204"
"2010-2011","8","2010","2010-08","1202"
"2010-2011","9","2010","2010-09","1259"
"2010-2011","10","2010","2010-10","1226"
"2010-2011","11","2010","2010-11","1112"
"2010-2011","12","2010","2010-12","1064"
"2010-2011","1","2011","2011-01","1026"
"2010-2011","2","2011","2011-02","1004"
"2010-2011","3","2011","2011-03","1014"
"2011-2012","4","2011","2011-04","1026"
"2011-2012","5","2011","2011-05","1078"
"2011-2012","6","2011","2011-06","1106"
"2011-2012","7","2011","2011-07","1160"
"2011-2012","8","2011","2011-08","1172"
"2011-2012","9","2011","2011-09","1199"
"2011-2012","10","2011","2011-10","1165"
"2011-2012","11","2011","2011-11","1020"
"2011-2012","12","2011","2011-12","960"
"2011-2012","1","2012","2012-01","941"
"2011-2012","2","2012","2012-02","898"
"2011-2012","3","2012","2012-03","879"
"2012-2013","4","2012","2012-04","892"
"2012-2013","5","2012","2012-05","937"
"2012-2013","6","2012","2012-06","956"
"2012-2013","7","2012","2012-07","1004"
"2012-2013","8","2012","2012-08","979"
"2012-2013","9","2012","2012-09","1013"
"2012-2013","10","2012","2012-10","973"
"2012-2013","11","2012","2012-11","896"
"2012-2013","12","2012","2012-12","852"
"2012-2013","1","2013","2013-01","851"
"2012-2013","2","2013","2013-02","824"
"2012-2013","3","2013","2013-03","803"
"2013-2014","4","2013","2013-04","808"
"2013-2014","5","2013","2013-05","851"
"2013-2014","6","2013","2013-06","889"
"2013-2014","7","2013","2013-07","981"
"2013-2014","8","2013","2013-08","966"
"2013-2014","9","2013","2013-09","988"
"2013-2014","10","2013","2013-10","978"
"2013-2014","11","2013","2013-11","887"
"2013-2014","12","2013","2013-12","850"
"2013-2014","1","2014","2014-01","834"
"2013-2014","2","2014","2014-02","808"
"2013-2014","3","2014","2014-03","809"
"2014-2015","4","2014","2014-04","823"
"2014-2015","5","2014","2014-05","870"
"2014-2015","6","2014","2014-06","897"
"2014-2015","7","2014","2014-07","1002"
"2014-2015","8","2014","2014-08","1014"
"2014-2015","9","2014","2014-09","1054"
"2014-2015","10","2014","2014-10","961"
"2014-2015","11","2014","2014-11","840"
"2014-2015","12","2014","2014-12","826"
"2014-2015","1","2015","2015-01","753"
"2014-2015","2","2015","2015-02","720"
"2014-2015","3","2015","2015-03","736"
"2015-2016","4","2015","2015-04","753"
"2015-2016","5","2015","2015-05","783"
"2015-2016","6","2015","2015-06","861"
"2015-2016","7","2015","2015-07","965"
"2015-2016","8","2015","2015-08","980"
"2015-2016","9","2015","2015-09","1021"
"2015-2016","10","2015","2015-10","995"
"2015-2016","11","2015","2015-11","956"
"2015-2016","12","2015","2015-12","838"
"2015-2016","1","2016","2016-01","800"
"2015-2016","2","2016","2016-02","825"
"2015-2016","3","2016","2016-03","837"
"2016-2017","4","2016","2016-04","855"
"2016-2017","5","2016","2016-05","908"
"2016-2017","6","2016","2016-06","937"
"2016-2017","7","2016","2016-07","1002"
"2016-2017","8","2016","2016-08","1004"
"2016-2017","9","2016","2016-09","1054"
"2016-2017","10","2016","2016-10","1032"
"2016-2017","11","2016","2016-11","927"
"2016-2017","12","2016","2016-12","878"
"2016-2017","1","2017","2017-01","840"
"2016-2017","2","2017","2017-02","806"
"2016-2017","3","2017","2017-03","784"
"2017-2018","4","2017","2017-04","789"
"2017-2018","5","2017","2017-05","828"
"2017-2018","6","2017","2017-06","882"
"2017-2018","7","2017","2017-07","946"
"2017-2018","8","2017","2017-08","932"
"2017-2018","9","2017","2017-09","972"
"2017-2018","10","2017","2017-10","873"
"2017-2018","11","2017","2017-11","770"
"2017-2018","12","2017","2017-12","720"
"2017-2018","1","2018","2018-01","735"
"2017-2018","2","2018","2018-02","739"
"2017-2018","3","2018","2018-03","735"
