"location","period","year","month","visitors"
"Acadian","2004-01","2004","1","100"
"Basin Head","2004-01","2004","1","0"
"Beaconsfield","2004-01","2004","1","233"
"Elmira","2004-01","2004","1","0"
"Eptek","2004-01","2004","1","340"
"Green Park","2004-01","2004","1","0"
"Orwell","2004-01","2004","1","146"
"Acadian","2004-02","2004","2","167"
"Basin Head","2004-02","2004","2","0"
"Beaconsfield","2004-02","2004","2","201"
"Elmira","2004-02","2004","2","0"
"Eptek","2004-02","2004","2","685"
"Green Park","2004-02","2004","2","0"
"Orwell","2004-02","2004","2","150"
"Acadian","2004-03","2004","3","214"
"Basin Head","2004-03","2004","3","0"
"Beaconsfield","2004-03","2004","3","109"
"Elmira","2004-03","2004","3","0"
"Eptek","2004-03","2004","3","438"
"Green Park","2004-03","2004","3","0"
"Orwell","2004-03","2004","3","375"
"Acadian","2004-04","2004","4","158"
"Basin Head","2004-04","2004","4","0"
"Beaconsfield","2004-04","2004","4","551"
"Elmira","2004-04","2004","4","0"
"Eptek","2004-04","2004","4","485"
"Green Park","2004-04","2004","4","0"
"Orwell","2004-04","2004","4","106"
"Acadian","2004-05","2004","5","282"
"Basin Head","2004-05","2004","5","73"
"Beaconsfield","2004-05","2004","5","728"
"Elmira","2004-05","2004","5","74"
"Eptek","2004-05","2004","5","494"
"Green Park","2004-05","2004","5","0"
"Orwell","2004-05","2004","5","439"
"Acadian","2004-06","2004","6","620"
"Basin Head","2004-06","2004","6","1050"
"Beaconsfield","2004-06","2004","6","897"
"Elmira","2004-06","2004","6","563"
"Eptek","2004-06","2004","6","1214"
"Green Park","2004-06","2004","6","665"
"Orwell","2004-06","2004","6","1355"
"Acadian","2004-07","2004","7","1437"
"Basin Head","2004-07","2004","7","4684"
"Beaconsfield","2004-07","2004","7","1848"
"Elmira","2004-07","2004","7","2878"
"Eptek","2004-07","2004","7","4674"
"Green Park","2004-07","2004","7","2911"
"Orwell","2004-07","2004","7","2620"
"Acadian","2004-08","2004","8","1758"
"Basin Head","2004-08","2004","8","5933"
"Beaconsfield","2004-08","2004","8","1893"
"Elmira","2004-08","2004","8","3325"
"Eptek","2004-08","2004","8","4431"
"Green Park","2004-08","2004","8","3835"
"Orwell","2004-08","2004","8","2857"
"Acadian","2004-09","2004","9","440"
"Basin Head","2004-09","2004","9","2162"
"Beaconsfield","2004-09","2004","9","602"
"Elmira","2004-09","2004","9","1115"
"Eptek","2004-09","2004","9","1246"
"Green Park","2004-09","2004","9","915"
"Orwell","2004-09","2004","9","3140"
"Acadian","2004-10","2004","10","540"
"Basin Head","2004-10","2004","10","205"
"Beaconsfield","2004-10","2004","10","408"
"Elmira","2004-10","2004","10","761"
"Eptek","2004-10","2004","10","443"
"Green Park","2004-10","2004","10","0"
"Orwell","2004-10","2004","10","743"
"Acadian","2004-11","2004","11","522"
"Basin Head","2004-11","2004","11","0"
"Beaconsfield","2004-11","2004","11","388"
"Elmira","2004-11","2004","11","0"
"Eptek","2004-11","2004","11","417"
"Green Park","2004-11","2004","11","0"
"Orwell","2004-11","2004","11","75"
"Acadian","2004-12","2004","12","0"
"Basin Head","2004-12","2004","12","0"
"Beaconsfield","2004-12","2004","12","0"
"Elmira","2004-12","2004","12","0"
"Eptek","2004-12","2004","12","0"
"Green Park","2004-12","2004","12","0"
"Orwell","2004-12","2004","12","0"
"Acadian","2005-01","2005","1","106"
"Basin Head","2005-01","2005","1","0"
"Beaconsfield","2005-01","2005","1","183"
"Elmira","2005-01","2005","1","0"
"Eptek","2005-01","2005","1","387"
"Green Park","2005-01","2005","1","0"
"Orwell","2005-01","2005","1","149"
"Acadian","2005-02","2005","2","164"
"Basin Head","2005-02","2005","2","0"
"Beaconsfield","2005-02","2005","2","385"
"Elmira","2005-02","2005","2","0"
"Eptek","2005-02","2005","2","609"
"Green Park","2005-02","2005","2","0"
"Orwell","2005-02","2005","2","154"
"Acadian","2005-03","2005","3","358"
"Basin Head","2005-03","2005","3","0"
"Beaconsfield","2005-03","2005","3","114"
"Elmira","2005-03","2005","3","0"
"Eptek","2005-03","2005","3","623"
"Green Park","2005-03","2005","3","0"
"Orwell","2005-03","2005","3","225"
"Acadian","2005-04","2005","4","368"
"Basin Head","2005-04","2005","4","0"
"Beaconsfield","2005-04","2005","4","261"
"Elmira","2005-04","2005","4","0"
"Eptek","2005-04","2005","4","569"
"Green Park","2005-04","2005","4","0"
"Orwell","2005-04","2005","4","91"
"Acadian","2005-05","2005","5","189"
"Basin Head","2005-05","2005","5","0"
"Beaconsfield","2005-05","2005","5","402"
"Elmira","2005-05","2005","5","97"
"Eptek","2005-05","2005","5","968"
"Green Park","2005-05","2005","5","0"
"Orwell","2005-05","2005","5","230"
"Acadian","2005-06","2005","6","508"
"Basin Head","2005-06","2005","6","1015"
"Beaconsfield","2005-06","2005","6","711"
"Elmira","2005-06","2005","6","875"
"Eptek","2005-06","2005","6","927"
"Green Park","2005-06","2005","6","404"
"Orwell","2005-06","2005","6","1368"
"Acadian","2005-07","2005","7","1358"
"Basin Head","2005-07","2005","7","4179"
"Beaconsfield","2005-07","2005","7","1932"
"Elmira","2005-07","2005","7","2909"
"Eptek","2005-07","2005","7","4581"
"Green Park","2005-07","2005","7","2226"
"Orwell","2005-07","2005","7","2856"
"Acadian","2005-08","2005","8","1394"
"Basin Head","2005-08","2005","8","4966"
"Beaconsfield","2005-08","2005","8","2384"
"Elmira","2005-08","2005","8","3145"
"Eptek","2005-08","2005","8","4231"
"Green Park","2005-08","2005","8","3320"
"Orwell","2005-08","2005","8","2748"
"Acadian","2005-09","2005","9","771"
"Basin Head","2005-09","2005","9","1809"
"Beaconsfield","2005-09","2005","9","871"
"Elmira","2005-09","2005","9","1086"
"Eptek","2005-09","2005","9","1191"
"Green Park","2005-09","2005","9","845"
"Orwell","2005-09","2005","9","1958"
"Acadian","2005-10","2005","10","341"
"Basin Head","2005-10","2005","10","63"
"Beaconsfield","2005-10","2005","10","515"
"Elmira","2005-10","2005","10","820"
"Eptek","2005-10","2005","10","732"
"Green Park","2005-10","2005","10","0"
"Orwell","2005-10","2005","10","484"
"Acadian","2005-11","2005","11","101"
"Basin Head","2005-11","2005","11","0"
"Beaconsfield","2005-11","2005","11","393"
"Elmira","2005-11","2005","11","0"
"Eptek","2005-11","2005","11","635"
"Green Park","2005-11","2005","11","0"
"Orwell","2005-11","2005","11","173"
"Acadian","2005-12","2005","12","640"
"Basin Head","2005-12","2005","12","0"
"Beaconsfield","2005-12","2005","12","607"
"Elmira","2005-12","2005","12","0"
"Eptek","2005-12","2005","12","394"
"Green Park","2005-12","2005","12","0"
"Orwell","2005-12","2005","12","210"
"Acadian","2006-01","2006","1","82"
"Basin Head","2006-01","2006","1","0"
"Beaconsfield","2006-01","2006","1","299"
"Elmira","2006-01","2006","1","0"
"Eptek","2006-01","2006","1","601"
"Green Park","2006-01","2006","1","0"
"Orwell","2006-01","2006","1","114"
"Acadian","2006-02","2006","2","46"
"Basin Head","2006-02","2006","2","0"
"Beaconsfield","2006-02","2006","2","266"
"Elmira","2006-02","2006","2","0"
"Eptek","2006-02","2006","2","744"
"Green Park","2006-02","2006","2","0"
"Orwell","2006-02","2006","2","156"
"Acadian","2006-03","2006","3","269"
"Basin Head","2006-03","2006","3","0"
"Beaconsfield","2006-03","2006","3","270"
"Elmira","2006-03","2006","3","0"
"Eptek","2006-03","2006","3","742"
"Green Park","2006-03","2006","3","0"
"Orwell","2006-03","2006","3","202"
"Acadian","2006-04","2006","4","185"
"Basin Head","2006-04","2006","4","0"
"Beaconsfield","2006-04","2006","4","170"
"Elmira","2006-04","2006","4","0"
"Eptek","2006-04","2006","4","570"
"Green Park","2006-04","2006","4","0"
"Orwell","2006-04","2006","4","162"
"Acadian","2006-05","2006","5","287"
"Basin Head","2006-05","2006","5","0"
"Beaconsfield","2006-05","2006","5","451"
"Elmira","2006-05","2006","5","101"
"Eptek","2006-05","2006","5","735"
"Green Park","2006-05","2006","5","0"
"Orwell","2006-05","2006","5","196"
"Acadian","2006-06","2006","6","699"
"Basin Head","2006-06","2006","6","971"
"Beaconsfield","2006-06","2006","6","775"
"Elmira","2006-06","2006","6","468"
"Eptek","2006-06","2006","6","841"
"Green Park","2006-06","2006","6","533"
"Orwell","2006-06","2006","6","1389"
"Acadian","2006-07","2006","7","1687"
"Basin Head","2006-07","2006","7","3513"
"Beaconsfield","2006-07","2006","7","1854"
"Elmira","2006-07","2006","7","2985"
"Eptek","2006-07","2006","7","2124"
"Green Park","2006-07","2006","7","1825"
"Orwell","2006-07","2006","7","2762"
"Acadian","2006-08","2006","8","1894"
"Basin Head","2006-08","2006","8","4087"
"Beaconsfield","2006-08","2006","8","2055"
"Elmira","2006-08","2006","8","3025"
"Eptek","2006-08","2006","8","2053"
"Green Park","2006-08","2006","8","2811"
"Orwell","2006-08","2006","8","3077"
"Acadian","2006-09","2006","9","524"
"Basin Head","2006-09","2006","9","1650"
"Beaconsfield","2006-09","2006","9","547"
"Elmira","2006-09","2006","9","1373"
"Eptek","2006-09","2006","9","774"
"Green Park","2006-09","2006","9","726"
"Orwell","2006-09","2006","9","1417"
"Acadian","2006-10","2006","10","232"
"Basin Head","2006-10","2006","10","0"
"Beaconsfield","2006-10","2006","10","327"
"Elmira","2006-10","2006","10","862"
"Eptek","2006-10","2006","10","632"
"Green Park","2006-10","2006","10","0"
"Orwell","2006-10","2006","10","391"
"Acadian","2006-11","2006","11","289"
"Basin Head","2006-11","2006","11","0"
"Beaconsfield","2006-11","2006","11","365"
"Elmira","2006-11","2006","11","0"
"Eptek","2006-11","2006","11","571"
"Green Park","2006-11","2006","11","0"
"Orwell","2006-11","2006","11","62"
"Acadian","2006-12","2006","12","144"
"Basin Head","2006-12","2006","12","0"
