"fiscal_year","license_class","license_class_number","license_class_description","number_of_licenses"
"2007-2008","CLASS 1 - Tractor Trailers","1","Tractor Trailers","3970"
"2007-2008","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","993"
"2007-2008","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","6778"
"2007-2008","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","3200"
"2007-2008","CLASS 5 - Car, light truck","5","Car, light truck","83423"
"2007-2008","CLASS 6 - Motorcycle","6","Motorcycle","8407"
"2007-2008","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","2258"
"2007-2008","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","2"
"2007-2008","CLASS 9 - Farm Tractor","9","Farm Tractor","46"
"2008-2009","CLASS 1 - Tractor Trailers","1","Tractor Trailers","3848"
"2008-2009","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1022"
"2008-2009","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","6742"
"2008-2009","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","3138"
"2008-2009","CLASS 5 - Car, light truck","5","Car, light truck","83805"
"2008-2009","CLASS 6 - Motorcycle","6","Motorcycle","8454"
"2008-2009","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","2695"
"2008-2009","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","2"
"2008-2009","CLASS 9 - Farm Tractor","9","Farm Tractor","36"
"2009-2010","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4133"
"2009-2010","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1008"
"2009-2010","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","6307"
"2009-2010","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2988"
"2009-2010","CLASS 5 - Car, light truck","5","Car, light truck","85648"
"2009-2010","CLASS 6 - Motorcycle","6","Motorcycle","8930"
"2009-2010","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","2751"
"2009-2010","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","2"
"2009-2010","CLASS 9 - Farm Tractor","9","Farm Tractor","37"
"2010-2011","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4135"
"2010-2011","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1025"
"2010-2011","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","5851"
"2010-2011","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2862"
"2010-2011","CLASS 5 - Car, light truck","5","Car, light truck","87393"
"2010-2011","CLASS 6 - Motorcycle","6","Motorcycle","9421"
"2010-2011","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","2886"
"2010-2011","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","1"
"2010-2011","CLASS 9 - Farm Tractor","9","Farm Tractor","30"
"2011-2012","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4145"
"2011-2012","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1026"
"2011-2012","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","5545"
"2011-2012","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2846"
