"fiscal_year","month","calendar_year","period","value"
"2010-2011","4","2010","2010-04","1226"
"2010-2011","5","2010","2010-05","1216"
"2010-2011","6","2010","2010-06","1218"
"2010-2011","7","2010","2010-07","1219"
"2010-2011","8","2010","2010-08","1218"
"2010-2011","9","2010","2010-09","1232"
"2010-2011","10","2010","2010-10","1237"
"2010-2011","11","2010","2010-11","1219"
"2010-2011","12","2010","2010-12","1210"
"2010-2011","1","2011","2011-01","1203"
"2010-2011","2","2011","2011-02","1186"
"2010-2011","3","2011","2011-03","1193"
"2011-2012","4","2011","2011-04","1191"
"2011-2012","5","2011","2011-05","1199"
"2011-2012","6","2011","2011-06","1194"
"2011-2012","7","2011","2011-07","1218"
"2011-2012","8","2011","2011-08","1223"
"2011-2012","9","2011","2011-09","1231"
"2011-2012","10","2011","2011-10","1231"
"2011-2012","11","2011","2011-11","1254"
"2011-2012","12","2011","2011-12","1262"
"2011-2012","1","2012","2012-01","1244"
"2011-2012","2","2012","2012-02","1272"
"2011-2012","3","2012","2012-03","1270"
"2012-2013","4","2012","2012-04","1268"
"2012-2013","5","2012","2012-05","1265"
"2012-2013","6","2012","2012-06","1266"
"2012-2013","7","2012","2012-07","1270"
"2012-2013","8","2012","2012-08","1269"
"2012-2013","9","2012","2012-09","1277"
"2012-2013","10","2012","2012-10","1276"
"2012-2013","11","2012","2012-11","1276"
"2012-2013","12","2012","2012-12","1264"
"2012-2013","1","2013","2013-01","1266"
"2012-2013","2","2013","2013-02","1267"
"2012-2013","3","2013","2013-03","1263"
"2013-2014","4","2013","2013-04","1254"
"2013-2014","5","2013","2013-05","1266"
"2013-2014","6","2013","2013-06","1262"
"2013-2014","7","2013","2013-07","1273"
"2013-2014","8","2013","2013-08","1275"
"2013-2014","9","2013","2013-09","1270"
"2013-2014","10","2013","2013-10","1268"
"2013-2014","11","2013","2013-11","1261"
"2013-2014","12","2013","2013-12","1263"
"2013-2014","1","2014","2014-01","1254"
"2013-2014","2","2014","2014-02","1260"
"2013-2014","3","2014","2014-03","1260"
"2014-2015","4","2014","2014-04","1272"
"2014-2015","5","2014","2014-05","1285"
"2014-2015","6","2014","2014-06","1296"
"2014-2015","7","2014","2014-07","1290"
"2014-2015","8","2014","2014-08","1289"
"2014-2015","9","2014","2014-09","1282"
"2014-2015","10","2014","2014-10","1295"
"2014-2015","11","2014","2014-11","1301"
"2014-2015","12","2014","2014-12","1307"
"2014-2015","1","2015","2015-01","1302"
"2014-2015","2","2015","2015-02","1304"
"2014-2015","3","2015","2015-03","1301"
"2015-2016","4","2015","2015-04","1307"
"2015-2016","5","2015","2015-05","1313"
"2015-2016","6","2015","2015-06","1314"
"2015-2016","7","2015","2015-07","1312"
"2015-2016","8","2015","2015-08","1314"
"2015-2016","9","2015","2015-09","1325"
"2015-2016","10","2015","2015-10","1328"
"2015-2016","11","2015","2015-11","1346"
"2015-2016","12","2015","2015-12","1347"
"2015-2016","1","2016","2016-01","1353"
"2015-2016","2","2016","2016-02","1351"
"2015-2016","3","2016","2016-03","1352"
"2016-2017","4","2016","2016-04","1351"
"2016-2017","5","2016","2016-05","1353"
"2016-2017","6","2016","2016-06","1364"
"2016-2017","7","2016","2016-07","1354"
"2016-2017","8","2016","2016-08","1345"
"2016-2017","9","2016","2016-09","1353"
"2016-2017","10","2016","2016-10","1359"
"2016-2017","11","2016","2016-11","1372"
"2016-2017","12","2016","2016-12","1383"
"2016-2017","1","2017","2017-01","1387"
"2016-2017","2","2017","2017-02","1380"
"2016-2017","3","2017","2017-03","1376"
"2017-2018","4","2017","2017-04","1381"
"2017-2018","5","2017","2017-05","1390"
"2017-2018","6","2017","2017-06","1395"
"2017-2018","7","2017","2017-07","1392"
"2017-2018","8","2017","2017-08","1387"
"2017-2018","9","2017","2017-09","1392"
"2017-2018","10","2017","2017-10","1400"
"2017-2018","11","2017","2017-11","1414"
"2017-2018","12","2017","2017-12","1415"
"2017-2018","1","2018","2018-01","1407"
"2017-2018","2","2018","2018-02","1408"
"2017-2018","3","2018","2018-03","1410"
