"fiscal_year","adult_custody_bed_days"
"2011-2012","40596"
"2012-2013","38178"
"2013-2014","43474"
"2014-2015","35811"
"2015-2016","30879"
"2016-2017","29756"
"2017-2018","32560"
"2018-2019","37880"
