"calendar_year","employment_type","job_description","division_name","regular_pay","over_time_pay","lump_sum_pay","assignment_and_incentive_pay","skills_pay","outside_pay","other_pay","retirement_contribution","deferred_compensation_plan","health_average","cash_in_lieu","total"
"2018","Permanent","Motor Coach Operator","Transit Operations - MCO","61400.00","59786.98","5868.00","0.00","0.00","0.00","2738.58","18490.73","369.28","17026.67","0.00","165680.24"
"2018","Permanent","Farmers' Market Coordinator II","Farmers Market","93828.03","0.00","5413.15","0.00","0.00","0.00","207.72","27251.41",,"17026.67",,"143726.98"
"2018","Permanent","Transit Mechanic II","Transit Maintenance -Mechanics","79835.99","3713.53","0.00","0.00","0.00","0.00","1324.94","23331.46","782.84","17026.67","0.00","126015.42"
"2018","Permanent","Investigative Intel Analyst","Criminal Investigations","93767.99","0.00","5751.74","0.00","0.00","0.00","2557.72","27242.55",,"17026.67",,"146346.67"
"2018","Permanent","Police Officer","Police - Operations","110525.98","41302.66","8134.67","39740.87","0.00","150.00","7336.42","67661.79",,"17026.67",,"291879.05"
"2018","Permanent","Community Services Officer","Police - Operations","70903.39","27374.95","0.00","3801.15","0.00","0.00","1999.91","21376.87","669.32","17026.67","0.00","143152.26"
"2018","Permanent","Motor Coach Operator","Transit Operations - MCO","14671.60","16153.23","0.00","21.83","0.00","0.00","755.75","3057.78","346.20","17026.67","0.00","52033.05"
"2018","Permanent","Resource Rec & Recyc Coll Supt","Resource Recovery & Recycling","119952.00","4346.82","14301.96","0.00","600.08","0.00","2308.87","35013.15","232.56","17026.67","0.00","193782.10"
"2018","Permanent","Housing Specialist","Housing Services","56895.86","0.00","0.00","0.00","0.00","0.00","544.26","16272.35","258.40","17026.67","0.00","90997.54"
"2018","Permanent","Equipment Operator I","Resource Recovery & Recycling","60155.95","6431.30","6478.34","0.00","0.00","0.00","1098.84","17582.55","782.84","17026.67","0.00","109556.49"
"2018","Permanent","City Engineer","Civil Engineering","186804.03","0.00","20875.98","0.00","0.00","0.00","10.00","54258.66",,"17026.67",,"278975.34"
"2018","Permanent","Police Officer","Criminal Investigations","110526.00","17480.71","8265.88","34162.92","1799.98","0.00","11044.00","68496.64",,"17026.67",,"268802.80"
"2018","Permanent","Transit Mechanic Supv","Transit Maintenance - Mgmt","98723.99","6923.73","4900.60","515.00","0.00","0.00","307.46","28907.76","232.56","17026.67","0.00","157537.77"
"2018","Permanent","Police Officer","Police - Operations","110526.00","13574.92","0.00","20138.13","1799.98","0.00","7444.00","63914.42",,"17026.67",,"234424.12"
"2018","Permanent","Library Assistant II","Public and Branch Services","45671.60","0.00","0.00","336.50","0.00","0.00","1816.08","9333.95",,"17026.67",,"74184.80"
"2018","Permanent","Motor Coach Operator","Transit Operations - MCO","15082.40","17941.86","0.00","25.40","0.00","0.00","64.00","3137.83","346.20","17026.67","0.00","53624.36"
"2018","Permanent","Associate Planner","City Planning/Developmt Review","108528.07","0.00","4800.28","0.00","0.00","0.00","1529.47","31520.89",,"17026.67",,"163405.38"
"2018","Permanent","Community Services Officer","Police - Operations","70903.38","23512.88","7749.13","3820.02","1199.90","0.00","2331.58","21818.78","623.12","17026.67","0.00","148985.46"
"2018","Permanent","Billing Coordinator- Rent Cntl","Rent Control - Administration","77459.93","0.00","0.00","0.00","3906.42","0.00","2999.88","23631.74","2700.10","17026.67","0.00","127724.73"
