"calendar_year","employment_type","job_description","division_name","regular_pay","over_time_pay","lump_sum_pay","assignment_and_incentive_pay","skills_pay","outside_pay","other_pay","retirement_contribution","deferred_compensation_plan","health_average","cash_in_lieu","total"
"2018","Permanent","Police Captain","Police - Operations","214667.88","0.00","66984.51","77094.43","0.00","0.00","14006.25","135592.70",,"17026.67",,"525372.44"
"2016","Permanent","Police Chief","Police Administrative Services","307699.91","0.00","0.00","0.00","0.00","0.00","960.00","166681.12",,"16412.35",,"491753.38"
"2018","Permanent","Deputy Police Chief","Police Administrative Services","230705.95","0.00","13309.96","68963.30","1799.98","0.00","14269.88","144868.40",,"17026.67",,"490944.14"
"2014","Permanent","City Manager","City Manager - Administration","353483.92","0.00","21752.85","0.00","0.00","0.00","100.00","95377.30",,"15197.40",,"485911.47"
"2018","Permanent","Fire Captain - Suppression","Fire Suppression & Rescue","149000.20","162247.30","11037.42","44163.70","7215.94","12975.63","1259.96","79639.57","1080.04","17026.67","0.00","485646.43"
"2015","Permanent","Police Chief","Police Administrative Services","306582.07","0.00","1127.35","0.00","0.00","0.00","960.00","157299.89",,"15664.13",,"481633.43"
"2015","Permanent","Police Sergeant","Strategic Services Division","137711.56","150974.87","13401.14","57031.94","1869.21","0.00","8707.27","89460.01",,"15664.13",,"474820.13"
"2013","Permanent","City Manager","City Manager - Administration","351596.58","0.00","16152.93","0.00","0.00","0.00","104.79","93060.93",,"13753.35",,"474668.57"
"2017","Permanent","Police Chief","Police Administrative Services","240089.15","0.00","84515.32","0.00","0.00","0.00","800.00","131384.53",,"16850.78",,"473639.78"
"2018","Permanent","Police Captain","Criminal Investigations","222311.62","0.00","13145.54","66838.09","0.00","0.00","13965.76","138905.01",,"17026.67",,"472192.69"
"2018","Permanent","Fire Captain - Suppression","Fire Suppression & Rescue","149000.21","142153.35","12200.86","56008.15","7215.94","3760.86","1259.96","81399.62","1080.04","17026.67","0.00","471105.66"
"2018","Permanent","Fire Captain - Prevention","Fire - Administration","163895.95","150915.84","625.51","43162.21","9015.92","0.00","1259.96","80198.53","1080.04","17026.67","0.00","467180.62"
"2018","Permanent","Police Captain","Police Administrative Services","214328.82","0.00","20764.36","66497.82","0.00","0.00","13060.06","133804.97",,"17026.67",,"465482.70"
"2017","Permanent","Deputy Police Chief","Police Administrative Services","225148.75","620.97","18188.59","33100.45","1799.98","0.00","14266.64","155444.47","0.00","16850.78",,"465420.63"
"2017","Permanent","City Manager","City Manager - Administration","341082.00","0.00","20885.17","0.00","0.00","0.00","14000.00","71278.09",,"16850.78",,"464096.04"
"2012","Permanent","City Manager","City Manager - Administration","337793.59","0.00","20579.72","0.00","0.00","0.00","50.00","88647.22",,"12348.35",,"459418.87"
"2017","Permanent","Fire Captain - Suppression","Fire Suppression & Rescue","147299.91","161998.73","7538.02","32735.64","7133.62","8831.80","2109.77","73918.70","456.94","16850.78",,"458873.91"
"2018","Permanent","City Manager","City Manager - Administration","342780.03","0.00","24390.10","0.00","0.00","0.00","1139.97","69940.84",,"17026.67",,"455277.61"
"2016","Permanent","Deputy Police Chief","Police Administrative Services","215623.63","0.00","8026.62","53908.54","1799.98","0.00","13750.56","152879.81","0.00","1145.31","7800.00","454934.45"
"2014","Permanent","Police Chief","Police Administrative Services","289525.84","0.00","1101.74","0.00","0.00","0.00","960.00","145862.46",,"15197.40",,"452647.44"
"2016","Permanent","Police Captain","Police - Operations","200465.52","0.00","14412.33","59969.60","0.00","0.00","13081.67","145658.15",,"16412.35",,"449999.62"
"2018","Permanent","Police Sergeant","Police - Operations","146939.99","115365.58","0.00","63997.76","0.00","0.00","13237.22","89807.10",,"17026.67",,"446374.32"
"2018","Permanent","Sr Fire Inspector","Fire Prevention","141519.64","165963.69","672.63","37058.33","7215.94","7395.61","1259.96","66053.34","1080.04","17026.67","0.00","445245.85"
"2018","Permanent","Battalion Chief - Suppression","Fire Suppression & Rescue","195648.13","92131.13","11902.51","35220.13","0.00","0.00","1259.96","90298.30","1080.04","17026.67","0.00","444566.87"
"2016","Permanent","City Manager","City Manager - Administration","336875.99","0.00","20576.49","0.00","0.00","0.00","1683.60","67538.36",,"16412.35",,"443086.79"
"2018","Permanent","Fire Chief","Fire - Administration","281879.96","0.00","19508.07","0.00","0.00","0.00","16707.64","107290.24",,"17026.67",,"442412.58"
"2017","Permanent","Police Sergeant","Strategic Services Division","136760.87","125530.49","9442.43","54350.20","0.00","0.00","9888.16","89406.00","0.00","16850.78",,"442228.93"
"2018","Permanent","Police Sergeant","Police Administrative Services","147065.03","91200.88","14631.02","70489.67","0.00","0.00","9555.50","91930.56",,"17026.67",,"441899.33"
"2017","Permanent","Fire Captain - Prevention","Fire - Administration","162023.95","142510.96","0.00","29728.25","8933.60","0.00","2194.70","75739.74","456.94","16850.78",,"438438.92"
"2015","Permanent","Asst City Attorney","City Attorney","282170.16","0.00","24902.03","28217.07","0.00","0.00","0.00","85548.63",,"15664.13",,"436502.01"
"2018","Permanent","Battalion Chief - Suppression","Fire Suppression & Rescue","195648.14","83545.74","9644.22","34290.97","0.00","3128.48","1259.96","90298.31","1080.04","17026.67","0.00","435922.53"
"2018","Permanent","Battalion Chief - Suppression","Fire Suppression & Rescue","214628.78","57955.39","7468.72","35610.54","0.00","5324.90","1259.96","94603.81","1080.04","17026.67","0.00","434958.81"
"2017","Permanent","Asst City Attorney","City Attorney","268190.54","0.00","57819.99","8542.49","0.00","0.00","0.00","83152.26",,"16850.78",,"434556.06"
"2014","Permanent","Police Sergeant","Police - Operations","128163.10","141130.39","5839.20","51326.82","1799.98","0.00","9004.70","81828.86",,"15197.40",,"434290.45"
"2015","Permanent","Asst City Manager","City Manager - Administration","311472.18","0.00","20481.42","0.00","0.00","0.00","100.00","85772.01",,"15664.13",,"433489.74"
"2015","Permanent","Deputy Police Chief","Police Administrative Services","215565.35","0.00","17143.76","31555.46","1869.21","0.00","12824.42","144332.45","0.00","1137.77","8100.00","432528.42"
"2016","Permanent","Asst City Mgr/Ch Operating Off","City Manager - Administration","299289.19","0.00","27571.57","0.00","0.00","0.00","0.00","85873.13",,"16412.35",,"429146.23"
