"neighborhood","birth_year","gender"
"ASYLUM HILL","2002","229"
"ASYLUM HILL","2003","202"
"ASYLUM HILL","2012","214"
"ASYLUM HILL","2009","207"
"ASYLUM HILL","2004","213"
"ASYLUM HILL","2007","224"
"ASYLUM HILL","2010","209"
"ASYLUM HILL","2011","198"
"ASYLUM HILL","2006","210"
"ASYLUM HILL","2005","260"
"ASYLUM HILL","2008","242"
"BARRY SQUARE","2007","273"
"BARRY SQUARE","2004","249"
"BARRY SQUARE","2011","232"
"BARRY SQUARE","2010","240"
"BARRY SQUARE","2005","252"
"BARRY SQUARE","2002","271"
"BARRY SQUARE","2009","266"
"BARRY SQUARE","2006","241"
"BARRY SQUARE","2008","235"
"BARRY SQUARE","2012","268"
"BARRY SQUARE","2003","257"
"BEHIND THE ROCKS","2002","143"
"BEHIND THE ROCKS","2006","148"
"BEHIND THE ROCKS","2011","129"
"BEHIND THE ROCKS","2009","152"
"BEHIND THE ROCKS","2007","161"
"BEHIND THE ROCKS","2010","146"
"BEHIND THE ROCKS","2005","135"
"BEHIND THE ROCKS","2003","154"
"BEHIND THE ROCKS","2012","127"
"BEHIND THE ROCKS","2004","150"
"BEHIND THE ROCKS","2008","152"
"BLUE HILLS","2006","140"
"BLUE HILLS","2012","96"
"BLUE HILLS","2005","142"
"BLUE HILLS","2002","186"
"BLUE HILLS","2011","124"
"BLUE HILLS","2008","129"
"BLUE HILLS","2003","155"
"BLUE HILLS","2009","123"
"BLUE HILLS","2004","178"
"BLUE HILLS","2007","130"
"BLUE HILLS","2010","123"
"CLAY-ARSENAL","2006","138"
"CLAY-ARSENAL","2010","116"
"CLAY-ARSENAL","2009","159"
"CLAY-ARSENAL","2007","115"
"CLAY-ARSENAL","2011","126"
"CLAY-ARSENAL","2004","155"
"CLAY-ARSENAL","2012","132"
"CLAY-ARSENAL","2002","143"
"CLAY-ARSENAL","2005","111"
"CLAY-ARSENAL","2003","144"
"CLAY-ARSENAL","2008","117"
"DOWNTOWN","2005","11"
"DOWNTOWN","2007","5"
"DOWNTOWN","2011","13"
"DOWNTOWN","2006","5"
"DOWNTOWN","2010","22"
"DOWNTOWN","2004","4"
"DOWNTOWN","2002","10"
"DOWNTOWN","2008","13"
"DOWNTOWN","2003","8"
"DOWNTOWN","2012","23"
"DOWNTOWN","2009","23"
"FROG HOLLOW","2011","193"
"FROG HOLLOW","2004","171"
"FROG HOLLOW","2012","194"
"FROG HOLLOW","2006","206"
"FROG HOLLOW","2002","176"
"FROG HOLLOW","2005","201"
"FROG HOLLOW","2010","194"
"FROG HOLLOW","2003","182"
"FROG HOLLOW","2009","180"
"FROG HOLLOW","2007","188"
"FROG HOLLOW","2008","218"
"NORTHEAST","2007","234"
"NORTHEAST","2010","199"
"NORTHEAST","2009","211"
"NORTHEAST","2012","208"
"NORTHEAST","2004","221"
"NORTHEAST","2006","215"
"NORTHEAST","2011","185"
"NORTHEAST","2005","197"
"NORTHEAST","2008","193"
"NORTHEAST","2002","209"
"NORTHEAST","2003","192"
"NORTH MEADOWS","2011","1"
"NORTH MEADOWS","2007","1"
"NORTH MEADOWS","2004","1"
"PARKVILLE","2008","98"
"PARKVILLE","2004","101"
"PARKVILLE","2002","128"
"PARKVILLE","2009","101"
"PARKVILLE","2010","90"
"PARKVILLE","2007","105"
"PARKVILLE","2012","106"
"PARKVILLE","2011","92"
"PARKVILLE","2006","126"
"PARKVILLE","2005","102"
"PARKVILLE","2003","118"
"SHELDON-CHARTER OAK","2004","61"
"SHELDON-CHARTER OAK","2003","66"
"SHELDON-CHARTER OAK","2012","37"
"SHELDON-CHARTER OAK","2005","43"
"SHELDON-CHARTER OAK","2008","46"
"SHELDON-CHARTER OAK","2002","60"
"SHELDON-CHARTER OAK","2006","37"
"SHELDON-CHARTER OAK","2009","55"
"SHELDON-CHARTER OAK","2010","50"
"SHELDON-CHARTER OAK","2007","43"
"SHELDON-CHARTER OAK","2011","48"
"SOUTH END","2011","215"
"SOUTH END","2002","186"
"SOUTH END","2003","228"
"SOUTH END","2006","196"
"SOUTH END","2007","231"
"SOUTH END","2008","235"
"SOUTH END","2009","229"
"SOUTH END","2005","226"
"SOUTH END","2010","218"
"SOUTH END","2012","180"
"SOUTH END","2004","240"
"SOUTH GREEN","2008","59"
"SOUTH GREEN","2006","54"
"SOUTH GREEN","2002","65"
"SOUTH GREEN","2012","72"
"SOUTH GREEN","2005","78"
"SOUTH GREEN","2011","59"
"SOUTH GREEN","2004","54"
"SOUTH GREEN","2009","62"
"SOUTH GREEN","2010","64"
"SOUTH GREEN","2003","49"
"SOUTH GREEN","2007","57"
"SOUTH MEADOWS","2012","6"
"SOUTH MEADOWS","2011","7"
"SOUTH MEADOWS","2003","2"
"SOUTH MEADOWS","2005","2"
"SOUTH MEADOWS","2004","6"
"SOUTH MEADOWS","2009","1"
"SOUTH MEADOWS","2008","5"
"SOUTH MEADOWS","2010","8"
"SOUTH MEADOWS","2007","4"
"SOUTH MEADOWS","2006","4"
"SOUTH MEADOWS","2002","7"
"SOUTHWEST","2007","1"
"SOUTHWEST","2011","1"
"SOUTH WEST","2006","70"
"SOUTH WEST","2010","71"
"SOUTH WEST","2005","73"
"SOUTH WEST","2003","85"
"SOUTH WEST","2007","62"
"SOUTH WEST","2009","95"
"SOUTH WEST","2008","81"
"SOUTH WEST","2011","81"
"SOUTH WEST","2004","55"
"SOUTH WEST","2002","82"
"SOUTH WEST","2012","75"
"UPPER ALBANY","2002","106"
"UPPER ALBANY","2004","122"
"UPPER ALBANY","2011","135"
"UPPER ALBANY","2010","115"
"UPPER ALBANY","2009","144"
"UPPER ALBANY","2012","112"
"UPPER ALBANY","2006","133"
"UPPER ALBANY","2008","136"
"UPPER ALBANY","2007","129"
"UPPER ALBANY","2005","120"
"UPPER ALBANY","2003","143"
"WEST END","2002","128"
"WEST END","2003","110"
"WEST END","2011","91"
"WEST END","2012","79"
"WEST END","2006","99"
"WEST END","2004","105"
"WEST END","2008","121"
"WEST END","2005","115"
"WEST END","2007","111"
"WEST END","2010","93"
"WEST END","2009","117"
