"fiscal_year","total_tax_levy_for_the_fiscal_year","amount_collected_within_the_fiscal_year","pct_collected_within_the_fiscal_year","collections_in_subsequent_years","amount_collected_to_date","pct_collected_to_date"
"2005","730495.00","688993.00","94.32","30932.00","719925.00","98.55"
"2006","784864.00","708009.00","90.21","45693.00","753702.00","96.03"
"2007","862415.00","814880.00","94.49","80748.00","895628.00","103.85"
"2008","935881.00","872254.00","93.20","64845.00","937099.00","100.13"
"2009","1008578.00","948294.00","94.02","110519.00","1058813.00","104.98"
"2010","1009256.00","947165.00","93.85","86089.00","1033254.00","102.38"
"2011","984897.00","941070.00","95.55","73905.00","1014975.00","103.05"
"2012","1000689.00","936265.00","93.56","30763.00","967028.00","96.64"
"2013","1025057.00","1010830.00","98.61","60543.00","1071373.00","104.52"
"2014","1080159.00","1071795.00","99.23","12558.00","1084353.00","100.39"
