"fiscal_year","asset_type","amount_in_thousands"
"2013","Restricted for Capital Projects","677656"
"2007","Restricted for Debt Service","2150022"
"2005","Restricted for Debt Service","2226614"
"2014","Restricted for Capital Projects","679762"
"2013","Net Investment in Capital Assets","29175946"
"2012","Unrestricted (Deficit)","-1782463"
"2008","Unrestricted","3600295"
"2006","Net Investment in Capital Assets","23447390"
"2008","Restricted for Special Purposes","6686478"
"2009","Restricted for Special Purposes","6779374"
"2013","Restricted for Debt Service","2604280"
"2012","Net Investment in Capital Assets","27684269"
"2005","Unrestricted (Deficit)","-1192219"
"2007","Restricted for Capital Projects","604074"
"2007","Net Investment in Capital Assets","24328712"
"2009","Unrestricted","3607415"
"2013","Restricted for Special Purposes","8916762"
"2009","Unrestricted (Deficit)","-1707447"
"2011","Restricted for Capital Projects","596218"
"2012","Restricted for Capital Projects","487290"
"2006","Restricted for Special Purposes","5045406"
"2006","Unrestricted (Deficit)","-1019029"
"2012","Restricted for Debt Service","2762790"
"2005","Restricted for Capital Projects","1089390"
"2011","Unrestricted (Deficit)","-1794315"
"2013","Unrestricted (Deficit)","-2429330"
"2012","Unrestricted","4756826"
"2006","Restricted for Capital Projects","537332"
"2007","Restricted for Special Purposes","5916854"
"2010","Restricted for Special Purposes","7412466"
"2014","Net Investment in Capital Assets","31520618"
"2007","Unrestricted","3399777"
"2005","Net Investment in Capital Assets","19935466"
"2014","Unrestricted (Deficit)","-1276678"
"2006","Unrestricted","3187695"
"2013","Unrestricted","4810446"
"2011","Unrestricted","4879637"
"2010","Net Investment in Capital Assets","25867416"
"2012","Restricted for Special Purposes","8173442"
"2014","Unrestricted","5736152"
"2010","Unrestricted","4512341"
"2010","Restricted for Debt Service","2886072"
"2007","Unrestricted (Deficit)","-1223123"
"2009","Restricted for Debt Service","2523414"
"2014","Restricted for Special Purposes","7599016"
"2005","Unrestricted","2679859"
"2014","Restricted for Debt Service","2351584"
"2009","Restricted for Capital Projects","825896"
"2011","Net Investment in Capital Assets","26653756"
"2008","Restricted for Debt Service","1934780"
"2008","Restricted for Capital Projects","496022"
"2008","Net Investment in Capital Assets","25575084"
"2008","Unrestricted (Deficit)","-1455537"
"2010","Unrestricted (Deficit)","-1564473"
"2005","Restricted for Special Purposes","4371122"
"2010","Restricted for Capital Projects","794690"
"2006","Restricted for Debt Service","2214364"
"2011","Restricted for Debt Service","2956238"
"2011","Restricted for Special Purposes","7680570"
"2009","Net Investment in Capital Assets","25563858"
