"fiscal_year","fiscal_month_name","revenue_collected","fiscal_month","fund"
"2013","MAY","692446144.27","11","100"
"2013","JANUARY","673597718.10","7","100"
"2013","APRIL","621157983.54","10","100"
"2013","DECEMBER","609961043.29","6","100"
"2013","MARCH","603154864.57","9","100"
"2013","FEBRUARY","538032841.14","8","100"
"2013","JUNE","410684099.18","12","100"
"2013","AUGUST","319990450.05","2","100"
"2013","NOVEMBER","317531676.22","5","100"
"2013","JULY","302684108.60","1","100"
"2013","OCTOBER","270048494.39","4","100"
"2013","SEPTEMBER","245624374.22","3","100"
