"fiscal_year","type11","type21","amount","debt_cap","general_fund_receipts"
"2010","Non-Voter Cap","Non-Voter approved","210288273","266126007.24","4435433454"
"2011","Non-Voter Cap","Non-Voter approved","206824552","258296969.40","4304949490"
"2012","Non-Voter Cap","Non-Voter approved","207383076","263762388.78","4396039813"
"2013","Non-Voter Cap","Non-Voter approved","210809036","280560562.14","4676009369"
"2014","Non-Voter Cap","Non-Voter approved","218868185","297643078.32","4960717972"
"2015","Non-Voter Cap","Non-Voter approved","221427809","314879804.16","5247996736"
"2016","Non-Voter Cap","Non-Voter approved","202602933","320280832.80","5338013880"
"2017","Non-Voter Cap","Non-Voter approved","202443961","337727390.22","5628789837"
"2018","Non-Voter Cap","Non-Voter approved","211576458","349170118.80","5819501980"
"2019","Non-Voter Cap","Non-Voter approved","220998622","368509684.86","6141828081"
"2020","Non-Voter Cap","Non-Voter approved","217708000","396733320.00","6612222000"
"2021","Non-Voter Cap","Non-Voter approved","209300000","409461960.00","6824366000"
"2010","Total Debt Cap","Voter Approved","191756276","665315018.10","4435433454"
"2011","Total Debt Cap","Voter Approved","198867524","645742423.50","4304949490"
"2012","Total Debt Cap","Voter Approved","188246265","659405971.95","4396039813"
"2013","Total Debt Cap","Voter Approved","188706822","701401405.35","4676009369"
"2014","Total Debt Cap","Voter Approved","184843509","744107695.80","4960717972"
"2015","Total Debt Cap","Voter Approved","152476915","787199510.40","5247996736"
"2016","Total Debt Cap","Voter Approved","138053738","800702082.00","5338013880"
"2017","Total Debt Cap","Voter Approved","120166189","844318475.55","5628789837"
"2018","Total Debt Cap","Voter Approved","104428612","872925297.00","5819501980"
"2019","Total Debt Cap","Voter Approved","124562562","921274212.15","6141828081"
"2020","Total Debt Cap","Voter Approved","136815000","991833300.00","6612222000"
"2021","Total Debt Cap","Voter Approved","128979000","1023654900.00","6824366000"
