"activity","category","name","address","website","latitude","longitude","offers_art"
"Garden","Explore","Chavez Ravine Arboretum","Chavez Ravine Rd Los Angeles CA 90012","https://www.laparks.org/horticulture/chavez-ravine-arboretum","34.065875","-118.238728",
"Garden","Explore","Expo Center - Exposition Park Rose Garden","701 State Drive Los Angeles CA 90037","https://www.laparks.org/park/exposition-rose-garden","34.01659","-118.28425",
"Garden","Explore","Orcutt Ranch Horticultural Center & Community Garden","23600 Roscoe Blvd. West Hills CA 91304","https://www.laparks.org/horticulture/orcutt-ranch","34.218936","-118.641041",
"Garden","Explore","Sepulveda Garden Center","16633 Magnolia Blvd. Encino CA 91406","https://www.laparks.org/horticulture/sepulveda-garden-center","34.165072","-118.495735",
"Garden","Explore","Watts Senior Citizen Center Rose Garden","1657 E. Century Blvd. Los Angeles CA 90002","https://www.laparks.org/scc/watts","33.94586","-118.24405",
"Garden","Explore","White Point Park (nature Preserve)","1600 W. Paseo del Mar San Pedro CA 90731","https://www.laparks.org/park/white-point","33.71531","-118.3132",
"Horseback Riding","Explore","Stetson Ranch Park","15455 Glenoaks Blvd. Sylmar CA 91342","https://www.laparks.org/park/stetson-ranch","34.323414","-118.46937",
"Horseback Riding","Explore","Aliso Creek Park Equestrian Center","18041 Rinaldi St Granada Hills CA 91344","https://www.laparks.org/park/aliso-canyon","34.279086","-118.526563",
"Horseback Riding","Explore","Hansen Dam - Gabrielino Equestrian Center","11127 Orcas Ave Lake View Terrace CA 91342","https://hansendamhorsepark.com/","34.272332","-118.368419",
"Horseback Riding","Explore","L.A. Equestrian Center","480 Riverside Dr Burbank CA 91506","https://www.la-equestriancenter.com/","34.16124","-118.30963",
"Camping","Explore","Camp Hollywoodland","3200 Canyon Dr. Hollywood CA 90068","https://www.laparks.org/camp/camp-hollywoodland","34.121477","-118.315537",
"Camping","Explore","Camp Seely","250 N. Highway 138 Crestline CA 92325","https://www.laparks.org/camp/camp-seely","34.248746","-117.302947",
"Camping","Explore","Griffith Park Boys' Camp","4730 Crystal Springs Dr. Los Angeles CA 90027","https://www.laparks.org/camp/griffith-park-boys-camp","34.137875","-118.282589",
"Hiking","Explore","O'Melveny Park Hiking Trail","17300 Sesnon Blvd. Granada Hills CA 91344","https://www.laparks.org/park/omelveny","34.305331","-118.512337",
"Hiking","Explore","Aliso Canyon Park Walking Trail","18041 Rinaldi St Granada Hills CA 91344","https://www.laparks.org/park/aliso-canyon","34.279086","-118.526563",
