"fiscal_year","type","amount_in_thousands"
"2013","Business Taxes","447983"
"2009","Property Taxes","1591201"
"2006","Sales Taxes","329169"
"2014","Property Taxes","1688992"
"2007","Sales Taxes","333386"
"2006","Utility Users' Taxes","606617"
"2012","Property Taxes","1564281"
"2007","Property Taxes","1378129"
"2014","Property Tax In-lieu of Sales Tax","121036"
"2008","Property Tax In-lieu of Sales Tax","119337"
"2007","Utility Users' Taxes","606624"
"2007","Other Taxes","512410"
"2005","Property Tax In-lieu of Sales Tax","90696"
"2005","Sales Taxes","303954"
"2013","Property Tax In-lieu of Sales Tax","116458"
"2014","Sales Taxes","357255"
"2014","Utility Users' Taxes","631492"
"2011","Business Taxes","424762"
"2009","Business Taxes","461374"
"2006","Business Taxes","436621"
"2009","Sales Taxes","300585"
"2005","Other Taxes","452428"
"2010","Utility Users' Taxes","628484"
"2010","Other Taxes","396869"
"2013","Utility Users' Taxes","623794"
"2012","Utility Users' Taxes","634629"
"2013","Property Taxes","1639355"
"2011","Utility Users' Taxes","618307"
"2007","Business Taxes","465353"
"2009","Utility Users' Taxes","646256"
"2010","Property Taxes","1563514"
"2011","Sales Taxes","337360"
"2012","Sales Taxes","328059"
"2010","Property Tax In-lieu of Sales Tax","84976"
"2008","Business Taxes","465124"
"2006","Other Taxes","521451"
"2006","Property Taxes","1276923"
"2011","Property Taxes","1546884"
"2005","Utility Users' Taxes","578542"
"2013","Other Taxes","516458"
"2008","Sales Taxes","337313"
"2011","Property Tax In-lieu of Sales Tax","96812"
"2008","Property Taxes","1465892"
"2013","Sales Taxes","343628"
"2007","Property Tax In-lieu of Sales Tax","112094"
"2012","Other Taxes","451881"
"2005","Business Taxes","396316"
"2014","Other Taxes","585457"
"2009","Other Taxes","394990"
"2005","Property Taxes","1138685"
"2008","Utility Users' Taxes","617199"
"2012","Property Tax In-lieu of Sales Tax","100538"
"2009","Property Tax In-lieu of Sales Tax","111683"
"2008","Other Taxes","475431"
"2010","Business Taxes","412287"
"2011","Other Taxes","410938"
"2014","Business Taxes","476908"
"2006","Property Tax In-lieu of Sales Tax","88937"
"2010","Sales Taxes","311520"
"2012","Business Taxes","438969"
