"category","indicator","sub_indicator","locality","gender","council_district","fiscal_year","fy_qtr","calendar_year","cy_qtr","quarter_start","as_of_date","unit_of_measure","unit_text","value","source"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"14",,,"2013",,,"04-11-2017","#",,"100687.91","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"3",,,"2013",,,"04-11-2017","#",,"125337.92","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"5",,,"2013",,,"04-11-2017","#",,"138986.61","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"11",,,"2013",,,"04-11-2017","#",,"162367.72","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"10",,,"2013",,,"04-11-2017","#",,"118157.66","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"6",,,"2013",,,"04-11-2017","#",,"120207.1","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"12",,,"2013",,,"04-11-2017","#",,"137094.95","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"1",,,"2013",,,"04-11-2017","#",,"110934.35","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"CITY TOTAL",,,"2013",,,"04-11-2017","#",,"1851156","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"8",,,"2013",,,"04-11-2017","#",,"96221.813","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"15",,,"2013",,,"04-11-2017","#",,"111129.8","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"7",,,"2013",,,"04-11-2017","#",,"116162.16","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"13",,,"2013",,,"04-11-2017","#",,"133216.75","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"9",,,"2013",,,"04-11-2017","#",,"99487.289","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"4",,,"2013",,,"04-11-2017","#",,"149864.91","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYED WORKERS",,"LOS ANGELES CITY",,"2",,,"2013",,,"04-11-2017","#",,"131299.11","U.S. CENSUS BUREAU; BEACON ECONOMICS"
