"category","indicator","sub_indicator","locality","gender","council_district","fiscal_year","fy_qtr","calendar_year","cy_qtr","quarter_start","as_of_date","unit_of_measure","unit_text","value","source"
"Consumer Price Index","Total All Items",,"State Of California","All",,"2015","2015-03","2015","2015-01","2015-01-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","246.2","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"Los Angeles Msa","All",,"2015","2015-03","2015","2015-01","2015-01-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","241.5","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"Nation","All",,"2015","2015-03","2015","2015-01","2015-01-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","235.2","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"Los Angeles Msa","All",,"2014","2015-02","2015","2014-04","2014-10-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","242.7","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"State Of California","All",,"2014","2015-02","2015","2014-04","2014-10-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","246.9","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"Nation","All",,"2014","2015-02","2015","2014-04","2014-10-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","237","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"State Of California","All",,"2014","2015-01","2015","2014-03","2014-07-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","246.9","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"Nation","All",,"2014","2015-01","2015","2014-03","2014-07-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","237.5","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"Los Angeles Msa","All",,"2014","2015-01","2015","2014-03","2014-07-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","243.5","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"State Of California","All",,"2014","2014-04","2014","2014-02","2014-04-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","245.9","Bureau Of Labor Statistics"
"Consumer Price Index","Total All Items",,"Los Angeles Msa","All",,"2014","2014-04","2014","2014-02","2014-04-01T00:00:00.000","2015-05-08T00:00:00.000","#","Index (1982-1984=100), Seasonally Adjusted","242.5","Bureau Of Labor Statistics"
