"fy","fiscal_year","transfer_to_budget","contingency_reserve","emergency_reserve","total","total_reserve_fund_to_budgeted_general_fund_receipts","budgeted_general_fund_receipts","cash_balance_july_1","add_return_of_unfunded_encumb","add_transfer_to_reserve","less_reappropriation","less_transfer_to_budget","less_reserve_for_interest_adjustment","available_cash_balance_july_1"
"1998","FY97-98","0.00","10935045.00","0.00","10935045.00","0.42","2596849330.00","13692542.00","3842503.00","0.00","-6600000.00","0.00","0.00","10935045.00"
"1999","FY98-99","3589372.00","62488873.00","0.00","62488873.00","2.31","2702670480.00","69591870.00","6186375.00","0.00","-9700000.00","-3589372.00","0.00","62488873.00"
"2000","FY99-00","0.00","34633274.00","38144020.00","72777294.00","2.61","2790578997.00","59181301.00","7752464.00","6357971.00","-10000000.00","0.00","9485558.00","72777294.00"
"2001","FY00-01","16525047.00","51118276.00","39831501.00","90949777.00","3.10","2932860143.00","107048396.00","10426428.00","0.00","-10000000.00","-16525047.00","0.00","90949777.00"
"2002","FY01-02","63716878.00","109198053.00","60799436.00","169997489.00","5.28","3220841280.00","236636031.00","15373624.00","0.00","-18295288.00","-63716878.00","0.00","169997489.00"
"2003","FY02-03","57962628.00","57171361.00","61000000.00","118171361.00","3.62","3266986689.00","232086754.00","9740306.00","0.00","-65693071.00","-57962628.00","0.00","118171361.00"
"2004","FY03-04","149577501.00","52062542.00","61000000.00","113062542.00","3.23","3497669870.00","295520331.00","10651832.00","0.00","-43532120.00","-149577501.00","0.00","113062542.00"
"2005","FY04-05","122871472.00","83844561.00","61000000.00","144844561.00","3.95","3671106700.00","278010435.00","16276464.00","0.00","-25470866.00","-122871472.00","-1100000.00","144844561.00"
"2006","FY05-06","295265091.00","79666331.00","78941890.00","158608221.00","4.02","3947094506.00","460036919.00","16039972.00","0.00","-22203579.00","-295265091.00","0.00","158608221.00"
"2007","FY06-07","231304000.00","70365010.00","108468000.00","178833010.00","4.12","4338703347.00","432399335.00","14006907.00","0.00","-36269232.00","-231304000.00","0.00","178833010.00"
"2008","FY07-08","71228867.00","0.00","113670539.00","113670539.00","2.56","4437775963.00","224192242.00","17048699.00","0.00","-41730210.00","-85840192.00","0.00","113670539.00"
"2009","FY08-09","0.00","40850118.00","125226000.00","166076118.00","3.65","4553669803.00","191564433.00","17294614.00","0.00","-42782929.00","0.00","0.00","166076118.00"
"2010","FY09-10","0.00","30702332.00","120994000.00","151696332.00","3.45","4399790115.00","174251554.00","15025508.00","0.00","-37580730.00","0.00","0.00","151696332.00"
"2011","FY10-11","3616627.00","51029390.00","120318000.00","171347390.00","3.92","4375214167.00","193512062.00","9483979.00","0.00","-28032024.00","-3616627.00","0.00","171347390.00"
"2012","FY11-12","8939164.00","80093383.00","120607000.00","200700383.00","4.58","4385692435.00","217740599.00","17629572.00","0.00","-25730624.00","-8939164.00","0.00","200700383.00"
"2013","FY12-13","0.00","107928625.00","125139000.00","233067625.00","5.12","4550492118.00","242305406.00","19262989.00","4890915.00","-33391685.00","0.00","0.00","233067625.00"
"2014","FY13-14","0.00","192813358.00","133840000.00","326653358.00","6.71","4866892324.00","352271028.00","7830459.00","0.00","-33448129.00","0.00","0.00","326653358.00"
"2015","FY14-15","117546306.00","241685919.00","141303000.00","382988919.00","7.45","5138290071.00","551427307.00","11888113.00","0.00","-62780195.00","-117546306.00","0.00","382988919.00"
"2016","FY15-16","60312889.00","293764128.00","148785000.00","442549128.00","8.18","5410381123.00","575720570.00","11924252.00","0.00","-57842805.00","-60312889.00","0.00","442549128.00"
