"site_number","site_name","category","address","street","city","state","latitude","longitude","website"
"1","El Pueblo de Los Ángeles","Monument","125 Paseo De La Plaza, Los Angeles, CA 90012","125 Paseo De La Plaza","Los Angeles","CA","34.05647","-118.238366","https://elpueblo.lacity.org/"
"2","Olvera Street Mexican Marketplace","Historical Site","1 Olvera Street, Los Angeles CA 90012","1 Olvera Street","Los Angeles","CA","34.05745","-118.238","http://www.calleolvera.com/"
"3","Avila Adobe","Historical Site","10 Olvera Street, Los Angeles CA 90012","10 Olvera Street","Los Angeles","CA","34.05735","-118.237909","https://elpueblo.lacity.org/"
"4","Sepulveda House","Historical Site","12 Olvera Street, Los Angeles, CA 90012","12 Olvera Street","Los Angeles","CA","34.057437","-118.238197","https://elpueblo.lacity.org/"
"5","Casa La Golondrina Mexican Cafe","Historical Site","17 Olvera Street, Los Angeles, CA 90012","17 Olvera Street","Los Angeles","CA","34.05771","-118.237945","https://www.casalagolondrinacafe.com/"
"6","Pico House","Historical Site","424 N. Main Street, Los Angeles, CA 90012","424 N. Main Street","Los Angeles","CA","34.056186","-118.239284","https://elpueblo.lacity.org/"
"7","Iglesia Nuestra Señora la Reina de los Ángeles / La Placita Church","Historical Site","535 N Main Street, Los Angeles, CA 90012","535 N Main Street","Los Angeles","CA","34.05696","-118.239368","http://laplacita.org/"
"8","América Tropical Interpretive Center","Mural","648 N Main Street, Los Angeles, CA 90012","648 N Main Street","Los Angeles","CA","34.057521","-118.238151","https://theamericatropical.org/"
"9","LA Plaza de Cultura y Artes","Historical Site","501 N Main Street, Los Angeles, CA 90012","501 N. Main Street","Los Angeles","CA","34.056436","-118.239746","http://lapca.org/"
"10","Chavez Ravine (and Aboretum)","Park","929 Academy Road, Los Angeles, CA 90012","929 Academy Road","Los Angeles","CA","34.0809","-118.238","https://www.laparks.org/horticulture/chavez-ravine-arboretum"
"11","La Fonda Restaurant","Historical Site","2501 Wilshire Boulevard, Los Angeles, CA 90057","2501 Wilshire Boulevard","Los Angeles","CA","34.060401","-118.28058","https://www.laconservancy.org/locations/la-fonda-restaurant"
"12","MacArthur Park","Historical Site","2230 W 6th Street, Los Angeles, CA 90057","2230 W 6th Street","Los Angeles","CA","34.06036","-118.277","https://www.laparks.org/park/macarthur"
"13","Southwest Museum","Museum","234 Museum Drive, Los Angeles, CA 90065","234 Museum Drive","Los Angeles","CA","34.100226","-118.205917","https://theautry.org/visit/mt-washington-campus"
"14","Edward Roybal Residence","Historical Site","628 S Evergreen Avenue, Los Angeles, CA 90023","628 S Evergreen Avenue","Los Angeles","CA","34.03339","-118.207","http://historicplacesla.org/reports/5b7ca3b3-aa1b-46fa-aca8-e81a280038ae"
"15","Fourth Street Bridge","Bridge","4th Street and Anderson Street, Los Angeles, CA 90033","4th Street and Anderson Street","Los Angeles","CA","34.04155","-118.228191","https://bridgehunter.com/ca/los-angeles/53C0331/"
"16","Lincoln Park/Plaza de la Raza Cultural Center","Park","3501 Valley Boulevard, Los Angeles, CA 90031","3501 Valley Boulevard","Los Angeles","CA","34.0657","-118.202","https://www.laparks.org/reccenter/lincoln"
"17","Los Cinco Puntos","Monument","3300 East Cesar E Chavez Avenue, Los Angeles, CA 90063","3300 East Cesar Chavez Avenue","Los Angeles","CA","34.04","-118.193","https://www.laconservancy.org/locations/los-cinco-puntos"
"18","Mariachi Plaza","Historical Site","1831 E 1st St, Los Angeles, CA 90033","1831 E 1st St","Los Angeles","CA","34.0474","-118.2189","https://mariachiplazalosangeles.com/site/"
"19","Woodrow Wilson High School","School","4500 Multnomah St, Los Angeles, CA 90032","4500 Multnomah St","Los Angeles","CA","34.06959","-118.18949","https://www.ibwilsonmules.com/"
"20","Andres Pico Adobe","Historical Site","10940 Sepulveda Boulevard, Mission Hills, CA 91345","10940 Sepulveda Boulevard","Mission Hills","CA","34.26862","-118.46544","https://www.laparks.org/historic/andres-pico-adobe"
"21","Campo de Cahuenga","Historical Site","3919 Lankershim Boulevard, Studio City, CA 91604","3919 Lankershim Boulevard","Studio City","CA","34.139658","-118.363373","https://www.laparks.org/historic/campo-de-cahuenga"
"22","Santa Susanna Mission Church and School","Historical Site","5453 N Satsuma Avenue, North Hollywood, CA 91601","5453 N Satsuma Avenue","North Hollywood","CA","34.17013","-118.368","http://historicplacesla.org/reports/275e70a9-83c8-473c-a7dd-e7ceaf932f5e"
"23","The Great Wall of Los Angeles","Mural","12920 W Oxnard Street, Valley Glen, CA 91401","12920 W Oxnard Street","Valley Glen","CA","34.17921","-118.415","https://www.nps.gov/places/great-wall-of-los-angeles.htm"
