"fiscal_year","dollar_amount"
"2012","2677891303.89"
"2013","3639956736.33"
"2014","3444984864.27"
"2015","3696627038.07"
"2016","3725910279.88"
"2017","4252658362.56"
"2018","4753633684.62"
"2019","5342887493.03"
"2020","4030664713.36"
"2021","5812189359.79"
"2022","6313155963.47"
"2023","2065867522.49"
