"record_nbr","pay_year","fms_dept","fms_department_title","job_class_pgrade","job_title","employment_type","job_status","mou","mou_title","regular_pay","overtime_pay","all_other_pay","total_pay","city_retirement_contributions","benefit_pay","gender","ethnicity"
"303030303632","2017","98","WATER AND POWER","3156-5","CUSTODIAN","FULL_TIME","ACTIVE","8","OPERATING MAINTENANCE AND SERVICE UNIT","55725.24","4785.05","2021.8399999999965","62532.13","3678","23508.9","FEMALE","HISPANIC"
"3030303036","2017","98","WATER AND POWER","9105-5","UTILITY ADMINISTRATOR","FULL_TIME","ACTIVE","M","MANAGEMENT EMPLOYEES UNIT","139174.88","16340.5","6170.489999999991","161685.87","9186","23508.9","FEMALE","ASIAN AMERICAN"
"303030313232","2017","98","WATER AND POWER","9602-4","WATER SERVICES MANAGER","FULL_TIME","ACTIVE","M","MANAGEMENT EMPLOYEES UNIT","245879.12","0","12504.300000000017","258383.42","16228","23508.9","MALE","BLACK"
"303030313632","2017","98","WATER AND POWER","5885-5","WTR TRTMT OPR","FULL_TIME","ACTIVE","6","STEAM PLANT AND WATER SUPPLY UNIT","101494.34","7824.99","12630.520000000004","121949.85","6699","23508.9","MALE","ASIAN AMERICAN"
"303030323632","2017","98","WATER AND POWER","3841-5","ELTL MCHC","FULL_TIME","ACTIVE","8","OPERATING MAINTENANCE AND SERVICE UNIT","101345.12","22284.37","1566.7500000000146","125196.24","6689","23508.9","MALE","HISPANIC"
"3030303333","2017","98","WATER AND POWER","1693-5","WTR SRVC REPTV","FULL_TIME","ACTIVE","2","TECHNICAL REPRESENTATION UNIT","90388.98","0","5774.990000000005","96163.97","5966","9250.61","MALE","HISPANIC"
"303030333732","2017","98","WATER AND POWER","3112-5","MTNC LABORER","FULL_TIME","NOT_ACTIVE","8","OPERATING MAINTENANCE AND SERVICE UNIT","47459.65","13335.67","12630.340000000004","73425.66","3132","13152.79","MALE","BLACK"
"303030343031","2017","98","WATER AND POWER","3115-5","MTNC CONSTR HLPR","FULL_TIME","ACTIVE","8","OPERATING MAINTENANCE AND SERVICE UNIT","76555.48","23924.47","13193.400000000009","113673.35","5053","15936.82","MALE","HISPANIC"
"303030343632","2017","98","WATER AND POWER","1728-5","SAFETY ADMINISTRATOR","FULL_TIME","ACTIVE","M","MANAGEMENT EMPLOYEES UNIT","149656","917.36","6842.640000000014","157416","9877","25704.27","MALE","BLACK"
"303030343733","2017","98","WATER AND POWER","7525-1","ELTL ENGR ASSOC","FULL_TIME","ACTIVE","3","PROFESSIONAL UNIT","86779.2","34793.28","4444.809999999998","126017.29","0","8191.86","MALE","CAUCASIAN"
"303030363232","2017","98","WATER AND POWER","1600-5","COML FLD REPTV","FULL_TIME","ACTIVE","8","OPERATING MAINTENANCE AND SERVICE UNIT","80843.2","22266.72","1019.320000000007","104129.24","5336","22552.95","MALE","HISPANIC"
"303030363532","2017","98","WATER AND POWER","5224-5","ELTC STN OPR","FULL_TIME","NOT_ACTIVE","8","OPERATING MAINTENANCE AND SERVICE UNIT","103401.46","18992.29","19388.109999999986","141781.86","6824","23508.9","MALE","CAUCASIAN"
"303030383232","2017","98","WATER AND POWER","7232-5","CVL ENGG DRFTG TCHN","FULL_TIME","NOT_ACTIVE","2","TECHNICAL REPRESENTATION UNIT","0","0","150","150","0","0","MALE","FILIPINO"
"3030303934","2017","98","WATER AND POWER","9105-5","UTILITY ADMINISTRATOR","FULL_TIME","NOT_ACTIVE","M","MANAGEMENT EMPLOYEES UNIT","148304","1069.5","6828.0899999999965","156201.59","9788","25704.27","FEMALE","HISPANIC"
"3030303939","2017","98","WATER AND POWER","3794-5","STRL STL FABRICATR SUPV","FULL_TIME","ACTIVE","B","SUPERVISORY BLUE COLLAR UNIT","99493.74","36230.73","8133.889999999985","143858.36","6567","23508.9","MALE","HISPANIC"
"303031303933","2017","98","WATER AND POWER","7228-1","FLD ENGG AIDE","FULL_TIME","ACTIVE","2","TECHNICAL REPRESENTATION UNIT","23560.64","697.56","140","24398.2","0","5911.05","MALE","CAUCASIAN"
"303031323031","2017","98","WATER AND POWER","1202-5","PL CLK UTLTY","FULL_TIME","NOT_ACTIVE","W","SUPERVISORY CLERICAL AND ADMINISTRATIVE UNIT","44254.36","28.72","17141.33","61424.41","2921","13711.27","FEMALE","CAUCASIAN"
"303031323833","2017","98","WATER AND POWER","1110-1","UTILITY PRE CRAFT TRAINEE","FULL_TIME","NOT_ACTIVE","Z","DAILY RATE","29739.2","134.4","35847.07999999999","65720.68","0","0","FEMALE","HISPANIC"
