"fiscal_year","dollar_amount","fiscal_month_number","calendar_month"
"2012","471710094.79","1","JULY"
"2013","1590598761.76","1","JULY"
"2014","1673686122.65","1","JULY"
"2015","1870883532.20","1","JULY"
"2016","1785128785.12","1","JULY"
"2017","1835479133.50","1","JULY"
"2018","1867175647.34","1","JULY"
"2019","1990565961.26","1","JULY"
"2020","434636552.44","1","JULY"
"2021","2055084827.00","1","JULY"
"2022","2409700075.63","1","JULY"
"2023","1670881840.52","1","JULY"
"2012","594968168.83","2","AUGUST"
"2013","563589966.07","2","AUGUST"
"2014","633220715.31","2","AUGUST"
"2015","767743835.72","2","AUGUST"
"2016","697195304.94","2","AUGUST"
"2017","726404885.05","2","AUGUST"
"2018","738413589.78","2","AUGUST"
"2019","792810931.55","2","AUGUST"
"2020","757997632.76","2","AUGUST"
"2021","737351546.51","2","AUGUST"
"2022","976463850.17","2","AUGUST"
"2023","485362170.66","2","AUGUST"
"2012","588478713.82","3","SEPTEMBER"
"2013","527473956.43","3","SEPTEMBER"
"2014","581640953.45","3","SEPTEMBER"
"2015","604711021.09","3","SEPTEMBER"
"2016","685763719.89","3","SEPTEMBER"
"2017","709367316.42","3","SEPTEMBER"
"2018","589395420.13","3","SEPTEMBER"
"2019","655987960.32","3","SEPTEMBER"
"2020","670925984.37","3","SEPTEMBER"
"2021","780441778.46","3","SEPTEMBER"
"2022","1039507793.36","3","SEPTEMBER"
"2012","468261519.96","4","OCTOBER"
"2013","690288588.83","4","OCTOBER"
"2014","525555111.29","4","OCTOBER"
"2015","594574170.50","4","OCTOBER"
"2016","577832524.96","4","OCTOBER"
"2017","698692855.42","4","OCTOBER"
"2018","782797526.28","4","OCTOBER"
"2019","647334161.83","4","OCTOBER"
"2020","587597600.25","4","OCTOBER"
"2021","541811712.96","4","OCTOBER"
"2022","592188985.43","4","OCTOBER"
"2012","491770191.51","5","NOVEMBER"
"2013","543787363.95","5","NOVEMBER"
"2014","510994470.23","5","NOVEMBER"
"2015","579284452.63","5","NOVEMBER"
"2016","545665027.08","5","NOVEMBER"
"2017","668956457.43","5","NOVEMBER"
"2018","742046092.75","5","NOVEMBER"
"2019","1009461162.24","5","NOVEMBER"
"2020","707528495.30","5","NOVEMBER"
"2021","477450697.13","5","NOVEMBER"
"2022","487571720.10","5","NOVEMBER"
"2012","636864567.47","6","DECEMBER"
"2013","571720176.56","6","DECEMBER"
"2014","569390087.40","6","DECEMBER"
"2015","704773120.75","6","DECEMBER"
"2016","672943369.33","6","DECEMBER"
"2017","748787128.51","6","DECEMBER"
"2018","708318100.57","6","DECEMBER"
"2019","702189235.24","6","DECEMBER"
"2020","503425742.60","6","DECEMBER"
"2021","737198982.88","6","DECEMBER"
"2022","474782248.44","6","DECEMBER"
"2012","608055935.70","7","JANUARY"
"2013","584504247.26","7","JANUARY"
"2014","609000017.72","7","JANUARY"
"2015","563061798.58","7","JANUARY"
"2016","609292939.73","7","JANUARY"
"2017","685492567.88","7","JANUARY"
"2018","796897729.72","7","JANUARY"
"2019","716733990.27","7","JANUARY"
"2020","746109189.42","7","JANUARY"
"2021","638360391.12","7","JANUARY"
"2022","476942501.93","7","JANUARY"
"2012","534717647.30","8","FEBRUARY"
"2013","476313392.80","8","FEBRUARY"
"2014","515149943.78","8","FEBRUARY"
"2015","631216541.08","8","FEBRUARY"
"2016","637398334.30","8","FEBRUARY"
"2017","717756079.11","8","FEBRUARY"
"2018","709938538.34","8","FEBRUARY"
"2019","681579357.63","8","FEBRUARY"
"2020","758173417.65","8","FEBRUARY"
"2021","644176056.55","8","FEBRUARY"
"2022","379801844.67","8","FEBRUARY"
"2012","595414833.64","9","MARCH"
"2013","523413382.89","9","MARCH"
"2014","610633387.45","9","MARCH"
"2015","731920902.48","9","MARCH"
"2016","435063969.59","9","MARCH"
"2017","650514893.25","9","MARCH"
"2018","765462433.29","9","MARCH"
"2019","921909883.92","9","MARCH"
"2020","770166266.58","9","MARCH"
"2021","589109917.54","9","MARCH"
"2022","415522871.63","9","MARCH"
"2012","516266156.65","10","APRIL"
"2013","581583858.97","10","APRIL"
"2014","618319299.05","10","APRIL"
"2015","617150286.79","10","APRIL"
"2016","602906458.67","10","APRIL"
"2017","543736177.83","10","APRIL"
"2018","741507046.36","10","APRIL"
"2019","727468820.50","10","APRIL"
"2020","649194301.00","10","APRIL"
"2021","883188537.67","10","APRIL"
"2022","337031088.33","10","APRIL"
"2012","573104944.75","11","MAY"
"2013","645898301.69","11","MAY"
"2014","579411615.16","11","MAY"
"2015","815712805.40","11","MAY"
"2016","664472706.73","11","MAY"
"2017","674149209.25","11","MAY"
"2018","689714743.93","11","MAY"
"2019","729079151.28","11","MAY"
"2020","947179912.84","11","MAY"
"2021","819943154.73","11","MAY"
"2022","810042093.79","11","MAY"
"2012","647181091.78","12","JUNE"
"2013","781924703.15","12","JUNE"
"2014","718742248.59","12","JUNE"
"2015","699756583.13","12","JUNE"
"2016","765709723.55","12","JUNE"
"2017","866564668.62","12","JUNE"
"2018","791594123.67","12","JUNE"
"2019","796996835.58","12","JUNE"
"2020","956943689.58","12","JUNE"
"2021","1420956729.08","12","JUNE"
"2022","934567558.78","12","JUNE"
