"fiscal_year","activity_type","amount_in_thousands"
"2005","Governmental Activities","1930133"
"2007","Business-type Activities","13678686"
"2013","Business-type Activities","17417480"
"2011","Governmental Activities","4376039"
"2008","Business-type Activities","14380904"
"2012","Governmental Activities","4720527"
"2014","Governmental Activities","5171370"
"2014","Business-type Activities","18133857"
"2006","Governmental Activities","3683527"
"2008","Governmental Activities","4037657"
"2012","Business-type Activities","16780327"
"2010","Business-type Activities","15652905"
"2009","Governmental Activities","3920683"
"2010","Governmental Activities","4301351"
"2009","Business-type Activities","14875572"
"2011","Business-type Activities","16110013"
"2005","Business-type Activities","12624983"
"2013","Governmental Activities","4460400"
"2007","Governmental Activities","3909472"
"2006","Business-type Activities","13023052"
