"category","location_name","full_address","latitude","longitude","website"
"Art Center","Art in the Park at the Arroyo Seco in Hermon Park","5568 Via Marisol, Los Angeles, CA 90042","34.10426","-118.18701","https://culturela.org/cultural-centers/art-park-arroyo-seco-hermon-park/"
"Art Center","Barnsdall Arts Center","4800 Hollywood Boulevard, Los Angeles, CA 90027","34.10169","-118.29466","https://culturela.org/cultural-centers/barnsdall-arts-center/"
"Art Center","Barnsdall Gallery Theatre","4800 Hollywood Boulevard, Los Angeles, CA 90027","34.10169","-118.29466","https://culturela.org/cultural-centers/barnsdall-gallery-theatre/"
"Art Center","Barnsdall Junior Arts Center & Barnsdall Junior Arts Center Gallery","4814 Hollywood Boulevard, Los Angeles, CA 90027","34.10169","-118.29485","https://culturela.org/cultural-centers/barnsdall-junior-arts-center-gallery-barnsdall-junior-arts-center-gallery/"
"Art Center","Bridge Gallery at City Hall","200 North Spring Street, Los Angeles, CA 90012","34.05378","-118.2429","https://culturela.org/cultural-centers/bridge-gallery-city-hall/"
"Art Center","Canoga Park Youth Arts Center","7222 Remmet Avenue, Canoga Park, CA 91303","34.2015","-118.60018","https://culturela.org/cultural-centers/canoga-park-youth-arts-center/"
"Art Center","Center for the Arts Eagle Rock","2225 Colorado Boulevard, Los Angeles, CA 90041","34.13963","-118.21491","https://culturela.org/cultural-centers/center-for-the-arts-eagle-rock/"
"Art Center","Hollyhock House","4800 Hollywood Boulevard, Los Angeles, CA 90027","34.10169","-118.29466","https://culturela.org/cultural-centers/hollyhock-house/"
"Art Center","Lankershim Arts Center","5108 Lankershim Boulevard, North Hollywood, CA 91601","34.1633","-118.37355","https://culturela.org/cultural-centers/lankershim-arts-center/"
"Art Center","Lincoln Heights Youth Arts Center","2911 Altura Street, Los Angeles, CA 90031","34.07556","-118.2115","https://culturela.org/cultural-centers/lincoln-heights-youth-arts-center/"
"Art Center","Los Angeles Municipal Art Gallery (LAMAG)","4800 Hollywood Boulevard,Los Angeles, CA 90027","34.10169","-118.29466","https://culturela.org/cultural-centers/los-angeles-municipal-art-gallery-lamag/"
"Art Center","Los Angeles Theatre Center (LATC)","514 South Spring Street, 2nd Floor, Los Angeles, CA 90013","34.04714","-118.24972","https://culturela.org/cultural-centers/los-angeles-theatre-center-latc/"
"Art Center","Madrid Theatre","21622 Sherman Way, Canoga Park, CA 91303","34.20094","-118.60065","https://culturela.org/cultural-centers/madrid-theatre/"
"Art Center","McGroarty Arts Center","7570 McGroarty Terrace, Tujunga, CA 91042","34.24988","-118.29768","https://culturela.org/cultural-centers/mcgroarty-arts-center/"
"Art Center","Nate Holden Performing Arts Center","4718 West Washington Boulevard, Los Angeles, CA 90016","34.03975","-118.34194","https://culturela.org/cultural-centers/nate-holden-performing-arts-center/"
"Art Center","Sun Valley Youth Arts Center/Stone House","8642 Sunland Boulevard, Sun Valley, CA 91352","34.22704","-118.36594","https://culturela.org/cultural-centers/sun-valley-youth-arts-centerstone-house/"
"Art Center","Vision Theatre and Manchester Youth Arts Center","3341 West 43rd Place, Los Angeles, CA 90008","34.00467","-118.33099","https://culturela.org/cultural-centers/vision-theatre-and-manchester-youth-arts-center/"
"Art Center","Warner Grand Theatre","478 W. 6th Street (at Pacific), San Pedro, CA 90731","33.73883","-118.28714","https://culturela.org/cultural-centers/warner-grand-theatre/"
"Art Center","Watts Towers Campus","1727 East 107th Street, Los Angeles, CA 90002","33.93872","-118.24215","https://culturela.org/cultural-centers/watts-towers-campus/"
"Art Center","William Grant Still Arts Center","2520 South West View Street, Los Angeles, CA 90016","34.03308","-118.34805","https://culturela.org/cultural-centers/william-grant-still-arts-center/"
"Art Center","William Reagh – LA Photography Center","2332 West Fourth Street, Los Angeles, CA 90057","34.06345","-118.27556","https://culturela.org/cultural-centers/william-reagh-la-photography-center/"
