"fiscal_year","assessed_valuation_net_of_homeowners_exemptions","homeowners_exemptions","gross_assessed_valuation","legal_debt_limit_15_of_assessed_value","general_obligation_bonds_outstanding","legal_debt_margin","legal_debt_margin_as_a_percentage_of_the_debt_limit","general_obligation_bonds_outstanding_as_a_percentage_of_assessed_value","population","general_obligation_bonds_outstanding_per_capita"
"2005","284468294","2641639","287109933","43066490","1451359","41615131","96.63","0.51","3769130","385"
"2006","312668295","2642161","315310456","47296568","1480010","45816558","96.87","0.47","3768645","393"
"2007","346982793","2637783","349620576","52443086","1446530","50996556","97.24","0.41","3764062","384"
"2008","381153232","2664276","383817508","57572626","1336040","56236586","97.68","0.35","3774497","354"
"2009","411135224","2688218","413823442","62073516","1331103","60742413","97.86","0.32","3781951","352"
"2010","410756330","2707745","413464075","62019611","1404320","60615291","97.74","0.34","3792621","370"
"2011","401273954","2696221","403970175","60595526","1288707","59306819","97.87","0.32","3806499","339"
"2012","406456673","2674226","409130899","61369634","1288674","60080960","97.90","0.31","3827240","337"
"2013","416539450","2629357","419168807","62875321","1165924","61709397","98.15","0.28","3866133","302"
"2014","437980451","2588592","440569043","66085357","1069709","65015648","98.38","0.24","3904657","274"
