"fiscal_year","type","operating_revenues","operating_expenses","net_available_revenue","debt_service","net_available_revenue_coverage","net_operating_cash_flow","net_operating_cash_flow_coverage"
"2005","Airports Enterprise Fund Revenue Bonds and Notes","585065","476349","108716","43027","2.5266925419","119760","2.7833685825"
"2006","Airports Enterprise Fund Revenue Bonds and Notes","630036","520170","109866","41452","2.650439062","72531","1.7497587571"
"2007","Airports Enterprise Fund Revenue Bonds and Notes","664304","548167","116137","29116","3.9887690617","223202","7.6659568622"
"2008","Airports Enterprise Fund Revenue Bonds and Notes","757015","595408","161607","28621","5.646448412","196534","6.8667761434"
"2009","Airports Enterprise Fund Revenue Bonds and Notes","771364","590960","180404","38730","4.6579912213","40076","1.0347534211"
"2010","Airports Enterprise Fund Revenue Bonds and Notes","758594","596802","161792","54948","2.9444565771","122946","2.2374972701"
"2011","Airports Enterprise Fund Revenue Bonds and Notes","887762","601964","285798","126331","2.262295082","215572","1.7064061869"
"2012","Airports Enterprise Fund Revenue Bonds and Notes","952129","639355","312774","138010","2.2663140352","313774","2.273559887"
"2013","Airports Enterprise Fund Revenue Bonds and Notes","981586","648974","332612","136523","2.4363074354","247540","1.8131743369"
"2014","Airports Enterprise Fund Revenue Bonds and Notes","1145668","663104","482564","218021","2.2133831145","411984","1.8896528316"
