"fiscal_year","activity_type","amount"
"2007","Governmental Activity","3887687"
"2013","Governmental Activity","3872229"
"2008","Governmental Activity","3917482"
"2010","Business-Type Activities","15124741"
"2008","Business-Type Activities","11061551"
"2012","Business-Type Activities","17295716"
"2009","Business-Type Activities","12318901"
"2006","Governmental Activity","3520097"
"2014","Business-Type Activities","20149419"
"2014","Governmental Activity","3612335"
"2011","Business-Type Activities","17453856"
"2010","Governmental Activity","4240365"
"2007","Business-Type Activities","10414085"
"2006","Business-Type Activities","10072291"
"2009","Governmental Activity","3988628"
"2013","Business-Type Activities","18947316"
"2005","Business-Type Activities","8834494"
"2012","Governmental Activity","4077497"
"2011","Governmental Activity","4116065"
"2005","Governmental Activity","3486770"
