"project_address","city","state","zip","latitude","longitude","program_types","of_programs"
"310 W 102nd & 10207/10213/10217/10223 S Broadway",,"CA","90003","33.943733700000003","-118.2781157","Bond","8"
"10202/10206/10210 S Broadway",,"CA","90003","33.943468000000003","-118.277755","Bond","7"
"13701 Marina Pointe Drive",,"CA","90292","33.985126800000003","-118.4466639","Land Use","38"
"3933 Marathon Street",,"CA","90029","34.084906699999998","-118.2857886","Land Use","5"
"2838-58 Sunset Place",,"CA","90005","34.060785600000003","-118.2856414","Land Use","102"
"831-837 S Grandview Street",,"CA","90057","34.055010299999999","-118.28080989999999","Land Use","8"
"4733 N Figueroa Street",,"CA","90042","34.101154000000001","-118.203868","Land Use","7"
"4733 N Figueroa Street",,"CA","90042","34.101154000000001","-118.203868","Bond","2"
"323-360 W 3rd Street",,"CA","90731","33.741954100000001","-118.2848925","Bond","46"
"15231 Sherman Way",,"CA","91405","34.201552399999997","-118.4649436","Land Use","5"
"6755 Rhodes Avenue",,"CA","91606","34.193680000000001","-118.4032874","Land Use","41"
"5700-5780 W Centinela Avenue",,"CA","90045","33.9758967","-118.38217760000001","Land Use","63"
"13915 W Oxnard Street",,"CA","91401","34.179999000000002","-118.436194","Land Use","9"
"4471 W Adams Boulevard",,"CA","90016","34.032908300000003","-118.33745500000001","Land Use","7"
"3845 Inglewood Boulevard",,"CA","90066","34.004918000000004","-118.428208","Land Use","12"
"3855 Inglewood Boulevard",,"CA","90066","34.0045918","-118.4279978","Land Use","14"
"3927 Inglewood Boulevard",,"CA","90066","34.003556199999998","-118.42718120000001","Land Use","14"
"3965 Inglewood Boulevard",,"CA","90066","34.002665","-118.42643","Land Use","12"
"4315 Inglewood Boulevard",,"CA","90066","33.996253400000001","-118.4206035","Land Use","14"
"1200-1270 Jefferson Boulevard",,"CA","90007","34.025348700000002","-118.29354290000001","Bond","46"
"6750 Whitsett Avenue",,"CA","91606","34.193309900000003","-118.4043911","Bond","40"
"15520 Parthenia Street",,"CA","91343","34.228111499999997","-118.470214","Land Use","4"
"3165 Sawtelle Boulevard",,"CA","90066","34.024011600000001","-118.4301633","Land Use","9"
"1450 E 1st Street",,"CA","90033","34.047104500000003","-118.2248153","Land Use","74"
"5247 E Huntington Drive N",,"CA","90032","34.090406000000002","-118.166585","Land Use","1"
"1221 W 7th Street",,"CA","90017","34.052061700000003","-118.2664137","Land Use","140"
"1221 W 7th Street",,"CA","90017","34.052061700000003","-118.2664137","Bond","56"
"716 S Carondelet Street",,"CA","90057","34.057659000000001","-118.281102","Land Use","4"
"2329 & 2405 S Corning Street",,"CA","90034","34.037695599999999","-118.38105830000001","Land Use","8"
"420 S Witmer Street",,"CA","90017","34.057372000000001","-118.264141","Land Use","9"
"460 S Burlington Avenue",,"CA","90057","34.058927599999997","-118.270291","Land Use","8"
