"reporting_year","bank","rfp_source","data_description","zip_code","census_tract","number_of_accounts","total_combined_balance"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60601",,"273","27666829.8"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60602",,"154","15436739.4"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60603",,"124","30017126.42"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60604",,"30","1967199.66"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60605",,"362","31558007.49"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60606",,"204","14998817.17"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60607",,"313","31208844.28"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60608",,"261","7648836.8"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60609",,"118","5449955.71"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60610",,"809","81221840.75"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60611",,"754","91613873.09"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60612",,"154","9086496.54"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60613",,"668","48693517.22"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60614",,"1267","123884048"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60615",,"206","9309587.72"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60616",,"324","25582838.49"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60617",,"178","5729026.41"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60618",,"700","44573190.02"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60619",,"199","6133399.91"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60620",,"172","4898704.99"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60621",,"42","1941173.28"
"2021","JPMorgan Chase Bank, N.A.","Form E","Savings Accounts","60622",,"514","36819902.37"
