"month_reported","state","make","model","color","year","last_inspection_month","number_of_trips","multiple_tnps"
"2022-06","IL","Toyota","Camry Hybrid","Black","2015","2021-09","442","true"
"2022-06","FL","Ford","Fusion","Red","2018","2022-06","24","false"
"2022-06","IL","Toyota","Sienna","Black","2022","2021-10","0","false"
"2022-06","IL","Hyundai","Elantra","Silver","2014","2022-04","0","false"
"2022-06","IL","Nissan","Rogue","Black","2021","2022-05","0","false"
"2022-06","IL","Honda","Accord","Blue","2021","2022-07","0","false"
"2022-06","IL","Ford","Fusion","Gray","2014","2021-12","124","true"
"2022-06","IL","Chevrolet","Equinox","Silver","2019","2021-09","343","false"
"2022-06","IL","Toyota","Prius","White","2013","2021-09","94","false"
"2022-06","IL","Hyundai","Elantra Touring","Silver","2014","2022-01","0","false"
"2022-06","IA","Jeep","Cherokee","Black","2020","2021-11","0","false"
"2022-06","IL","Toyota","Corolla","White","2018","2021-07","320","true"
"2022-06","IL","Tesla","Model S","Black","2014","2022-02","54","false"
"2022-06","IL","Kia","Seltos","Blue","2022","2022-02","45","true"
"2022-06","IL","Ford","Escape","Black","2017","2022-01","238","true"
"2022-06","IL","Dodge","Grand Caravan","Red","2019","2021-08","24","false"
"2022-06","IL","Nissan","Sentra","Blue","2013","2022-05","0","false"
"2022-06","IL","Toyota","Camry","Silver","2007","2022-04","0","false"
"2022-06","IL","Honda","Accord","Gray","2020","2022-06","67","false"
"2022-06","IL","Honda","Cr-V","Gray","2020","2022-03","0","false"
"2022-06","IL","Acura","Ilx","Black","2018","2022-06","271","true"
"2022-06","IL","Kia","Soul Ev","Black","2018","2022-06","7","false"
"2022-06","IL","Nissan","Versa","Silver","2010","2022-01","75","false"
"2022-06","IL","Toyota","Prius","Black","2011","2022-06","383","true"
"2022-06","WI","Honda","Accord","Blue","2016","2022-03","0","true"
"2022-06","IL","Nissan","Maxima","Purple","2014","2022-01","169","true"
"2022-06","IL","Hyundai","Sonata","White","2017","2022-05","20","false"
"2022-06","IL","Ford","Focus","Silver","2016","2022-06","307","false"
"2022-06","IL","Toyota","Prius","Silver","2021","2021-12","119","false"
"2022-06","IN","Chevrolet","Malibu","Black","2015","2022-05","73","false"
"2022-06","IL","Honda","Ridgeline","Blue","2007","2022-05","84","false"
"2022-06","IL","Toyota","Prius","White","2010","2021-06","0","false"
"2022-06","IL","Toyota","Sienna","Silver","2009","2022-04","198","false"
"2022-06","IL","Chevrolet","Trax","White","2018","2022-01","341","true"
"2022-06","IL","Acura","Mdx","Black","2016","2022-04","0","false"
"2022-06","IL","Gmc","Terrain","Black","2022","2022-06","26","true"
"2022-06","IL","Nissan","Sentra","Black","2020","2021-12","68","true"
"2022-06","IL","Gmc","Yukon Xl","Black","2017","2022-04","3","false"
"2022-06","IL","Honda","Pilot","Black","2015","2022-02","0","false"
"2022-06","IL","Toyota","Corolla","Blue","2021","2021-09","11","false"
"2022-06","IN","Chevrolet","Equinox","White","2018","2021-08","0","false"
"2022-06","IL","Ford","Escape","Black","2021","2022-02","29","false"
"2022-06","IL","Kia","Forte","Black","2016","2021-10","4","false"
"2022-06","IL","Toyota","Camry Hybrid","Black","2015","2022-06","451","true"
"2022-06","IL","Nissan","Sentra","Silver","2010","2022-04","70","true"
"2022-06","IN","Chevrolet","Equinox","Blue","2019","2021-09","0","false"
"2022-06","IL","Honda","Civic","Black","2018","2021-06","1","false"
"2022-06","FL","Chevrolet","Malibu","Blue","2018","2022-03","305","false"
"2022-06","IL","Honda","Odyssey","Black","2022","2022-04","0","false"
"2022-06","IL","Toyota","Camry","Silver","2012","2022-03","0","false"
"2022-06","IL","Chevrolet","Traverse","Silver","2013","2022-02","47","false"
"2022-06","IL","Acura","Mdx","Gray","2016","2022-02","0","false"
"2022-06","IL","Toyota","Corolla","Black","2019","2022-06","501","false"
"2022-06","IL","Toyota","Corolla","White","2012","2021-09","102","false"
"2022-06","IL","Ford","C-Max","Gray","2013","2022-06","18","false"
"2022-06","IL","Toyota","Prius","White","2012","2021-09","230","true"
"2022-06","IL","Toyota","4runner","Silver","2007","2021-06","0","false"
"2022-06","IL","Honda","Cr-V","Gray","2011","2021-08","0","false"
"2022-06","IL","Honda","Cr-V","Black","2019","2022-06","79","true"
"2022-06","IL","Honda","Accord","Silver","2012","2021-08","88","false"
"2022-06","IL","Honda","Accord","Red","2016","2022-05","45","false"
"2022-06","IL","Scion","Ia","Red","2016","2021-10","199","false"
"2022-06","IL","Lexus","Rx","Black","2017","2021-10","0","false"
"2022-06","IL","Lexus","Es","White","2007","2022-04","218","false"
"2022-06","IL","Chevrolet","Equinox","Gold","2012","2021-11","48","false"
"2022-06","IL","Chevrolet","Equinox","Blue","2022","2022-05","79","false"
"2022-06","IL","Dodge","Grand Caravan","Gray","2018","2022-05","141","false"
"2022-06","IL","Hyundai","Tucson","Silver","2019","2022-01","7","false"
"2022-06","IL","Gmc","Terrain","Black","2022","2021-12","36","false"
"2022-06","IL","Dodge","Grand Caravan","Silver","2019","2021-07","540","false"
"2022-06","IL","Gmc","Acadia","Gray","2014","2021-10","0","false"
"2022-06","IL","Toyota","Rav4","Silver","2021","2021-09","0","true"
"2022-06","IL","Toyota","Highlander","White","2018","2021-08","0","true"
"2022-06","IL","Chrysler","Town & Country","Blue","2013","2022-01","0","false"
"2022-06","IL","Hyundai","Elantra","Red","2019","2022-02","47","false"
"2022-06","FL","Nissan","Altima","White","2020","2022-06","2","false"
"2022-06","IA","Ford","Escape","Blue","2018","2021-12","61","false"
"2022-06","IL","Jeep","Compass","Silver","2014","2021-09","7","false"
"2022-06","IL","Buick","Century","White","2003","2022-01","30","false"
"2022-06","IL","Volkswagen","Jetta","Silver","2019","2022-06","394","true"
"2022-06","IL","Toyota","Prius V","Black","2014","2022-06","549","true"
"2022-06","IL","Toyota","Highlander Hybrid","White","2022","2021-12","113","true"
"2022-06","IN","Toyota","Camry","Gray","2013","2021-08","99","false"
"2022-06","IL","Toyota","Prius","Blue","2010","2022-05","25","true"
"2022-06","IL","Toyota","Rav4","Silver","2020","2021-10","36","false"
"2022-06","IL","Toyota","Camry Hybrid","Gray","2014","2022-04","0","false"
"2022-06","IL","Hyundai","Santa Fe","Blue","2020","2022-05","7","true"
"2022-06","IL","Suzuki","Xl7","Blue","2008","2022-04","41","true"
"2022-06","IL","Hyundai","Sonata","Brown","2017","2022-04","33","false"
"2022-06","IL","Honda","Cr-V","Blue","2022","2022-03","242","false"
"2022-06","IL","Honda","Civic","Gray","2019","2022-03","2","false"
"2022-06","IL","Toyota","Camry","Black","2017","2022-03","0","true"
"2022-06","IL","Mitsubishi","Outlander","Red","2019","2022-05","80","false"
"2022-06","IL","Scion","Im","White","2016","2022-01","289","false"
"2022-06","IL","Ford","Explorer","Red","2020","2022-05","180","true"
"2022-06","IL","Infiniti","Qx60","Black","2019","2022-06","4","true"
"2022-06","IL","Volkswagen","Jetta","Black","2016","2021-10","14","false"
"2022-06","IL","Chevrolet","Equinox","Black","2017","2021-11","8","false"
"2022-06","IL","Lincoln","Mkz","Black","2020","2021-10","0","true"
"2022-06","IL","Volkswagen","Passat","White","2018","2021-08","0","false"
"2022-06","IL","Nissan","Rogue","Black","2021","2022-05","0","false"
"2022-06","IN","Toyota","Camry","Red","2010","2021-10","4","true"
"2022-06","IL","Honda","Civic","Black","2017","2022-03","0","false"
"2022-06","IL","Toyota","Corolla","Black","2021","2021-06","0","false"
"2022-06","IL","Nissan","Pathfinder","White","2014","2022-05","0","false"
"2022-06","IL","Toyota","Camry","White","2021","2021-12","0","false"
"2022-06","IL","Honda","Hr-V","Silver","2022","2022-02","217","false"
"2022-06","IL","Hyundai","Santa Fe","White","2020","2022-02","146","false"
"2022-06","IL","Volkswagen","Tiguan","Black","2015","2022-03","0","false"
"2022-06","IL","Chevrolet","Trax","Silver","2020","2022-04","26","false"
"2022-06","IL","Toyota","Camry","Silver","2017","2021-10","102","false"
"2022-06","IL","Tesla","Model 3","Blue","2019","2021-08","198","false"
"2022-06","IL","Kia","Forte","White","2021","2022-05","52","false"
"2022-06","IL","Toyota","Camry Hybrid","White","2011","2022-01","0","false"
"2022-06","IL","Toyota","Camry","Green","2009","2021-10","2","false"
"2022-06","IL","Toyota","Camry Hybrid","White","2015","2022-01","299","false"
"2022-06","IL","Lexus","Es","Silver","2016","2022-04","12","false"
"2022-06","IL","Jeep","Patriot","Black","2015","2022-04","204","false"
"2022-06","IL","Chevrolet","Impala","Red","2013","2021-08","289","true"
