"pin","property_class","tax_year","neighborhood_code","land_square_feet","town_code","type_of_residence","apartments","wall_material","roof_material","rooms","bedrooms","basement","basement_finish","central_heating","other_heating","central_air","fireplaces","attic_type","attic_finish","half_baths","design_plan","cathedral_ceiling","construction_quality","renovation","site_desireability","garage_1_size","garage_1_material","garage_1_attachment","garage_1_area","garage_2_size","garage_2_material","garage_2_attachment","garage_2_area","porch","other_improvements","building_square_feet","repair_condition","multi_code","number_of_commercial_units","prior_tax_year_market_value","prior_tax_year_market_value_1","sale_date","deed_no","sale_price","longitude","latitude","census_tract","total_building_square_feet","multi_property_indicator","property_address","modeling_group","full_baths","age","use","number_of_units","percent_ownership","condo_class_factor","multi_family_indicator","large_lot","geocoded_column"
"1122120360000","203","2018","22","6309","10","1","0","1","4","5","2","3","3","1","5","1","1","3",,"1","2","2","2",,"2","3","1","1","2","7","0","0","0",,"0","1615","2","2","0","42580","323870",,,,"-88.1286073918423","42.1331569198506","804202",,"0","506  PARK BARRINGTON WAY BARRINGTON","SF","2","25","1","1","1.00",,,"0","POINT (-88.1286073918423 42.1331569198506)"
"1122120370000","203","2018","22","6851","10","1","0","1","4","4","2","3","3","1","5","1","1","3",,"0","2","0","2",,"2","3","1","1","2","7","0","0","0",,"0","1529","2","2","0","46240","286410",,,,"-88.1288169569616","42.1330888147767","804202",,"0","504  PARK BARRINGTON WAY BARRINGTON","SF","2","25","1","1","1.00",,,"0","POINT (-88.1288169569616 42.1330888147767)"
"1123030440000","295","2018","31","3678","10","2","0","3","1","7","3","1","3","1","5","1","1","3",,"1","2","1","2",,"2","3","3","1","1","7","0","0","0",,"0","2746","2","2","0","10110","438530",,,,"-88.1346798673506","42.128003574549","804202",,"0","506  STONE CANYON CIR INVERNESS","SF","3","16","1","1","1.00",,,"0","POINT (-88.1346798673506 42.128003574549)"
"1123030450000","295","2018","31","2919","10","2","0","3","1","9","3","1","3","1","5","1","1","3",,"1","2","1","2",,"2","3","1","1","1","7","0","0","0",,"0","2786","2","2","0","8020","442260",,,,"-88.1345483994794","42.1279343242965","804202",,"0","504  STONE CANYON CIR INVERNESS","SF","2","16","1","1","1.00",,,"0","POINT (-88.1345483994794 42.1279343242965)"
"1123030460000","295","2018","31","2925","10","2","0","3","1","9","3","1","3","1","5","1","1","3",,"1","2","2","2",,"2","3","1","1","1","7","0","0","0",,"0","2786","2","2","0","8040","442240",,,,"-88.134432556313","42.1278733826857","804202",,"0","502  STONE CANYON CIR INVERNESS","SF","2","16","1","1","1.00",,,"0","POINT (-88.134432556313 42.1278733826857)"
"1123030470000","295","2018","31","3666","10","2","0","3","1","7","3","1","3","1","5","1","1","3",,"1","2","1","2",,"2","3","3","1","1","7","0","0","0",,"0","3494","2","2","0","10080","503070",,,,"-88.1343022008212","42.1278043986024","804202",,"0","500  STONE CANYON CIR INVERNESS","SF","2","16","1","1","1.00",,,"0","POINT (-88.1343022008212 42.1278043986024)"
"1123030480000","295","2018","31","3568","10","2","0","3","1","7","3","1","3","1","5","1","1","3",,"1","2","1","2",,"2","3","3","1","1","7","0","0","0",,"0","2746","2","2","0","9810","438830",,,,"-88.1356357828608","42.1280411999935","804202",,"0","516  STONE CANYON CIR INVERNESS","SF","3","13","1","1","1.00",,,"0","POINT (-88.1356357828608 42.1280411999935)"
"1123030490000","295","2018","31","2812","10","2","0","3","1","8","3","1","3","1","5","1","1","3",,"1","2","2","2",,"2","3","1","1","1","7","0","0","0",,"0","2684","2","2","0","7730","433130",,,,"-88.1354736953826","42.1280431637265","804202",,"0","514  STONE CANYON CIR INVERNESS","SF","2","13","1","1","1.00",,,"0","POINT (-88.1354736953826 42.1280431637265)"
"1123030500000","295","2018","31","2841","10","2","0","3","1","8","3","1","3","1","5","1","1","3",,"1","2","1","2",,"2","3","1","1","1","7","0","0","0",,"0","2684","2","2","0","7810","433050",,,,"-88.1353317418722","42.1280448844503","804202",,"0","512  STONE CANYON CIR INVERNESS","SF","2","13","1","1","1.00",,,"0","POINT (-88.1353317418722 42.1280448844503)"
"1123030510000","295","2018","31","3619","10","2","0","3","1","7","3","1","3","1","5","1","1","3",,"1","2","2","2",,"2","3","3","1","1","7","0","0","0",,"0","3494","2","3","0","9950","503070",,,,"-88.135171343301","42.1280468280018","804202",,"0","510  STONE CANYON CIR INVERNESS","SF","2","13","1","1","1.00",,,"0","POINT (-88.135171343301 42.1280468280018)"
