"month","evanston","illinois","usa","chicago_msa"
"2018-01-01T00:00:00.000","4.4","5.3","4.5","5.4"
"2018-02-01T00:00:00.000","4.1","5","4.4","5.2"
"2018-03-01T00:00:00.000","3.4","4.4","4.1","4.8"
"2018-04-01T00:00:00.000","2.8","3.5","3.6","3.4"
"2018-05-01T00:00:00.000","2.8","3.6","3.7","3.6"
"2018-06-01T00:00:00.000","3.7","4.5","4.2","4.4"
"2018-07-01T00:00:00.000","3.5","4.3","4.2","4.1"
"2018-08-01T00:00:00.000","3.3","4.2","3.9","4"
"2018-09-01T00:00:00.000","3.1","4.2","3.9","4"
"2018-10-01T00:00:00.000","3.5","4.2","3.5","4"
"2018-11-01T00:00:00.000","3.1","4.1","3.5","3.8"
"2018-12-01T00:00:00.000","2.9","4.4","3.7","4"
"2019-01-01T00:00:00.000","3.7","5.3","4.4","4.8"
"2019-02-01T00:00:00.000","3.1","4.7","4.1","4.3"
"2019-03-01T00:00:00.000","2.8","4.1","3.9","4.1"
"2019-04-01T00:00:00.000","2.8","4","3.3","3.8"
"2019-05-01T00:00:00.000","2.7","3.6","3.4","3.5"
"2019-06-01T00:00:00.000","3.3","4","3.8","4.3"
"2019-07-01T00:00:00.000","3.3","4.2","4","4.1"
"2019-08-01T00:00:00.000","2.9","3.8","3.8","3.7"
"2019-09-01T00:00:00.000","2.7","3.6","3.3","3.4"
"2019-10-01T00:00:00.000","3","3.6","3.3","3.5"
"2019-11-01T00:00:00.000","2.7","3.4","3.3","3.3"
"2019-12-01T00:00:00.000","2.2","3.5","3.4","3.2"
"2020-01-01T00:00:00.000","2.8","4","4","3.8"
"2020-02-01T00:00:00.000","2.5","3.5","3.8","3.6"
"2020-03-01T00:00:00.000","3.7","4.2","4.5","4.5"
"2020-04-01T00:00:00.000","12.2","16.8","14.4","17.3"
"2020-05-01T00:00:00.000","11.3","14.8","13","15.3"
"2020-06-01T00:00:00.000","12.9","14.6","11.2","15.6"
"2018-01-01T00:00:00.000","4.4","5.3","4.5","5.4"
"2018-02-01T00:00:00.000","4.1","5","4.4","5.2"
"2018-03-01T00:00:00.000","3.4","4.4","4.1","4.8"
"2018-04-01T00:00:00.000","2.8","3.5","3.6","3.4"
"2018-05-01T00:00:00.000","2.8","3.6","3.7","3.6"
"2018-06-01T00:00:00.000","3.7","4.5","4.2","4.4"
"2018-07-01T00:00:00.000","3.5","4.3","4.2","4.1"
"2018-08-01T00:00:00.000","3.3","4.2","3.9","4"
"2018-09-01T00:00:00.000","3.1","4.2","3.9","4"
"2018-10-01T00:00:00.000","3.5","4.2","3.5","4"
"2018-11-01T00:00:00.000","3.1","4.1","3.5","3.8"
"2018-12-01T00:00:00.000","2.9","4.4","3.7","4"
"2019-01-01T00:00:00.000","3.7","5.3","4.4","4.8"
"2019-02-01T00:00:00.000","3.1","4.7","4.1","4.3"
"2019-03-01T00:00:00.000","2.8","4.1","3.9","4.1"
"2019-04-01T00:00:00.000","2.8","4","3.3","3.8"
"2019-05-01T00:00:00.000","2.7","3.6","3.4","3.5"
"2019-06-01T00:00:00.000","3.3","4","3.8","4.3"
"2019-07-01T00:00:00.000","3.3","4.2","4","4.1"
"2019-08-01T00:00:00.000","2.9","3.8","3.8","3.7"
"2019-09-01T00:00:00.000","2.7","3.6","3.3","3.4"
"2019-10-01T00:00:00.000","3","3.6","3.3","3.5"
"2019-11-01T00:00:00.000","2.7","3.4","3.3","3.3"
"2019-12-01T00:00:00.000","2.2","3.5","3.4","3.2"
"2020-01-01T00:00:00.000","2.8","4","4","3.8"
"2020-02-01T00:00:00.000","2.5","3.5","3.8","3.6"
"2020-03-01T00:00:00.000","3.7","4.2","4.5","4.5"
"2020-04-01T00:00:00.000","12.2","16.8","14.4","17.3"
"2020-05-01T00:00:00.000","11.3","14.8","13","15.3"
"2020-06-01T00:00:00.000","12.9","14.6","11.2","15.5"
"2020-07-01T00:00:00.000","10.2","11.5","10.5","12.1"
"2020-08-01T00:00:00.000","10.2","11.1","8.5","11.8"
"2020-09-01T00:00:00.000","9.2","10","7.7","10.8"
"2020-10-01T00:00:00.000","6.9","7.2","6.6","8"
"2020-11-01T00:00:00.000","6.3","6.5","6.4","7"
