"arrest_key","relates_incident_number","day_of_the_week","arrest_date","arrest_time","age","sex","race","ethnicity","arrest_type","weapon_code","street_number","street_name","city","location"
"57472","21010381","Sun","2021-12-12T00:00:00.000","1155","66","Male","White",,"On View",,"1500","SHERMAN AV","EVANSTON","
,  
(42.045944628468234, -87.68181709791915)"
"57469","21010375","Sat","2021-12-11T00:00:00.000","2342","25","Male","Black",,"Taken into Custody",,"400","RIDGE AV","EVANSTON","
,  
(42.025837474313164, -87.68535997696793)"
"57467","21010346","Sat","2021-12-11T00:00:00.000","0350","38","Female","Black",,"On View",,"400","RIDGE AV","EVANSTON","
,  
(42.025837474313164, -87.68535997696793)"
"57468","21010344","Fri","2021-12-10T00:00:00.000","2227","40","Male","Black",,"On View",,"1800","LELAND AV","EVANSTON","
,  
(42.05106343748325, -87.70713609007304)"
"57471","21010311","Fri","2021-12-10T00:00:00.000","1356","38","Male","Black",,"Taken into Custody",,"900","MAPLE AV","EVANSTON","
,  
(42.034906964510945, -87.68520641200273)"
"57465","21009949","Thu","2021-12-09T00:00:00.000","1854","19","Male","White",,"Taken into Custody",,"1500","ELMWOOD AV","EVANSTON","
,  
(42.0460107307921, -87.68378492477495)"
"57463","21010303","Thu","2021-12-09T00:00:00.000","1534","18","Male","White",,"On View","Handgun","200","HARTREY AV","EVANSTON","
,  
(42.02170271033145, -87.70425212304444)"
"57462","21010303","Thu","2021-12-09T00:00:00.000","1534","20","Male","White",,"On View","Handgun","200","HARTREY AV","EVANSTON","
,  
(42.02170271033145, -87.70425212304444)"
"57464","21010303","Thu","2021-12-09T00:00:00.000","1534","18","Male","Black","Not Hispanic","On View",,"200","HARTREY AV","EVANSTON","
,  
(42.02170271033145, -87.70425212304444)"
"57466","21010057","Wed","2021-12-08T00:00:00.000","1133","60","Male","White",,"Taken into Custody",,"1500","ELMWOOD AV","EVANSTON","
,  
(42.0460107307921, -87.68378492477495)"
"57459","21010200","Mon","2021-12-06T00:00:00.000","1409","31","Male","Black",,"Taken into Custody",,"1900","CENTRAL ST","EVANSTON","
,  
(42.0643416748313, -87.69982350185124)"
"57458","21010079","Fri","2021-12-03T00:00:00.000","0840","64","Male","Black","Not Hispanic","Taken into Custody",,"2600","ELGIN RD","EVANSTON","
,  
(42.05290144282279, -87.71022025151177)"
"57460","21008196","Fri","2021-12-03T00:00:00.000","1513","27","Male","White",,,,"1500","ELMWOOD AV","EVANSTON","
,  
(42.0460107307921, -87.68378492477495)"
"57452","21009218","Thu","2021-12-02T00:00:00.000","1800","52","Male","Black","Not Hispanic","Taken into Custody",,"1600","MAPLE AV","EVANSTON","
,  
(42.047787847667465, -87.68513087112919)"
"57454","21010066","Thu","2021-12-02T00:00:00.000","1800","52","Male","Black","Not Hispanic","Taken into Custody",,"1600","MAPLE AV","EVANSTON","
,  
(42.047787847667465, -87.68513087112919)"
"57455","21010069","Thu","2021-12-02T00:00:00.000","1800","52","Male","Black","Not Hispanic","Taken into Custody",,"1600","MAPLE AV","EVANSTON","
,  
(42.047787847667465, -87.68513087112919)"
"57450","21008323","Thu","2021-12-02T00:00:00.000","1800","52","Male","Black","Not Hispanic","Taken into Custody",,"1600","MAPLE AV","EVANSTON","
,  
(42.047787847667465, -87.68513087112919)"
"57451","21008286","Thu","2021-12-02T00:00:00.000","1800","52","Male","Black","Not Hispanic","Taken into Custody",,"1600","MAPLE AV","EVANSTON","
,  
(42.047787847667465, -87.68513087112919)"
"57448","21010039","Wed","2021-12-01T00:00:00.000","2030","21","Male","White",,,,,"GOLF/KEDVALE","SKOKIE",
"57461","21010020","Wed","2021-12-01T00:00:00.000","0708","24","Female","White","Not Hispanic","On View",,"500","RIDGE AV","EVANSTON","
,  
(42.02772575265197, -87.68557833159807)"
"57457","21010042","Wed","2021-12-01T00:00:00.000","2058","40","Female","White",,"On View",,"800","EMERSON ST","EVANSTON","
,  
(42.052091902944085, -87.6829361688665)"
"57447","21010030","Wed","2021-12-01T00:00:00.000","1442","50","Male","Black","Not Hispanic","Taken into Custody",,"1100","CHICAGO AV","EVANSTON","
,  
(42.03841094441211, -87.68025391495762)"
"57453","21010044","Wed","2021-12-01T00:00:00.000","2058","40","Female","White",,"Taken into Custody",,"800","EMERSON ST","EVANSTON","
,  
(42.052091902944085, -87.6829361688665)"
"57449","21010018","Wed","2021-12-01T00:00:00.000","0130","35","Male","Black",,"Taken into Custody",,"1200","DARROW AV","EVANSTON","
,  
(42.0402117209188, -87.69760410181365)"
"57446","21009959","Mon","2021-11-29T00:00:00.000","0440","44","Male","Unknown",,"Taken into Custody",,"800","GREENLEAF ST","EVANSTON","
,  
(42.03758676847558, -87.68289460072862)"
"57445","21009980","Mon","2021-11-29T00:00:00.000","1738","47","Male","White",,"On View",,"2200","OAKTON ST","EVANSTON","
,  
(42.026486436562294, -87.70502033042754)"
"57443","21009936","Sun","2021-11-28T00:00:00.000","1118","30","Male","White",,"On View",,"1000","AUSTIN ST","EVANSTON","
,  
(42.02561350086017, -87.68611494334799)"
"57444","21009946","Sun","2021-11-28T00:00:00.000","1800","32","Male","Black","Not Hispanic","Taken into Custody",,"800","DOBSON ST","EVANSTON","
,  
(42.020331193941615, -87.68377415394069)"
"57434","21009131","Sat","2021-11-27T00:00:00.000","1955","30","Female","Black","Not Hispanic","Taken into Custody",,"1900","JACKSON AV","EVANSTON","
,  
(42.053065320921846, -87.69286778381841)"
"57456","21009893","Fri","2021-11-26T00:00:00.000","1915","37","Female","Black",,"On View",,"100","CHICAGO AV","EVANSTON","
,  
(42.0202707903477, -87.67653060029382)"
