"field_contact_key","day_of_the_week","field_contact_date","reason_code_description","age","race","sex","pat_down","enforcement","police_beat","street_number","street_name","city"
"12122","Mon","2018-12-17T00:49:00.000","TRAFFIC STOP","16","Black","Male","Yes","NONE","77","1600","EMERSON ST","EVANSTON"
"12118","Wed","2018-12-12T20:50:00.000","OTHER","16","White","Female","No","NONE","72","800","GREENLEAF ST","EVANSTON"
"12059","Wed","2018-10-31T20:41:00.000","STREET STOP/SUSP PERSON","16","White","Male","Yes","NONE","72","600","SHERMAN AV","EVANSTON"
"12061","Wed","2018-10-31T20:41:00.000","STREET STOP/SUSP PERSON","17","White","Male","Yes","NONE","72","600","SHERMAN AV","EVANSTON"
"12036","Fri","2018-10-26T11:13:00.000","TRAF STOP/GANG NARC","16","Black","Male","Yes","NONE","99",,"HOWARD ST/BELL AV","CHICAGO"
"12018","Tue","2018-10-23T19:45:00.000","OTHER","17","Black","Male","No","NONE","76","1700","MAPLE AV","EVANSTON"
"12020","Tue","2018-10-23T19:45:00.000","OTHER","16","Black","Male","No","NONE","76","1700","MAPLE AV","EVANSTON"
"12064","Sun","2018-10-21T21:57:00.000","OTHER","16","White","Male","Yes",,"71","200","WESLEY AV","EVANSTON"
"12015","Sat","2018-10-13T22:46:00.000","STREET STOP/SUSP PERSON","14","Black","Male","Yes","NONE","76","700","EMERSON ST","EVANSTON"
"11968","Tue","2018-10-02T18:32:00.000","STREET STOP","17","Black","Male","Yes","NONE","74","1500","DEWEY AV","EVANSTON"
"11951","Wed","2018-09-26T12:07:00.000","TRAF STOP/GANG NARC","17","White","Male","Yes","NONE","78","400","HOWARD ST","EVANSTON"
"11950","Wed","2018-09-26T12:07:00.000","TRAF STOP/GANG NARC","17","White","Male","Yes","NONE","78","400","HOWARD ST","EVANSTON"
"11943","Tue","2018-09-25T22:40:00.000","TRAFFIC STOP","16","Black","Male","Yes","NONE","78","300","RIDGE AV","EVANSTON"
"11979","Thu","2018-09-20T18:48:00.000","STREET STOP/GANG NARC","15","White","Female","No","NONE","71","500","WESLEY AV","EVANSTON"
"11932","Thu","2018-09-20T18:48:00.000","STREET STOP/GANG NARC","16","White","Female","No","NONE","71","500","WESLEY AV","EVANSTON"
"11908","Fri","2018-09-07T17:00:00.000","OTHER","17","Black","Male","Yes","NONE","73","1600","SHERMAN AV","EVANSTON"
"11853","Mon","2018-08-20T00:20:00.000","OTHER","17","White","Male","No","NONE","75","2700","GROSS POINT RD","EVANSTON"
"11790","Tue","2018-07-31T18:04:00.000","STREET STOP","15","Black","Male","No","NONE","77","1900","JACKSON AV","EVANSTON"
"11732","Fri","2018-07-13T20:30:00.000","STREET STOP","14","Black","Male","Yes","NONE","76","600","CLARK ST","EVANSTON"
"11713","Sat","2018-07-07T16:59:00.000","TRAF STOP/SUSP PERSON/GANG/RSO","16","White","Male","Yes","ARREST","76","2100","WESLEY AV","EVANSTON"
"11685","Tue","2018-07-03T00:43:00.000","SUSPICIOUS PERSON","16","Black","Male","No","NONE","77","2000","EMERSON ST","EVANSTON"
"11694","Sat","2018-06-30T19:49:00.000","TRAFFIC STOP","17","White","Male","Yes","NONE","73","1500","MAPLE AV","EVANSTON"
"11679","Fri","2018-06-29T20:53:00.000","TRAF STOP/GANG NARC","17","Black","Male","Yes","NONE","76","1700","RIDGE AV","EVANSTON"
"11693","Wed","2018-06-27T12:20:00.000","STREET STOP/GANG NARC","16","Black","Male","Yes","ARREST","77","1700","BROWN AV","EVANSTON"
"11646","Sun","2018-06-24T16:22:00.000","OTHER","16","Black","Male","No","NONE","74","1200","DEWEY AV","EVANSTON"
"11645","Sun","2018-06-24T16:15:00.000","OTHER","16","White","Male","No","NONE","74","1200","DEWEY AV","EVANSTON"
"11647","Sun","2018-06-24T15:44:00.000","OTHER","16","Unknown","Male","No","NONE","74","1200","DEWEY AV","EVANSTON"
"11677","Sun","2018-06-24T15:44:00.000","OTHER","16","White","Male","No","NONE","74","1200","DEWEY AV","EVANSTON"
"11652","Sat","2018-06-23T04:34:00.000","STREET STOP/SUSP PERSON","17","Black","Male","Yes","NONE","74","1400","DODGE AV/GREENWOOD ST","EVANSTON"
"11641","Fri","2018-06-22T18:59:00.000","OTHER","17","Black","Male","No","NONE","77","2100","EMERSON ST","EVANSTON"
"11640","Fri","2018-06-22T18:53:00.000","OTHER","17","Black","Male","Yes","ARREST","77","2100","EMERSON ST","EVANSTON"
"12167","Mon","2018-06-18T11:00:00.000","STREET STOP","16","Black","Male","No","NONE","77","1800","HOVLAND CT","EVANSTON"
"11608","Tue","2018-06-12T19:32:00.000","STREET STOP","17","Black","Male","No","NONE","72","600","CUSTER AV","EVANSTON"
"11625","Sat","2018-06-09T18:04:00.000","TRAF STOP/GANG NARC","17","Black","Male","Yes","NONE","78","1000","AUSTIN ST","EVANSTON"
"11595","Tue","2018-06-05T18:26:00.000","TRAFFIC STOP","16","Black","Male","Yes","ARREST","78","700","DOBSON ST","EVANSTON"
"11575","Thu","2018-05-31T13:00:00.000","SUSPICIOUS PERSON","17","White","Male","Yes","NONE","99","1000","OAK ST","WINNETKA"
"11564","Tue","2018-05-29T12:36:00.000","STREET STOP","15","Black","Male","Yes","NONE","73","1500","CHICAGO AV","EVANSTON"
"11553","Fri","2018-05-25T19:28:00.000","OTHER","16","White","Male","No","NONE","74","1000","DODGE AV","EVANSTON"
"11544","Fri","2018-05-18T19:27:00.000","OTHER","16","Black","Male","Yes","NONE","73","1400","CHICAGO AV","EVANSTON"
"11515","Sun","2018-05-13T16:48:00.000","OTHER","15","Black","Male","No","NONE","77","1700","FOSTER ST","EVANSTON"
"11514","Sun","2018-05-13T16:46:00.000","OTHER","16","Black","Male","No","NONE","77","1700","FOSTER ST","EVANSTON"
"11513","Sun","2018-05-13T16:42:00.000","OTHER","14","Black","Male","No","NONE","77","1700","FOSTER ST","EVANSTON"
"11519","Fri","2018-05-11T21:56:00.000","STREET STOP","17","White","Male","Yes","NONE","72","600","SOUTH BL","EVANSTON"
"11516","Fri","2018-05-11T21:56:00.000","STREET STOP","17","White","Male","Yes","NONE","72","600","SOUTH BL","EVANSTON"
"11451","Sun","2018-04-29T20:39:00.000","STREET STOP","16","Black","Male","No","NONE","77","1700","FOSTER ST/DEWEY AV","EVANSTON"
"11448","Fri","2018-04-27T13:21:00.000","STREET STOP/SUSP PERSON","13","Black","Male","Yes","ARREST","76","1900","RIDGE AV","EVANSTON"
"11443","Thu","2018-04-26T21:51:00.000","STREET STOP","13","Black","Male","No","NONE","77","1900","EMERSON ST","EVANSTON"
"11442","Thu","2018-04-26T15:54:00.000","STREET STOP","17","White","Male","Yes","NONE","77","1700","HOVLAND CT","EVANSTON"
"11437","Mon","2018-04-23T18:00:00.000","OTHER","15","Black","Male","Yes","ARREST","77","1900","EMERSON ST","EVANSTON"
"11438","Mon","2018-04-23T18:00:00.000","OTHER","13","Black","Male","Yes","ARREST","77","1900","EMERSON ST","EVANSTON"
"11425","Sun","2018-04-22T19:31:00.000","STREET STOP","13","Black","Male","No","NONE","73","700","CHURCH ST","EVANSTON"
"11435","Sun","2018-04-22T19:31:00.000","STREET STOP","14","Black","Male","No","NONE","73","700","CHURCH ST","EVANSTON"
"11434","Sun","2018-04-22T19:31:00.000","STREET STOP","13","Black","Male","No","NONE","73","700","CHURCH ST","EVANSTON"
"11436","Sun","2018-04-22T19:31:00.000","STREET STOP","13","Black","Male","No","NONE","73","700","CHURCH ST","EVANSTON"
"11431","Sat","2018-04-21T18:25:00.000","OTHER","12","Black","Male","No","NONE","75","2600","HARRISON ST","EVANSTON"
"11432","Sat","2018-04-21T18:25:00.000","OTHER","13","Black","Male","No","NONE","75","2600","HARRISON ST","EVANSTON"
"11408","Fri","2018-04-13T20:28:00.000","OTHER","12","Black","Male","Yes","NONE","75","2300","GREEN BAY RD","EVANSTON"
"11413","Fri","2018-04-13T14:06:00.000","STREET STOP","17",,"Female","No","NONE","76","1700","MAPLE AV","EVANSTON"
"11411","Tue","2018-04-10T20:19:00.000","STREET STOP","17","White","Male","Yes","NONE","75","2700","BRYANT AV","EVANSTON"
"11352","Sat","2018-03-24T15:25:00.000","OTHER","16","Black","Male","No","NONE","75","2500","PRAIRIE AV","EVANSTON"
"11353","Sat","2018-03-24T15:25:00.000","OTHER","11","Black","Male","No","NONE","75","2500","PRAIRIE AV","EVANSTON"
"11339","Mon","2018-03-19T19:40:00.000","TRAFFIC STOP/SUSP PERSON","17","Black","Male","No","NONE","77","1600","EMERSON ST","EVANSTON"
"11337","Mon","2018-03-19T19:12:00.000","TRAFFIC STOP/SUSP PERSON","17","Black","Female","No","NONE","77","1600","EMERSON ST","EVANSTON"
"11265","Sat","2018-02-24T21:21:00.000","STREET STOP/SUSP PERSON","16","Black","Male","Yes","NONE","78","1000","HOWARD ST","EVANSTON"
"11244","Wed","2018-02-21T16:25:00.000","TRAFFIC STOP","17","Black","Male","No","NONE","74","1300","DAVIS ST","EVANSTON"
"11220","Tue","2018-02-13T17:15:00.000","STREET STOP","16","Black","Male","Yes","NONE","77","1500","SIMPSON ST","EVANSTON"
"11201","Fri","2018-02-09T19:19:00.000","STREET STOP/SUSP PERSON","17","Black","Male","No","NONE","73","800","DAVIS ST","EVANSTON"
"11142","Sun","2018-01-28T16:45:00.000","STREET STOP/SUSP PERSON","14","Black","Male","No","NONE","71","1900","DOBSON ST","EVANSTON"
"11143","Sun","2018-01-28T16:31:00.000","STREET STOP/SUSP PERSON","12",,"Male","No","NONE","71","1900","DOBSON ST","EVANSTON"
"11118","Sat","2018-01-20T02:35:00.000","STREET STOP","17","White","Female","No","NONE","75","2900","CENTRAL ST","EVANSTON"
"11110","Sat","2018-01-20T00:52:00.000","STREET STOP","13","Black","Male","Yes","NONE","74","1300","LEE ST/ASBURY AV","EVANSTON"
