"field_contact_key","day_of_the_week","field_contact_date","reason_code_description","age","race","sex","pat_down","enforcement","police_beat","street_number","street_name","city"
"15362","Wed","2021-12-08T16:09:00.000","OTHER","18","Black","Male","No","NONE","77","1600","FOSTER ST","EVANSTON"
"15360","Wed","2021-12-08T16:09:00.000","OTHER","17","Black","Male","No","NONE","77","1600","FOSTER ST","EVANSTON"
"15361","Wed","2021-12-08T16:09:00.000","OTHER","18","Black","Female","No","NONE","77","1600","FOSTER ST","EVANSTON"
"15359","Wed","2021-12-08T16:09:00.000","OTHER","17","Black","Male","No","NONE","77","1600","FOSTER ST","EVANSTON"
"15358","Sat","2021-12-04T18:00:00.000","SUSPICIOUS PERSON","27","Black","Male","No","NONE","76","1800","RIDGE AV","EVANSTON"
"15363","Thu","2021-12-02T19:40:00.000","STREET STOP/GANG NARC","35","Black","Female",,,"72","1000","MAIN ST","EVANSTON"
"15356","Sat","2021-11-27T19:41:00.000","OTHER","30","Black","Female","No","ARREST","77","1900","JACKSON AV","EVANSTON"
"15355","Thu","2021-11-25T20:29:00.000","OTHER","47","Black","Male",,"NONE","73","1100","CHICAGO AV","EVANSTON"
"15354","Tue","2021-11-23T17:10:00.000","OTHER","20","Black","Male","No","NONE","78","800","AUSTIN ST","EVANSTON"
"15353","Tue","2021-11-23T17:10:00.000","OTHER","17","White","Female","No","NONE","78","800","AUSTIN ST","EVANSTON"
"15352","Tue","2021-11-23T17:10:00.000","OTHER","19","White","Male",,"NONE","78","800","AUSTIN ST","EVANSTON"
"15357","Sat","2021-11-20T22:05:00.000","TRAFFIC STOP","24","Black","Male",,"NONE","74","1800","GREENLEAF ST/DARROW AV","EVANSTON"
"15351","Tue","2021-11-16T16:54:00.000","TRAFFIC STOP/SUSP PERSON","33","Black","Male","No","NONE","71","100","ASHLAND AV","EVANSTON"
"15349","Mon","2021-11-15T20:09:00.000","TRAFFIC STOP","23",,"Female","No","NONE","74","2000","LEE ST","EVANSTON"
"15347","Tue","2021-11-09T22:30:00.000","STREET STOP","52","Black","Male",,"ARREST","73","1600","MAPLE AV","EVANSTON"
"15346","Tue","2021-11-09T22:23:00.000","STREET STOP","34","White","Male",,"ARREST","73","1600","MAPLE AV","EVANSTON"
